sitename,date,ecoli_value (MPN/100mL)
Akitio Estuary at Coast Rd Bridge,2016-12-08 00:00:00,54
Akitio Estuary at Coast Rd Bridge,2016-12-12 00:00:00,3300
Akitio Estuary at Coast Rd Bridge,2016-12-19 00:00:00,2600
Akitio Estuary at Coast Rd Bridge,2016-12-28 00:00:00,4200
Akitio Estuary at Coast Rd Bridge,2017-01-04 00:00:00,16
Akitio Estuary at Coast Rd Bridge,2017-01-09 00:00:00,9700
Akitio Estuary at Coast Rd Bridge,2017-01-16 00:00:00,
Akitio Estuary at Coast Rd Bridge,2017-01-24 00:00:00,450
Akitio Estuary at Coast Rd Bridge,2017-01-30 00:00:00,68
Akitio Estuary at Coast Rd Bridge,2017-02-07 00:00:00,
Akitio Estuary at Coast Rd Bridge,2017-02-13 00:00:00,
Akitio Estuary at Coast Rd Bridge,2017-02-20 00:00:00,6900
Akitio Estuary at Coast Rd Bridge,2017-02-27 00:00:00,250
Akitio Estuary at Coast Rd Bridge,2017-03-06 00:00:00,68
Akitio Estuary at Coast Rd Bridge,2017-03-13 00:00:00,2100
Akitio Estuary at Coast Rd Bridge,2017-03-20 00:00:00,2000
Akitio Estuary at Coast Rd Bridge,2017-03-27 00:00:00,1000
Akitio Estuary at Coast Rd Bridge,2017-04-03 00:00:00,140
Akitio Estuary at Coast Rd Bridge,2017-04-10 00:00:00,1800
Akitio Estuary at Coast Rd Bridge,2017-04-18 00:00:00,2600
Akitio Estuary at Coast Rd Bridge,2017-04-27 00:00:00,62
Akitio Estuary at Coast Rd Bridge,2017-11-05 00:00:00,253
Akitio Estuary at Coast Rd Bridge,2017-11-14 00:00:00,36
Akitio Estuary at Coast Rd Bridge,2017-11-20 00:00:00,
Akitio Estuary at Coast Rd Bridge,2017-11-26 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2017-12-05 00:00:00,211
Akitio Estuary at Coast Rd Bridge,2017-12-11 00:00:00,52
Akitio Estuary at Coast Rd Bridge,2017-12-17 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2017-12-24 00:00:00,10
Akitio Estuary at Coast Rd Bridge,2017-12-31 00:00:00,41
Akitio Estuary at Coast Rd Bridge,2018-01-07 00:00:00,30
Akitio Estuary at Coast Rd Bridge,2018-01-16 00:00:00,148
Akitio Estuary at Coast Rd Bridge,2018-01-23 00:00:00,187
Akitio Estuary at Coast Rd Bridge,2018-01-28 00:00:00,110
Akitio Estuary at Coast Rd Bridge,2018-02-05 00:00:00,3080
Akitio Estuary at Coast Rd Bridge,2018-02-12 00:00:00,146
Akitio Estuary at Coast Rd Bridge,2018-02-18 00:00:00,173
Akitio Estuary at Coast Rd Bridge,2018-02-27 00:00:00,148
Akitio Estuary at Coast Rd Bridge,2018-03-05 00:00:00,41
Akitio Estuary at Coast Rd Bridge,2018-03-11 00:00:00,3650
Akitio Estuary at Coast Rd Bridge,2018-03-20 00:00:00,62
Akitio Estuary at Coast Rd Bridge,2018-03-26 00:00:00,75
Akitio Estuary at Coast Rd Bridge,2018-04-04 00:00:00,31
Akitio Estuary at Coast Rd Bridge,2018-04-10 00:00:00,275
Akitio Estuary at Coast Rd Bridge,2018-04-16 00:00:00,1730
Akitio Estuary at Coast Rd Bridge,2018-04-22 00:00:00,556
Akitio Estuary at Coast Rd Bridge,2018-11-11 00:00:00,31
Akitio Estuary at Coast Rd Bridge,2018-11-19 00:00:00,110
Akitio Estuary at Coast Rd Bridge,2018-11-25 00:00:00,373
Akitio Estuary at Coast Rd Bridge,2018-12-02 00:00:00,2760
Akitio Estuary at Coast Rd Bridge,2018-12-11 00:00:00,341
Akitio Estuary at Coast Rd Bridge,2018-12-17 00:00:00,
Akitio Estuary at Coast Rd Bridge,2018-12-23 00:00:00,364
Akitio Estuary at Coast Rd Bridge,2018-12-31 00:00:00,411
Akitio Estuary at Coast Rd Bridge,2019-01-06 00:00:00,171
Akitio Estuary at Coast Rd Bridge,2019-01-14 00:00:00,74
Akitio Estuary at Coast Rd Bridge,2019-01-20 00:00:00,537
Akitio Estuary at Coast Rd Bridge,2019-01-28 00:00:00,275
Akitio Estuary at Coast Rd Bridge,2019-02-03 00:00:00,272
Akitio Estuary at Coast Rd Bridge,2019-02-11 00:00:00,120
Akitio Estuary at Coast Rd Bridge,2019-02-17 00:00:00,63
Akitio Estuary at Coast Rd Bridge,2019-02-25 00:00:00,4880
Akitio Estuary at Coast Rd Bridge,2019-03-03 00:00:00,199
Akitio Estuary at Coast Rd Bridge,2019-03-11 00:00:00,345
Akitio Estuary at Coast Rd Bridge,2019-03-18 00:00:00,85
Akitio Estuary at Coast Rd Bridge,2019-03-26 00:00:00,173
Akitio Estuary at Coast Rd Bridge,2019-03-31 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2019-04-08 00:00:00,2098
Akitio Estuary at Coast Rd Bridge,2019-04-14 00:00:00,1019
Akitio Estuary at Coast Rd Bridge,2019-04-23 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2019-04-28 00:00:00,86
Akitio Estuary at Coast Rd Bridge,2019-11-03 00:00:00,
Akitio Estuary at Coast Rd Bridge,2019-11-11 00:00:00,275
Akitio Estuary at Coast Rd Bridge,2019-11-17 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2019-11-25 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2019-12-01 00:00:00,166
Akitio Estuary at Coast Rd Bridge,2019-12-09 00:00:00,262
Akitio Estuary at Coast Rd Bridge,2019-12-15 00:00:00,110
Akitio Estuary at Coast Rd Bridge,2019-12-23 00:00:00,19900
Akitio Estuary at Coast Rd Bridge,2019-12-29 00:00:00,161
Akitio Estuary at Coast Rd Bridge,2020-01-06 00:00:00,256
Akitio Estuary at Coast Rd Bridge,2020-01-12 00:00:00,697
