Date,EColi
2021-11-02,151.0
2021-11-09,591.0
2021-11-15,189.0
2021-11-23,97.0
2021-11-30,1317.0
2021-12-07,13000.0
2021-12-14,3490.0
2021-12-21,152.0
2021-12-28,4610.0
2022-01-04,187.0
2022-01-11,573.0
2022-01-18,412.0
2022-01-25,109.0
2022-02-01,331.0
2022-02-08,882.0
2022-02-15,410.0
2022-02-22,132.0
2022-03-01,813.0
2022-03-08,187.0
2022-03-15,432.0
2022-03-22,102.0
2022-03-29,428.0
2022-04-05,122.0
2022-04-12,243.0
2022-04-20,146.0
2022-04-27,160.0
2022-11-01,203.0
2022-11-07,379.0
2022-11-14,6870.0
2022-11-21,697.0
2022-11-28,546.0
2022-12-05,228.0
2022-12-12,265.0
2022-12-19,364.0
2022-12-26,573.0
2023-01-02,135.0
2023-01-09,148.0
2023-01-16,98.0
2023-01-24,158.0
2023-01-30,295.0
2023-02-07,1616.0
2023-02-20,2610.0
2023-02-27,146.0
2023-03-06,373.0
2023-03-13,369.0
2023-03-20,727.0
2023-03-27,573.0
2023-04-03,932.0
2023-04-11,318.0
2023-04-17,616.0
2023-04-24,2480.0
2023-11-08,158.0
2023-11-13,241.0
2023-11-20,727.0
2023-11-27,473.0
2023-12-04,97.0
2023-12-11,586.0
2023-12-18,231.0
2023-12-27,243.0
2024-01-03,171.0
2024-01-08,246.0
2024-01-15,583.0
2024-01-23,1106.0
2024-01-29,801.0
2024-02-05,52.0
2024-02-12,487.0
2024-02-19,262.0
2024-02-26,8660.0
2024-03-04,5790.0
2024-03-11,2064.0
2024-03-18,160.0
2024-03-25,368.0
2024-04-02,108.0
2024-04-08,613.0
2024-04-15,241.0
2024-04-22,422.0
2024-11-04,1281.0
2024-11-11,27.6
2024-11-18,684.0
2024-11-25,269.0
2024-12-02,
2024-12-09,288.0
2024-12-16,243.0
2024-12-23,122.0
2024-12-30,620.0
2025-01-06,135.0
2025-01-13,292.0
2025-01-21,169.0
2025-01-28,63.0
2025-02-03,259.0
2025-02-10,414.0
2025-02-17,246.0
2025-02-24,134.0
2025-03-03,556.0
2025-03-10,134.0
2025-03-17,110.0
2025-03-24,110.0
2025-03-31,226.0
2025-04-07,717.0
2025-04-14,331.0
2025-04-23,677.0
2025-04-28,233.0
2025-11-03,189.0
2025-11-10,183.0
2025-11-17,108.0
2025-11-24,144.0
2025-12-01,197.0
2025-12-08,63.0
2025-12-15,148.0
2025-12-22,158.0
2025-12-29,631.0
2026-01-07,605.0
2026-01-12,386.0
2026-01-20,211.0
2026-01-26,573.0
2026-02-02,228.0
2026-02-09,122.0
2026-02-17,24200.0
2026-02-23,121.0
2026-03-02,185.0
2026-03-10,216.0
2026-03-16,279.0
2026-03-23,161.0
2026-03-30,305.0
2026-04-07,3260.0
2026-04-13,754.0
2026-04-20,677.0
2026-04-28,2247.0
