Date,EColi
2016-12-01,100.0
2016-12-07,1400.0
2016-12-13,170.0
2016-12-20,74.0
2016-12-29,73.0
2017-01-05,160.0
2017-01-10,230.0
2017-01-17,86.0
2017-01-26,72.0
2017-02-01,120.0
2017-02-09,160.0
2017-02-15,58.0
2017-02-22,100.0
2017-03-01,98.0
2017-03-08,640.0
2017-03-15,290.0
2017-03-22,130.0
2017-03-29,190.0
2017-04-05,
2017-04-12,180.0
2017-04-20,190.0
2017-04-26,97.0
2017-11-07,185.0
2017-11-13,160.0
2017-11-19,880.0
2017-11-28,1590.0
2017-12-04,637.0
2017-12-10,1660.0
2017-12-19,262.0
2017-12-28,689.0
2018-01-04,4110.0
2018-01-09,480.0
2018-01-15,
2018-01-21,521.0
2018-01-30,581.0
2018-02-05,52.0
2018-02-11,285.0
2018-02-20,98.0
2018-02-26,97.0
2018-03-04,63.0
2018-03-13,537.0
2018-03-19,63.0
2018-03-25,203.0
2018-04-03,98.0
2018-04-09,74.0
2018-04-15,650.0
2018-04-24,253.0
2018-11-12,98.0
2018-11-18,148.0
2018-11-26,5170.0
2018-12-02,473.0
2018-12-11,282.0
2018-12-16,1178.0
2018-12-24,10.0
2018-12-30,213.0
2019-01-07,132.0
2019-01-13,96.0
2019-01-22,122.0
2019-01-27,187.0
2019-02-04,109.0
2019-02-10,134.0
2019-02-18,63.0
2019-02-24,262.0
2019-03-04,75.0
2019-03-10,379.0
2019-03-19,243.0
2019-03-24,197.0
2019-04-02,504.0
2019-04-07,246.0
2019-04-15,171.0
2019-11-04,282.0
2019-11-10,9.0
2019-11-18,292.0
2019-11-24,183.0
2019-12-02,428.0
2019-12-08,110.0
2019-12-16,223.0
2019-12-22,644.0
2019-12-30,175.0
2020-01-05,145.0
2020-01-13,238.0
2020-01-19,52.0
2020-01-27,63.0
2020-02-02,10.0
2020-02-10,52.0
2020-02-16,98.0
2020-02-24,309.0
2020-03-01,435.0
2020-03-09,86.0
2020-03-15,41.0
2020-03-23,146.0
2020-11-01,134.0
2020-11-09,262.0
2020-11-15,317.0
2020-11-23,272.0
2020-11-29,171.0
2020-12-07,135.0
2020-12-13,122.0
2020-12-21,121.0
2020-12-27,259.0
2021-01-04,19900.0
2021-01-10,420.0
2021-01-18,144.0
2021-01-24,175.0
2021-02-01,52.0
2021-02-07,20.0
2021-02-15,41.0
2021-02-21,173.0
2021-02-28,97.0
2021-03-07,368.0
2021-03-15,266.0
2021-03-21,175.0
2021-03-29,288.0
2021-04-04,145.0
2021-04-12,30.0
2021-04-18,97.0
2021-04-26,74.0
2021-11-03,144.0
2021-11-10,52.0
2021-11-17,393.0
2021-11-24,122.0
2021-12-01,14100.0
2021-12-08,420.0
2021-12-15,2610.0
2021-12-22,201.0
2021-12-29,697.0
2022-01-05,52.0
2022-01-12,98.0
2022-01-19,134.0
2022-01-26,122.0
2022-02-02,58.0
2022-02-07,3650.0
2022-02-16,279.0
2022-02-23,110.0
2022-03-02,98.0
2022-03-09,110.0
2022-03-16,41.0
2022-03-23,712.0
2022-03-30,331.0
2022-04-06,134.0
2022-04-13,10.0
2022-04-21,41.0
2022-04-28,52.0
2022-11-02,435.0
2022-11-08,218.0
2022-11-15,97.0
2022-11-22,563.0
2022-11-29,269.0
2022-12-06,216.0
2022-12-13,545.0
2022-12-20,2382.0
2022-12-27,247.0
2023-01-03,110.0
2023-01-10,249.0
2023-01-17,279.0
2023-01-25,41.0
2023-01-31,1076.0
2023-02-08,443.0
2023-02-21,171.0
2023-02-28,
2023-03-07,41.0
2023-03-14,880.0
2023-03-21,313.0
2023-03-28,109.0
2023-04-04,309.0
2023-04-12,2046.0
2023-04-18,63.0
2023-04-24,20.0
2023-11-08,1725.0
2023-11-15,107.0
2023-11-22,187.0
2023-11-29,31.0
2023-12-06,171.0
2023-12-13,160.0
2023-12-20,74.0
2023-12-29,185.0
2024-01-05,62.0
2024-01-10,75.0
2024-01-17,683.0
2024-01-25,122.0
2024-01-31,663.0
2024-02-08,109.0
2024-02-14,85.0
2024-02-21,31.0
2024-02-28,52.0
2024-03-06,275.0
2024-03-13,120.0
2024-03-20,75.0
2024-03-27,63.0
2024-04-04,110.0
2024-04-10,20.0
2024-04-17,30.0
2024-04-23,620.0
2024-11-05,364.0
2024-11-12,145.0
2024-11-19,31.0
2024-11-27,30.0
2024-12-04,
2024-12-10,211.0
2024-12-17,134.0
2024-12-23,201.0
2024-12-30,109.0
2025-01-07,1789.0
2025-01-14,86.0
2025-01-22,41.0
2025-01-28,146.0
2025-02-04,417.0
2025-02-11,52.0
2025-02-18,52.0
2025-02-25,41.0
2025-03-04,10.0
2025-03-12,63.0
2025-03-18,63.0
2025-03-25,85.0
2025-04-01,1723.0
2025-04-09,74.0
2025-04-15,74.0
2025-04-23,938.0
2025-04-29,97.0
2025-11-05,161.0
2025-11-12,578.0
2025-11-19,84.0
2025-11-26,86.0
2025-12-03,282.0
2025-12-08,253.0
2025-12-17,110.0
2025-12-22,98.0
2025-12-29,122.0
2026-01-08,52.0
2026-01-14,110.0
2026-01-22,301.0
2026-01-28,223.0
2026-02-04,187.0
2026-02-11,41.0
2026-02-18,2760.0
2026-02-25,272.0
2026-03-04,171.0
2026-03-13,20.0
2026-03-18,73.0
2026-03-25,85.0
2026-04-01,148.0
2026-04-09,63.0
2026-04-15,272.0
2026-04-21,2400.0
2026-04-30,145.0
