Date,EColi
2011-11-02,520.0
2011-11-09,170.0
2011-11-16,300.0
2011-11-23,130.0
2011-11-30,110.0
2011-12-07,
2011-12-14,99.0
2011-12-21,52.0
2011-12-28,190.0
2012-01-04,150.0
2012-01-11,64.0
2012-01-18,68.0
2012-01-25,1400.0
2012-02-01,180.0
2012-02-08,180.0
2012-02-15,220.0
2012-02-22,640.0
2012-02-29,210.0
2012-03-07,740.0
2012-03-14,280.0
2012-03-21,280.0
2012-03-28,250.0
2012-04-03,450.0
2012-04-11,530.0
2012-04-18,290.0
2012-04-23,310.0
2012-11-07,98.0
2012-11-14,80.0
2012-11-21,58.0
2012-11-28,54.0
2012-12-05,150.0
2012-12-12,320.0
2012-12-19,160.0
2012-12-27,360.0
2013-01-03,300.0
2013-01-09,110.0
2013-01-16,4.0
2013-01-23,140.0
2013-01-30,43.0
2013-02-07,660.0
2013-02-13,830.0
2013-02-20,540.0
2013-02-27,610.0
2013-03-06,560.0
2013-03-13,500.0
2013-03-20,520.0
2013-03-26,740.0
2013-04-03,720.0
2013-04-10,940.0
2013-04-17,550.0
2013-04-23,1000.0
2013-11-06,240.0
2013-11-13,100.0
2013-11-20,460.0
2013-11-27,1000.0
2013-12-04,81.0
2013-12-11,160.0
2013-12-18,110.0
2013-12-20,120.0
2013-12-27,140.0
2014-01-03,92.0
2014-01-08,110.0
2014-01-15,210.0
2014-01-22,69.0
2014-01-29,86.0
2014-02-04,85.0
2014-02-12,500.0
2014-02-19,240.0
2014-02-26,360.0
2014-03-05,230.0
2014-03-12,110.0
2014-03-19,510.0
2014-03-26,200.0
2014-04-02,420.0
2014-04-09,430.0
2014-04-15,690.0
2014-04-22,280.0
2014-04-30,190.0
2014-11-05,170.0
2014-11-12,310.0
2014-11-19,420.0
2014-11-26,230.0
2014-12-03,200.0
2014-12-10,1700.0
2014-12-17,320.0
2015-02-03,470.0
2015-02-11,450.0
2015-02-18,400.0
2015-02-25,200.0
2015-03-04,490.0
2015-03-11,150.0
2015-03-18,230.0
2015-03-25,450.0
2015-03-31,540.0
2015-04-08,5700.0
2015-04-15,150.0
2015-04-22,160.0
2015-04-29,490.0
2015-11-04,220.0
2015-11-11,190.0
2015-11-18,160.0
2015-12-02,370.0
2015-12-09,70.0
2015-12-16,91.0
2015-12-22,210.0
2015-12-29,370.0
2016-01-06,110.0
2016-01-13,63.0
2016-01-20,80.0
2016-01-27,67.0
2016-02-03,160.0
2016-02-10,220.0
2016-02-17,2500.0
2016-02-24,520.0
2016-03-02,16.0
2016-03-09,190.0
2016-03-16,1400.0
2016-03-22,520.0
2016-03-30,1100.0
2016-04-06,380.0
2016-04-13,
2016-04-20,260.0
2016-04-27,210.0
2016-11-02,400.0
2016-11-09,93.0
2016-11-16,530.0
2016-11-23,160.0
2016-11-30,150.0
2016-12-07,69.0
2016-12-13,150.0
2016-12-20,160.0
2016-12-29,80.0
2017-01-05,90.0
2017-01-10,160.0
2017-01-17,150.0
2017-01-25,200.0
2017-01-31,140.0
2017-02-08,100.0
2017-02-14,450.0
2017-02-21,38.0
2017-02-28,820.0
2017-03-07,240.0
2017-03-14,86.0
2017-03-21,140.0
2017-03-28,190.0
2017-04-04,2000.0
2017-04-11,230.0
2017-04-19,130.0
2017-04-27,200.0
2017-11-06,203.0
2017-11-12,92.0
2017-11-21,41.0
2017-11-29,295.0
2017-12-03,504.0
2017-12-12,292.0
2017-12-18,161.0
2017-12-27,10.0
2018-01-03,399.0
2018-01-08,146.0
2018-01-14,309.0
2018-01-24,3450.0
2018-01-29,988.0
2018-02-04,512.0
2018-02-13,1920.0
2018-02-19,1370.0
2018-02-25,369.0
2022-11-01,228.0
2022-11-07,173.0
2022-11-14,262.0
2022-11-21,231.0
2022-11-28,85.0
2022-12-05,141.0
2022-12-12,187.0
2022-12-19,364.0
