Date,EColi
2017-01-30,96.0
2017-02-07,1500.0
2017-02-27,54.0
2017-03-06,270.0
2017-03-13,1000.0
2017-03-20,140.0
2017-03-27,470.0
2017-04-03,770.0
2017-04-10,210.0
2017-04-18,210.0
2017-04-27,210.0
2017-11-05,63.0
2017-11-14,20.0
2017-11-20,
2017-11-26,10.0
2017-12-05,63.0
2017-12-11,96.0
2017-12-17,86.0
2017-12-24,213.0
2017-12-31,132.0
2018-01-07,426.0
2018-01-16,173.0
2018-01-23,8160.0
2018-01-28,146.0
2018-02-07,63.0
2018-02-12,288.0
2018-02-16,528.0
2018-02-18,97.0
2018-02-27,650.0
2018-03-05,341.0
2018-03-11,1010.0
2018-03-20,259.0
2018-03-26,1790.0
2018-04-04,697.0
2018-04-10,12000.0
2018-04-18,528.0
2018-04-22,246.0
2018-11-11,131.0
2018-11-19,410.0
2018-11-25,1918.0
2018-12-03,197.0
2018-12-09,175.0
2018-12-17,471.0
2018-12-23,455.0
2018-12-31,279.0
2019-01-06,20.0
2019-01-14,132.0
2019-01-20,379.0
2019-01-28,583.0
2019-02-03,20.0
2019-02-11,459.0
2019-02-17,146.0
2019-02-25,4110.0
2019-03-03,10.0
2019-03-11,241.0
2019-03-19,52.0
2019-03-25,52.0
2019-03-31,31.0
2019-04-08,85.0
2019-04-14,331.0
2019-04-23,161.0
2019-04-30,2098.0
2019-11-03,41.0
2019-11-11,3080.0
2019-11-17,175.0
2019-11-25,121.0
2019-12-01,61.0
2019-12-09,2282.0
2019-12-15,426.0
2019-12-23,62.0
2019-12-29,20.0
2020-01-06,13000.0
2020-01-12,31.0
2020-01-20,9.0
2020-01-26,20.0
2020-02-03,441.0
2020-02-09,10.0
2020-02-17,10.0
2020-02-23,9.0
2020-03-02,10.0
2020-03-08,1842.0
2020-03-16,873.0
2020-03-22,2760.0
2020-11-04,404.0
2020-11-08,20.0
2020-11-16,86.0
2020-11-22,1046.0
2020-11-30,341.0
2020-12-06,169.0
2020-12-14,52.0
2020-12-20,85.0
2020-12-28,644.0
2021-01-03,148.0
2021-01-11,109.0
2021-01-17,10.0
2021-01-26,41.0
2021-01-31,97.0
2021-02-09,20.0
2021-02-09,20.0
2021-02-14,9.0
2021-02-22,9.0
2021-03-01,10.0
2021-03-08,31.0
2021-03-14,20.0
2021-03-28,9.0
2021-04-05,75.0
2021-04-19,52.0
2021-04-26,169.0
2021-11-02,36.0
2021-11-09,10.0
2021-11-16,
2021-11-23,75.0
2021-11-30,7270.0
2021-12-07,374.0
2021-12-14,5170.0
2021-12-21,98.0
2021-12-28,2247.0
2022-01-04,85.0
2022-01-11,185.0
2022-01-18,
2022-01-25,63.0
2022-02-01,
2022-02-08,52.0
2022-02-15,41.0
2022-02-22,315.0
2022-03-01,213.0
2022-03-08,
2022-03-15,10.0
2022-03-22,96.0
2022-03-29,10.0
2022-04-05,369.0
2022-04-12,3010.0
2022-04-14,677.0
2022-04-19,
2022-04-27,26.0
2022-11-01,448.0
2022-11-07,52.0
2022-11-14,160.0
2022-11-21,364.0
2022-11-28,159.0
2022-12-05,110.0
2022-12-12,1076.0
2022-12-14,189.0
2022-12-19,199.0
2022-12-26,
2023-01-02,31.0
2023-01-09,52.0
2023-01-16,97.0
2023-01-24,10.0
2023-01-30,663.0
2023-02-01,85.0
2023-02-07,231.0
2023-02-13,594.0
2023-02-15,322.0
2023-02-20,98.0
2023-02-27,
2023-03-06,10.0
2023-03-13,262.0
2023-03-20,75.0
2023-03-27,63.0
2023-04-03,738.0
2023-04-05,41.0
2023-04-11,10.0
2023-04-17,10.0
2023-04-24,295.0
2023-11-08,10.0
2023-11-13,10.0
2023-11-20,20.0
2023-11-27,52.0
2023-12-04,63.0
2023-12-11,318.0
2023-12-18,41.0
2023-12-27,227.0
2024-01-03,63.0
2024-01-08,10.0
2024-01-15,52.0
2024-01-23,197.0
2024-01-29,774.0
2024-02-05,771.0
2024-02-07,175.0
2024-02-12,199.0
2024-02-19,41.0
2024-02-26,41.0
2024-03-04,41.0
2024-03-11,31.0
2024-03-18,108.0
2024-03-25,31.0
2024-04-02,10.0
2024-04-08,42.0
2024-04-15,404.0
2024-04-22,10.0
2024-11-04,10.0
2024-11-11,31.0
2024-11-18,10.0
2024-11-25,
2024-12-02,
2024-12-09,
2024-12-16,
2024-12-23,10.0
2024-12-30,62.0
2025-01-06,122.0
2025-01-13,
2025-01-21,
2025-01-28,
2025-02-03,110.0
2025-02-10,
2025-02-17,
2025-02-24,
2025-03-03,52.0
2025-03-10,
2025-03-17,41.0
2025-03-24,41.0
2025-03-31,97.0
2025-04-07,41.0
2025-04-14,31.0
2025-04-23,556.0
2025-04-28,
2025-11-03,
2025-11-10,122.0
2025-11-17,
2025-11-24,20.0
2025-12-01,10.0
2025-12-08,241.0
2025-12-15,20.0
2025-12-22,85.0
2025-12-29,292.0
2026-01-07,31.0
2026-01-12,199.0
2026-01-20,20.0
2026-01-26,298.0
2026-02-02,144.0
2026-02-09,73.0
2026-02-17,1860.0
2026-02-23,30.0
2026-03-02,145.0
2026-03-10,52.0
2026-03-16,144.0
2026-03-23,98.0
2026-03-30,41.0
2026-04-07,41.0
2026-04-13,1071.0
2026-04-15,504.0
2026-04-20,771.0
2026-04-28,95.0
