Date,EColi
2016-11-30,440.0
2016-12-06,34.0
2016-12-12,220.0
2016-12-19,1100.0
2016-12-28,670.0
2017-01-04,160.0
2017-01-09,1200.0
2017-01-16,74.0
2017-01-24,150.0
2017-01-30,230.0
2017-02-07,6900.0
2017-02-13,380.0
2017-02-20,62.0
2017-02-27,110.0
2017-03-06,86.0
2017-03-13,250.0
2017-03-20,76.0
2017-03-27,390.0
2017-04-03,4500.0
2017-04-10,49.0
2017-04-18,89.0
2017-04-27,54.0
2017-11-06,31.0
2017-11-12,21.0
2017-11-21,187.0
2017-11-29,98.0
2017-12-03,41.0
2017-12-12,20.0
2017-12-18,31.0
2017-12-27,2720.0
2018-01-03,20.0
2018-01-08,279.0
2018-01-14,323.0
2018-01-24,85.0
2018-01-29,41.0
2018-02-04,226.0
2018-02-13,259.0
2018-02-19,110.0
2018-02-25,30.0
2018-03-06,152.0
2018-03-12,97.0
2018-03-18,74.0
2018-03-27,20.0
2018-04-05,10.0
2018-04-08,226.0
2018-04-15,132.0
2018-04-23,132.0
2018-11-12,85.0
2018-11-18,86.0
2018-11-26,3260.0
2018-12-02,238.0
2018-12-10,41.0
2018-12-16,132.0
2018-12-24,213.0
2018-12-30,121.0
2019-01-07,199.0
2019-01-13,246.0
2019-01-22,97.0
2019-01-27,216.0
2019-02-04,259.0
2019-02-10,85.0
2019-02-18,75.0
2019-02-24,20.0
2019-03-04,63.0
2019-03-10,504.0
2019-03-17,63.0
2019-03-24,97.0
2019-04-01,158.0
2019-04-07,31.0
2019-04-15,41.0
2019-04-21,75.0
2019-04-29,275.0
2019-11-04,86.0
2019-11-10,110.0
2019-11-18,833.0
2019-11-24,9.0
2019-12-02,31.0
2019-12-08,3280.0
2019-12-16,97.0
2019-12-22,109.0
2019-12-30,1607.0
2020-01-05,86.0
2020-01-13,41.0
2020-01-19,74.0
2020-01-27,355.0
2020-02-02,259.0
2020-02-10,134.0
2020-02-16,31.0
2020-02-24,535.0
2020-03-01,1607.0
2020-03-09,110.0
2020-03-15,63.0
2020-11-02,98.0
2020-11-08,75.0
2020-11-16,74.0
2020-11-22,134.0
2020-11-30,216.0
2020-12-06,62.0
2020-12-14,75.0
2020-12-20,109.0
2020-12-28,121.0
2021-01-03,2720.0
2021-01-11,75.0
2021-01-17,74.0
2021-01-26,243.0
2021-01-31,41.0
2021-02-09,20.0
2021-02-14,20.0
2021-02-22,31.0
2021-03-01,135.0
2021-03-08,554.0
2021-03-14,199.0
2021-03-28,31.0
2021-04-05,226.0
2021-04-11,259.0
2021-04-19,161.0
2021-04-25,74.0
2021-11-02,52.0
2021-11-09,52.0
2021-11-15,754.0
2021-11-23,109.0
2021-11-30,2660.0
2021-12-07,2232.0
2021-12-14,1334.0
2021-12-21,153.0
2021-12-28,86.0
2022-01-04,31.0
2022-01-11,309.0
2022-01-18,20.0
2022-01-25,98.0
2022-02-01,10.0
2022-02-08,855.0
2022-02-15,318.0
2022-02-22,131.0
2022-03-01,161.0
2022-03-08,86.0
2022-03-15,41.0
2022-03-22,1211.0
2022-03-29,197.0
2022-04-05,31.0
2022-04-12,52.0
2022-04-20,63.0
2022-04-27,134.0
2022-11-01,86.0
2022-11-07,10.0
2022-11-14,96.0
2022-11-21,121.0
2022-11-28,480.0
2022-12-05,259.0
2022-12-12,86.0
2022-12-19,52.0
2022-12-26,134.0
2023-01-02,169.0
2023-01-09,226.0
2023-01-16,75.0
2023-01-24,10.0
2023-01-30,1470.0
2023-02-07,238.0
2023-02-13,173.0
2023-02-20,41.0
2023-02-27,145.0
2023-03-06,31.0
2023-03-13,173.0
2023-03-20,109.0
2023-03-27,86.0
2023-04-03,62.0
2023-04-11,85.0
2023-04-17,52.0
2023-04-24,169.0
2023-11-06,75.0
2023-11-13,75.0
2023-11-20,767.0
2023-11-27,135.0
2023-12-04,526.0
2023-12-11,211.0
2023-12-18,110.0
2023-12-27,134.0
2024-01-03,250.0
2024-01-08,116.0
2024-01-15,134.0
2024-01-23,8160.0
2024-01-29,407.0
2024-02-05,246.0
2024-02-12,86.0
2024-02-19,31.0
2024-02-26,1076.0
2024-03-04,295.0
2024-03-11,189.0
2024-03-18,110.0
2024-03-25,10.0
2024-04-02,10.0
2024-04-08,41.0
2024-04-15,213.0
2024-04-22,75.0
2024-11-04,74.0
2024-11-11,11.4
2024-11-18,31.0
2024-11-25,41.0
2024-12-02,
2024-12-09,3255.0
2024-12-16,41.0
2024-12-23,86.0
2024-12-30,110.0
2025-01-06,173.0
2025-01-13,189.0
2025-01-21,40.0
2025-01-27,3654.0
2025-02-03,10.0
2025-02-10,85.0
2025-02-17,52.0
2025-02-24,96.0
2025-03-03,73.0
2025-03-10,108.0
2025-03-17,218.0
2025-03-24,97.0
2025-03-31,20.0
2025-04-07,256.0
2025-04-14,373.0
2025-04-22,223.0
2025-04-28,
2025-11-04,20.0
2025-11-11,529.0
2025-11-18,97.0
2025-11-25,86.0
2025-12-02,201.0
2025-12-09,74.0
2025-12-16,10.0
2025-12-22,121.0
2025-12-29,120.0
2026-01-07,20.0
2026-01-13,262.0
2026-01-21,285.0
2026-01-27,364.0
2026-02-03,160.0
2026-02-10,98.0
2026-02-17,441.0
2026-02-24,130.0
2026-03-03,97.0
2026-03-11,52.0
2026-03-17,41.0
2026-03-24,426.0
2026-03-31,1178.0
2026-04-08,30.0
2026-04-14,318.0
2026-04-21,1112.0
2026-04-29,134.0
