Date,EColi
2016-11-27,1400.0
2016-12-05,490.0
2016-12-14,91.0
2016-12-21,370.0
2016-12-29,340.0
2017-01-05,370.0
2017-01-11,540.0
2017-01-18,230.0
2017-01-26,260.0
2017-02-01,58.0
2017-02-09,250.0
2017-02-15,80.0
2017-02-22,350.0
2017-03-01,5200.0
2017-03-08,4200.0
2017-03-15,280.0
2017-03-22,250.0
2017-03-29,1300.0
2017-04-20,360.0
2017-04-26,140.0
2017-11-07,464.0
2017-11-13,
2017-11-19,624.0
2017-11-28,884.0
2017-12-04,435.0
2017-12-10,637.0
2017-12-19,771.0
2017-12-28,1190.0
2018-01-04,8660.0
2018-01-09,3650.0
2018-01-15,1190.0
2018-01-21,598.0
2018-01-30,512.0
2018-02-05,414.0
2018-02-11,512.0
2018-02-20,1420.0
2018-02-26,537.0
2018-03-04,231.0
2018-03-13,1450.0
2018-03-19,275.0
2018-03-25,717.0
2018-04-03,435.0
2018-04-09,299.0
2018-04-17,4880.0
2018-04-24,565.0
2018-11-12,487.0
2018-11-18,480.0
2018-11-26,1169.0
2018-12-03,8160.0
2018-12-11,1063.0
2018-12-16,1904.0
2018-12-24,1354.0
2018-12-30,1274.0
2019-01-07,359.0
2019-01-13,388.0
2019-01-22,1421.0
2019-01-27,428.0
2019-02-04,399.0
2019-02-10,51.0
2019-02-18,495.0
2019-02-24,2500.0
2019-03-04,309.0
2019-03-10,1211.0
2019-03-19,512.0
2019-03-24,211.0
2019-04-01,798.0
2019-04-07,13000.0
2019-04-15,1017.0
2019-04-21,262.0
2019-04-30,2282.0
2019-11-04,369.0
2019-11-10,384.0
2019-11-18,1722.0
2019-11-24,119.0
2019-12-02,546.0
2019-12-08,7700.0
2019-12-16,262.0
2019-12-22,9210.0
2019-12-30,583.0
2020-01-05,480.0
2020-01-13,41.0
2020-01-19,238.0
2020-01-27,2359.0
2020-02-02,512.0
2020-02-10,464.0
2020-02-16,520.0
2020-02-24,199.0
2020-03-01,988.0
2020-03-09,1515.0
2020-03-15,243.0
2020-03-23,573.0
2020-11-02,583.0
2020-11-08,780.0
2020-11-16,309.0
2020-11-22,594.0
2020-11-30,4610.0
2020-12-06,650.0
2020-12-14,1119.0
2020-12-20,727.0
2020-12-28,638.0
2021-01-03,650.0
2021-01-11,697.0
2021-01-17,546.0
2021-01-26,717.0
2021-01-31,218.0
2021-02-09,933.0
2021-02-14,355.0
2021-02-22,345.0
2021-03-01,471.0
2021-03-08,602.0
2021-03-14,990.0
2021-03-28,384.0
2021-04-05,538.0
2021-04-11,529.0
2021-04-19,657.0
2021-04-26,1017.0
2021-11-01,960.0
2021-11-08,285.0
2021-11-15,1396.0
2021-11-22,771.0
2021-11-29,657.0
2021-12-06,231.0
2021-12-13,9210.0
2021-12-20,2155.0
2021-12-27,546.0
2022-01-03,884.0
2022-01-10,960.0
2022-01-17,41.0
2022-01-24,414.0
2022-01-31,677.0
2022-02-07,13000.0
2022-02-14,4110.0
2022-02-21,933.0
2022-02-28,563.0
2022-03-07,441.0
2022-03-14,414.0
2022-03-21,41.0
2022-03-28,1850.0
2022-04-04,31.0
2022-04-11,336.0
2022-04-19,455.0
2022-04-27,285.0
2022-11-01,798.0
2022-11-07,355.0
2022-11-14,441.0
2022-11-21,4350.0
2022-11-28,6130.0
2022-12-05,1515.0
2022-12-12,1789.0
2022-12-19,6870.0
2022-12-26,1483.0
2023-01-02,538.0
2023-01-09,8660.0
2023-01-16,798.0
2023-01-24,408.0
2023-01-30,4610.0
2023-02-07,1296.0
2023-02-13,988.0
2023-02-20,3450.0
2023-02-27,1119.0
2023-03-06,1314.0
2023-03-13,1046.0
2023-03-20,1918.0
2023-03-27,1187.0
2023-04-03,776.0
2023-04-11,762.0
2023-04-17,428.0
2023-04-24,1565.0
2023-11-06,488.0
2023-11-13,749.0
2023-11-20,3260.0
2023-11-27,2098.0
2023-12-04,1050.0
2023-12-11,631.0
2023-12-18,706.0
2023-12-27,1515.0
2024-01-03,2760.0
2024-01-08,1314.0
2024-01-15,238.0
2024-01-23,1935.0
2024-01-29,98.0
2024-02-05,2610.0
2024-02-12,573.0
2024-02-19,465.0
2024-02-26,703.0
2024-03-04,663.0
2024-03-11,1918.0
2024-03-18,733.0
2024-03-25,259.0
2024-04-02,432.0
2024-04-08,345.0
2024-04-15,985.0
2024-04-22,1789.0
2024-11-04,8664.0
2024-11-11,920.8
2024-11-18,488.0
2024-11-25,450.0
2024-12-02,
2024-12-09,862.0
2024-12-16,934.0
2024-12-23,620.0
2024-12-30,1935.0
2025-01-06,4611.0
2025-01-13,677.0
2025-01-21,538.0
2025-01-27,700.0
2025-02-03,345.0
2025-02-10,341.0
2025-02-17,203.0
2025-02-24,305.0
2025-03-03,411.0
2025-03-10,565.0
2025-03-17,350.0
2025-03-24,471.0
2025-04-01,281.0
2025-04-07,882.0
2025-04-14,272.0
2025-04-22,706.0
2025-04-28,1333.0
2025-11-03,389.0
2025-11-10,441.0
2025-11-17,305.0
2025-11-24,275.0
2025-12-01,495.0
2025-12-08,884.0
2025-12-15,609.0
2025-12-22,301.0
2025-12-29,404.0
2026-01-07,341.0
2026-01-12,2014.0
2026-01-20,1112.0
2026-01-26,1722.0
2026-02-02,2760.0
2026-02-09,450.0
2026-02-17,9210.0
2026-02-23,355.0
2026-03-02,754.0
2026-03-10,733.0
2026-03-16,426.0
2026-03-23,10.0
2026-03-30,908.0
2026-04-07,331.0
2026-04-13,7700.0
2026-04-20,3870.0
2026-04-28,373.0
