Date,EColi
2004-11-02,455.0
2004-11-16,1200.0
2004-11-29,480.0
2004-12-06,540.0
2004-12-16,20.0
2004-12-20,470.0
2004-12-29,5800.0
2005-01-05,3450.0
2005-01-17,1000.0
2005-01-25,5200.0
2005-01-31,365.0
2005-02-14,910.0
2005-02-21,120.0
2005-02-28,1400.0
2005-03-07,770.0
2005-03-14,850.0
2005-03-20,
2005-03-30,465.0
2005-04-11,20.0
2005-04-18,
2005-04-26,910.0
2005-10-31,120.0
2005-11-08,130.0
2005-11-23,120.0
2005-11-28,50.0
2005-12-07,395.0
2005-12-21,430.0
2005-12-27,450.0
2006-01-03,6500.0
2006-01-09,75.0
2006-01-17,10.0
2006-01-24,75.0
2006-02-01,20.0
2006-02-07,30.0
2006-02-14,110.0
2006-02-23,10.0
2006-03-01,40.0
2006-03-07,1800.0
2006-03-14,75.0
2006-03-20,175.0
2006-03-29,50.0
2006-03-31,30.0
2006-04-03,30.0
2006-04-12,50.0
2006-04-27,220.0
2006-11-13,95.0
2006-11-20,65.0
2006-11-27,280.0
2006-12-04,215.0
2006-12-11,145.0
2006-12-18,475.0
2006-12-26,135.0
2007-01-02,215.0
2007-01-09,75.0
2007-01-15,2500.0
2007-01-23,910.0
2007-01-29,720.0
2007-02-07,215.0
2007-02-12,30.0
2007-02-19,50.0
2007-02-26,50.0
2007-03-05,20.0
2007-03-12,85.0
2007-03-19,275.0
2007-03-26,10.0
2007-04-02,175.0
2007-04-10,10.0
2007-04-16,10.0
2007-04-23,10.0
2007-04-30,20.0
2007-11-05,580.0
2007-11-12,145.0
2007-11-19,65.0
2007-11-26,430.0
2007-12-02,385.0
2007-12-10,210.0
2007-12-17,470.0
2008-01-07,135.0
2008-01-14,240.0
2008-01-21,240.0
2008-01-28,
2008-02-04,85.0
2008-02-11,730.0
2008-02-18,160.0
2008-02-25,9600.0
2008-03-03,10.0
2008-03-10,50.0
2008-03-17,65.0
2008-03-24,90.0
2008-03-31,410.0
2008-04-07,435.0
2008-04-14,70.0
2008-04-21,20.0
2008-04-28,465.0
2008-11-30,323.0
2008-12-08,545.0
2008-12-15,435.0
2008-12-22,209.0
2008-12-29,201.0
2009-01-05,62.0
2009-01-12,97.0
2009-01-19,640.0
2009-01-26,52.0
2009-02-02,115.4
2009-02-09,31.0
2009-02-15,63.0
2009-02-23,63.0
2009-03-01,98.0
2009-03-08,933.0
2009-03-16,10.0
2009-03-23,30.0
2009-03-30,132.4
2009-04-07,30.0
2009-04-15,41.0
2009-04-20,199.0
2009-04-28,41.0
2009-11-30,579.0
2009-12-07,84.0
2009-12-14,173.0
2009-12-20,2613.0
2009-12-29,1401.0
2010-01-05,657.0
2010-01-11,213.0
2010-01-18,110.0
2010-01-26,624.0
2010-02-01,14830.0
2010-02-08,41.0
2010-02-15,228.0
2010-02-21,98.0
2010-03-01,2909.3
2010-03-08,1019.0
2010-03-15,288.0
2010-03-21,97.0
2010-03-29,75.0
2010-04-05,318.0
2010-04-12,74.3
2010-04-18,607.4
2010-04-26,75.0
2010-11-03,88.0
2010-11-10,211.0
2010-11-17,100.0
2010-11-24,548.0
2010-12-01,260.0
2010-12-08,687.0
2010-12-15,100.0
2010-12-22,4960.0
2010-12-29,410.0
2011-01-05,21.0
2011-01-12,48.0
2011-01-19,2560.0
2011-01-26,310.0
2011-02-02,192.0
2011-02-09,310.0
2011-02-16,67.0
2011-02-23,4080.0
2011-03-02,100.0
2011-03-09,32.0
2011-03-16,48.0
2011-03-23,200.0
2011-03-30,517.0
2011-04-06,179.0
2011-04-13,172.0
2011-04-19,124.0
2011-04-27,5460.0
2011-11-02,290.0
2011-11-09,120.0
2011-11-16,110.0
2011-11-23,68.0
2011-11-30,83.0
2011-12-07,290.0
2011-12-14,2000.0
2011-12-21,160.0
2011-12-28,350.0
2012-01-04,85.0
2012-01-11,820.0
2012-01-18,250.0
2012-01-25,700.0
2012-02-01,93.0
2012-02-08,88.0
2012-02-15,55.0
2012-02-22,160.0
2012-02-29,74.0
2012-03-07,110.0
2012-03-14,74.0
2012-03-21,20.0
2012-03-28,470.0
2012-04-03,85.0
2012-04-11,300.0
2012-04-18,120.0
2012-04-23,74.0
2012-11-07,75.0
2012-11-14,140.0
2012-11-21,88.0
2012-11-28,170.0
2012-12-05,130.0
2012-12-12,120.0
2012-12-19,330.0
2012-12-27,580.0
2013-01-03,2300.0
2013-01-09,52.0
2013-01-16,38.0
2013-01-23,65.0
2013-01-30,21.0
2013-02-07,190.0
2013-02-13,21.0
2013-02-20,74.0
2013-02-27,12.0
2013-03-06,4.0
2013-03-13,12.0
2013-03-20,3700.0
2013-03-26,740.0
2013-04-03,49.0
2013-04-10,190.0
2013-04-17,180.0
2013-04-23,140.0
2013-11-06,230.0
2013-11-13,100.0
2013-11-20,270.0
2013-11-27,310.0
2013-12-04,150.0
2013-12-11,1200.0
2013-12-18,21.0
2013-12-20,30.0
2013-12-27,38.0
2014-01-03,28.0
2014-01-08,260.0
2014-01-15,92.0
2014-01-22,25.0
2014-01-29,21.0
2014-02-04,16.0
2014-02-12,38.0
2014-02-19,12.0
2014-02-26,120.0
2014-03-05,5200.0
2014-03-12,72.0
2014-03-19,210.0
2014-03-26,80.0
2014-04-02,12.0
2014-04-09,320.0
2014-04-15,970.0
2014-04-22,180.0
2014-04-30,640.0
2014-11-05,910.0
2014-11-12,670.0
2014-11-19,310.0
2014-11-26,710.0
2014-12-03,200.0
2014-12-10,1300.0
2014-12-17,300.0
2014-12-22,140.0
2014-12-29,300.0
2015-01-07,1600.0
2015-01-14,230.0
2015-01-21,
2015-01-28,76.0
2015-02-03,6200.0
2015-02-11,280.0
2015-02-18,130.0
2015-02-25,210.0
2015-03-04,97.0
2015-03-11,130.0
2015-03-18,100.0
2015-03-25,110.0
2015-03-31,85.0
2015-04-08,2700.0
2015-04-15,710.0
2015-04-22,330.0
2015-04-29,1800.0
2015-11-04,170.0
2015-11-11,870.0
2015-11-18,120.0
2015-12-02,68.0
2015-12-09,170.0
2015-12-16,440.0
2015-12-22,490.0
2015-12-29,3700.0
2016-01-06,450.0
2016-01-13,580.0
2016-01-20,68.0
2016-01-27,78.0
2016-02-03,72.0
2016-02-10,330.0
2016-02-17,34.0
2016-02-24,8.0
2016-03-02,67.0
2016-03-09,110.0
2016-03-16,3300.0
2016-03-22,16.0
2016-03-30,34.0
2016-04-06,53.0
2016-04-13,48.0
2016-04-20,49.0
2016-04-27,34.0
2016-11-02,830.0
2016-11-09,54.0
2016-11-16,810.0
2016-11-23,34.0
2016-11-30,110.0
2016-12-05,990.0
2016-12-14,360.0
2016-12-21,230.0
2016-12-28,220.0
2017-01-04,2300.0
2017-01-11,110.0
2017-01-18,160.0
2017-01-25,12.0
2017-01-31,70.0
2017-02-08,54.0
2017-02-14,290.0
2017-02-21,100.0
2017-02-28,87.0
2017-03-07,210.0
2017-03-14,54.0
2017-03-28,39.0
2017-04-04,870.0
2017-04-11,340.0
2017-04-19,180.0
2017-04-26,250.0
2017-11-05,
2017-11-14,148.0
2017-11-20,211.0
2017-11-26,201.0
2017-12-05,246.0
2017-12-11,872.0
2017-12-17,47.0
2017-12-24,86.0
2017-12-31,122.0
2018-01-07,73.0
2018-01-16,74.0
2018-01-23,246.0
2018-01-28,85.0
2018-02-07,771.0
2018-02-12,6130.0
2018-02-18,97.0
2018-02-27,1060.0
2018-03-05,97.0
2018-03-11,187.0
2018-03-20,41.0
2018-03-26,120.0
2018-04-04,209.0
2018-04-10,24200.0
2018-04-16,2100.0
2018-04-22,479.0
