Date,EColi
2016-11-30,16.0
2016-12-05,4.0
2016-12-14,12.0
2016-12-21,3100.0
2016-12-29,38.0
2017-01-05,64.0
2017-01-11,4.0
2017-01-18,4.0
2017-01-26,4.0
2017-02-01,
2017-02-09,4.0
2017-02-15,100.0
2017-02-22,120.0
2017-03-01,100.0
2017-03-08,160.0
2017-03-15,560.0
2017-03-23,150.0
2017-03-29,150.0
2017-04-20,88.0
2017-04-26,8.0
2017-11-07,
2017-11-13,26.0
2017-11-19,
2017-11-28,41.0
2017-12-04,10.0
2017-12-10,134.0
2017-12-19,31.0
2017-12-28,
2018-01-04,
2018-01-09,
2018-01-15,160.0
2018-01-21,31.0
2018-01-30,3080.0
2018-02-05,738.0
2018-02-11,327.0
2018-02-20,315.0
2018-02-26,122.0
2018-03-04,3870.0
2018-03-07,4350.0
2018-03-13,231.0
2018-03-19,20.0
2018-03-25,727.0
2018-03-28,86.0
2018-04-03,122.0
2018-04-09,121.0
2018-04-17,4350.0
2018-04-24,789.0
2018-11-12,
2018-11-18,10.0
2018-11-26,135.0
2018-12-03,
2018-12-11,
2018-12-16,
2018-12-24,
2018-12-30,
2019-01-07,
2019-01-13,
2019-01-22,
2019-01-27,
2019-02-04,63.0
2019-02-10,20.0
2019-02-18,733.0
2019-02-21,156.0
2019-02-24,1408.0
2019-02-26,61.0
2019-03-04,246.0
2019-03-10,298.0
2019-03-19,132.0
2019-03-24,285.0
2019-04-01,122.0
2019-04-07,
2019-04-15,408.0
2019-04-21,52.0
2019-04-30,63.0
2019-11-04,31.0
2019-11-10,1161.0
2019-11-18,31.0
2019-11-24,
2019-12-02,20.0
2019-12-08,52.0
2019-12-16,
2019-12-22,74.0
2019-12-30,
2020-01-05,161.0
2020-01-13,20.0
2020-01-19,
2020-01-27,
2020-02-02,96.0
2020-02-10,
2020-02-16,86.0
2020-02-24,20.0
2020-03-01,41.0
2020-03-09,465.0
2020-03-15,52.0
2020-03-23,98.0
2020-11-02,9.0
2020-11-08,10.0
2020-11-16,9.0
2020-11-22,20.0
2020-11-30,31.0
2020-12-06,9.0
2020-12-14,9.0
2020-12-20,9.0
2020-12-28,20.0
2021-01-03,9.0
2021-01-11,41.0
2021-01-17,31.0
2021-01-26,41.0
2021-01-31,315.0
2021-02-09,31.0
2021-02-14,379.0
2021-02-22,84.0
2021-03-08,74.0
2021-03-14,3260.0
2021-03-17,74.0
2021-03-28,75.0
2021-04-05,86.0
2021-04-11,569.0
2021-04-19,86.0
2021-04-26,92.0
2021-11-01,161.0
2021-11-08,
2021-11-15,20.0
2021-11-22,31.0
2021-11-29,10.0
2021-12-06,147.0
2021-12-13,97.0
2021-12-20,327.0
2021-12-27,275.0
2022-01-03,96.0
2022-01-10,
2022-01-17,41.0
2022-01-24,288.0
2022-01-31,10.0
2022-02-07,189.0
2022-02-14,350.0
2022-02-21,
2022-02-28,20.0
2022-03-07,20.0
2022-03-14,31.0
2022-03-21,233.0
2022-03-28,63.0
2022-04-04,233.0
2022-04-11,107.0
2022-04-19,10.0
2022-04-27,41.0
2022-11-01,75.0
2022-11-07,171.0
2022-11-14,30.0
2022-11-21,10.0
2022-11-28,
2022-12-05,
2022-12-12,171.0
2022-12-19,1071.0
2022-12-21,9930.0
2022-12-26,816.0
2022-12-28,31.0
2023-01-02,120.0
2023-01-09,10.0
2023-01-16,10.0
2023-01-24,84.0
2023-01-30,364.0
2023-02-07,121.0
2023-02-13,20.0
2023-02-20,171.0
2023-02-27,75.0
2023-03-06,332.0
2023-03-13,359.0
2023-03-20,379.0
2023-03-27,1046.0
2023-03-29,121.0
2023-04-03,24200.0
2023-04-05,75.0
2023-04-11,408.0
2023-04-17,1314.0
2023-04-20,1259.0
2023-04-24,420.0
2023-11-07,31.0
2023-11-13,10.0
2023-11-20,657.0
2023-11-22,52.0
2023-11-27,1723.0
2023-11-29,63.0
2023-12-04,1395.0
2023-12-06,350.0
2023-12-11,75.0
2023-12-18,63.0
2023-12-20,717.0
2023-12-27,259.0
2024-01-03,328.0
2024-01-08,52.0
2024-01-15,10.0
2024-01-23,41.0
2024-01-29,31.0
