Date,EColi
2017-11-07,
2017-11-13,
2017-11-19,97.0
2017-11-28,
2017-12-04,
2017-12-10,41.0
2017-12-19,10.0
2017-12-28,
2018-01-04,10.0
2018-01-09,
2018-01-15,75.0
2018-01-21,160.0
2018-01-30,52.0
2018-02-05,
2018-02-11,52.0
2018-02-20,41.0
2018-02-26,
2018-03-04,
2018-03-13,
2018-03-19,41.0
2018-03-25,
2018-04-03,
2018-04-09,
2018-04-17,10.0
2018-04-24,31.0
2018-11-12,10.0
2018-11-18,
2018-11-26,10.0
2018-12-03,459.0
2018-12-11,
2018-12-16,
2018-12-24,
2018-12-30,
2019-01-07,10.0
2019-01-13,10.0
2019-01-22,
2019-01-27,10.0
2019-02-04,41.0
2019-02-10,10.0
2019-02-18,10.0
2019-02-24,122.0
2019-03-04,10.0
2019-03-10,10.0
2019-03-19,243.0
2019-03-24,10.0
2019-04-01,31.0
2019-04-07,61.0
2019-04-15,10.0
2019-04-21,10.0
2019-04-30,
2019-11-04,
2019-11-10,
2019-11-18,10.0
2019-11-24,20.0
2019-12-02,20.0
2019-12-08,41.0
2019-12-16,120.0
2019-12-22,30.0
2019-12-30,
2020-01-05,98.0
2020-01-13,51.0
2020-01-19,31.0
2020-01-27,
2020-02-02,
2020-02-10,223.0
2020-02-16,98.0
2020-02-24,629.0
2020-03-01,20.0
2020-03-09,160.0
2020-03-15,
2020-03-23,
2020-11-02,9.0
2020-11-08,10.0
2020-11-16,10.0
2020-11-22,9.0
2020-11-30,41.0
2020-12-06,9.0
2020-12-14,10.0
2020-12-20,9.0
2020-12-28,9.0
2021-01-03,10.0
2021-01-11,9.0
2021-01-17,30.0
2021-01-26,9.0
2021-01-31,9.0
2021-02-09,9.0
2021-02-14,9.0
2021-02-22,20.0
2021-03-01,52.0
2021-03-08,10.0
2021-03-14,10.0
2021-03-28,30.0
2021-04-05,9.0
2021-04-11,10.0
2021-04-19,20.0
2021-04-26,10.0
2021-11-01,
2021-11-08,
2021-11-15,20.0
2021-11-22,10.0
2021-11-29,10.0
2021-12-06,63.0
2021-12-13,
2021-12-20,20.0
2021-12-27,20.0
2022-01-03,
2022-01-10,20.0
2022-01-17,122.0
2022-01-24,31.0
2022-01-31,
2022-02-07,75.0
2022-02-14,41.0
2022-02-21,
2022-02-28,20.0
2022-03-07,41.0
2022-03-14,135.0
2022-03-21,
2022-03-28,1236.0
2022-03-30,
2022-04-04,
2022-04-11,121.0
2022-04-19,10.0
2022-04-27,62.0
2022-11-01,10.0
2022-11-07,
2022-11-14,10.0
2022-11-21,10.0
2022-11-28,10.0
2022-12-05,393.0
2022-12-12,10.0
2022-12-19,31.0
2022-12-26,
2023-01-02,
2023-01-09,145.0
2023-01-16,20.0
2023-01-24,
2023-01-30,63.0
2023-02-07,73.0
2023-02-13,52.0
2023-02-20,10.0
2023-02-27,10.0
2023-03-06,63.0
2023-03-13,10.0
2023-03-20,10.0
2023-03-27,
2023-04-03,20.0
2023-04-11,20.0
2023-04-17,20.0
2023-11-06,20.0
2023-11-13,
2023-11-20,132.0
2023-11-27,10.0
2023-12-04,10.0
2023-12-11,10.0
2023-12-18,98.0
2023-12-27,97.0
2024-01-03,
2024-01-08,
2024-01-15,41.0
2024-01-23,20.0
2024-01-29,20.0
2024-02-05,10.0
2024-02-12,
2024-02-19,10.0
2024-02-26,20.0
2024-03-04,
2024-03-11,
2024-03-18,
2024-03-25,
2024-04-02,
2024-04-08,
2024-04-15,10.0
2024-04-22,20.0
2024-11-04,201.0
2024-11-11,
2024-11-18,
2024-11-25,
2024-12-02,
2024-12-03,
2024-12-09,
2024-12-16,109.0
2024-12-23,
2024-12-30,10.0
2025-01-06,
2025-01-13,10.0
2025-01-21,
2025-01-27,31.0
2025-02-03,
2025-02-10,
2025-02-17,20.0
2025-02-24,20.0
2025-03-03,10.0
2025-03-10,20.0
2025-03-17,10.0
2025-03-24,20.0
2025-04-01,74.0
2025-04-07,10.0
2025-04-14,
2025-04-22,
2025-04-28,20.0
2025-11-03,20.0
2025-11-10,
2025-11-17,10.0
2025-11-24,10.0
2025-12-01,10.0
2025-12-08,20.0
2025-12-15,10.0
2025-12-22,
2025-12-29,20.0
2026-01-07,
2026-01-12,41.0
2026-01-20,
2026-01-26,20.0
2026-02-02,31.0
2026-02-09,97.0
2026-02-17,52.0
2026-02-23,
2026-03-02,31.0
2026-03-10,10.0
2026-03-16,10.0
2026-03-23,10.0
2026-03-30,
2026-04-07,10.0
2026-04-13,10.0
2026-04-20,10.0
2026-04-28,
