Date,EColi
2017-11-06,41.0
2017-11-12,
2017-11-21,
2017-11-29,
2017-12-03,30.0
2017-12-12,30.0
2017-12-18,74.0
2017-12-27,20.0
2018-01-03,20.0
2018-01-08,10.0
2018-01-14,31.0
2018-01-24,52.0
2018-01-29,10.0
2018-02-04,20.0
2018-02-13,62.0
2018-02-19,243.0
2018-02-25,175.0
2018-03-06,3080.0
2018-03-12,10.0
2018-03-18,63.0
2018-03-27,52.0
2018-04-05,231.0
2018-04-08,41.0
2018-04-17,262.0
2018-04-23,
2018-11-11,31.0
2018-11-20,31.0
2018-11-25,41.0
2018-12-03,31.0
2018-12-09,
2018-12-17,10.0
2018-12-23,
2018-12-31,10.0
2019-01-06,171.0
2019-01-14,31.0
2019-01-20,146.0
2019-01-28,135.0
2019-02-03,
2019-02-11,
2019-02-19,63.0
2019-02-25,63.0
2019-03-03,
2019-03-11,20.0
2019-03-17,173.0
2019-03-25,52.0
2019-03-31,
2019-04-09,10.0
2019-04-14,20.0
2019-04-23,20.0
2019-04-28,31.0
2019-11-03,
2019-11-11,75.0
2019-11-17,41.0
2019-11-25,10.0
2019-12-01,41.0
2019-12-09,30.0
2019-12-15,185.0
2019-12-23,75.0
2019-12-29,63.0
2020-01-06,228.0
2020-01-12,20.0
2020-01-20,10.0
2020-01-26,
2020-02-03,31.0
2020-02-09,31.0
2020-02-23,86.0
2020-03-02,10.0
2020-03-08,63.0
2020-03-16,399.0
2020-03-22,279.0
