Date,EColi
2017-11-07,52.0
2017-11-13,20.0
2017-11-19,31.0
2017-11-28,
2017-12-04,
2017-12-10,10.0
2017-12-19,31.0
2017-12-28,30.0
2018-01-04,97.0
2018-01-09,10.0
2018-01-15,63.0
2018-01-30,41.0
2018-02-05,183.0
2018-02-11,41.0
2018-02-20,
2018-02-26,
2018-03-04,10.0
2018-03-13,457.0
2018-03-19,10.0
2018-03-25,256.0
2018-04-03,
2018-04-09,
2018-04-17,
2018-04-24,
2018-11-12,10.0
2018-11-18,10.0
2018-11-26,10.0
2018-12-03,
2018-12-11,
2018-12-16,10.0
2018-12-24,10.0
2018-12-30,10.0
2019-01-07,
2019-01-13,
2019-01-22,10.0
2019-01-27,84.0
2019-02-04,20.0
2019-02-10,10.0
2019-02-18,10.0
2019-02-24,31.0
2019-03-04,52.0
2019-03-10,109.0
2019-03-19,20.0
2019-03-24,31.0
2019-04-01,10.0
2019-04-07,10.0
2019-04-15,20.0
2019-04-21,63.0
2019-04-30,
2019-11-04,448.0
2019-11-10,10.0
2019-11-18,185.0
2019-11-24,
2019-12-02,85.0
2019-12-08,41.0
2019-12-16,74.0
2019-12-22,75.0
2019-12-30,
2020-01-05,
2020-01-13,
2020-01-19,10.0
2020-01-27,160.0
2020-02-02,20.0
2020-02-10,10.0
2020-02-16,10.0
2020-02-24,10.0
2020-03-01,173.0
2020-03-09,10.0
2020-03-15,134.0
2020-03-23,10.0
2020-11-02,52.0
2020-11-08,31.0
2020-11-16,20.0
2020-11-22,9.0
2020-11-30,249.0
2020-12-06,9.0
2020-12-14,10.0
2020-12-20,9.0
2020-12-28,9.0
2021-01-03,10.0
2021-01-11,41.0
2021-01-17,389.0
2021-01-26,20.0
2021-01-31,94.0
2021-02-09,9.0
2021-02-14,20.0
2021-02-22,9.0
2021-03-01,
2021-03-08,10.0
2021-03-14,171.0
2021-03-28,10.0
2021-04-05,41.0
2021-04-11,20.0
2021-04-19,10.0
2021-04-26,20.0
2021-11-01,98.0
2021-11-08,10.0
2021-11-15,134.0
2021-11-22,86.0
2021-11-29,41.0
2021-12-06,10.0
2021-12-13,259.0
2021-12-20,2610.0
2021-12-22,256.0
2021-12-27,345.0
2022-01-03,171.0
2022-01-10,1789.0
2022-01-12,84.0
2022-01-17,134.0
2022-01-24,226.0
2022-01-31,10.0
2022-02-07,75.0
2022-02-14,31.0
2022-02-21,75.0
2022-02-28,
2022-03-07,62.0
2022-03-14,
2022-03-21,
2022-03-28,20.0
2022-04-04,10.0
2022-04-11,31.0
2022-04-19,20.0
2022-04-27,75.0
2022-11-01,414.0
2022-11-07,63.0
2022-11-14,31.0
2022-11-21,41.0
2022-11-28,52.0
2022-12-05,
2022-12-12,
2022-12-19,341.0
2022-12-26,228.0
2023-01-02,
2023-01-09,10.0
2023-01-16,331.0
2023-01-24,52.0
2023-01-30,
2023-02-07,74.0
2023-02-13,
2023-02-20,20.0
2023-02-27,31.0
2023-03-06,
2023-03-13,10.0
2023-03-20,
2023-03-27,10.0
2023-04-03,
2023-04-11,
2023-04-17,10.0
2023-04-24,20.0
2023-11-06,259.0
2023-11-13,
2023-11-20,60.0
2023-11-27,41.0
2023-12-04,20.0
2023-12-11,30.0
2023-12-18,31.0
2023-12-27,216.0
2024-01-03,134.0
2024-01-08,
2024-01-15,132.0
2024-01-23,41.0
2024-01-29,10.0
2024-02-05,10.0
2024-02-12,52.0
2024-02-19,30.0
2024-02-26,
2024-03-04,
2024-03-11,
2024-03-18,
2024-03-25,51.0
2024-04-02,
2024-04-08,20.0
2024-04-15,
2024-04-22,20.0
2024-11-04,175.0
2024-11-11,279.0
2024-11-18,52.0
2024-11-25,41.0
2024-12-02,
2024-12-03,1553.0
2024-12-06,41.0
2024-12-09,31.0
2024-12-16,120.0
2024-12-23,10.0
2024-12-30,31.0
2025-01-06,187.0
2025-01-13,20.0
2025-01-21,10.0
2025-01-27,31.0
2025-02-03,
2025-02-10,84.0
2025-02-17,20.0
2025-02-24,
2025-03-03,122.0
2025-03-10,
2025-03-17,
2025-03-24,
2025-04-01,204.0
2025-04-07,161.0
2025-04-14,
2025-04-22,20.0
2025-04-28,10.0
2025-11-03,243.0
2025-11-10,
2025-11-17,20.0
2025-11-24,10.0
2025-12-01,52.0
2025-12-08,97.0
2025-12-15,
2025-12-22,384.0
2025-12-29,10.0
2026-01-07,52.0
2026-01-12,20.0
2026-01-20,
2026-01-26,134.0
2026-02-02,
2026-02-09,
2026-02-17,30.0
2026-02-23,
2026-03-02,
2026-03-10,20.0
2026-03-16,10.0
2026-03-23,31.0
2026-03-30,20.0
2026-04-07,10.0
2026-04-13,657.0
2026-04-15,
2026-04-20,31.0
2026-04-28,
