Date,EColi
2016-11-30,
2016-12-06,380.0
2016-12-12,420.0
2016-12-19,280.0
2016-12-28,340.0
2017-01-04,1700.0
2017-01-09,330.0
2017-01-16,520.0
2017-01-24,910.0
2017-01-30,330.0
2017-02-07,440.0
2017-02-13,950.0
2017-02-20,860.0
2017-02-27,420.0
2017-03-06,130.0
2017-03-13,770.0
2017-03-20,310.0
2017-03-27,590.0
2017-04-03,2300.0
2017-04-10,440.0
2017-04-18,320.0
2017-04-27,240.0
2017-11-05,573.0
2017-11-14,109.0
2017-11-20,86.0
2017-11-26,52.0
2017-12-05,122.0
2017-12-11,657.0
2017-12-17,96.0
2017-12-24,146.0
2017-12-31,134.0
2018-01-07,1120.0
2018-01-16,464.0
2018-01-23,161.0
2018-01-28,135.0
2018-02-07,74.0
2018-02-12,5790.0
2018-02-18,10.0
2018-03-05,389.0
2018-03-11,529.0
2018-03-20,373.0
2018-03-26,345.0
2018-04-04,315.0
2018-04-10,8660.0
2018-04-16,1030.0
2018-04-22,249.0
2018-11-11,288.0
2018-11-19,171.0
2018-11-25,161.0
2018-12-03,573.0
2018-12-09,393.0
2018-12-17,350.0
2018-12-23,20.0
2018-12-31,275.0
2019-01-06,323.0
2019-01-14,573.0
2019-01-20,614.0
2019-01-28,199.0
2019-02-03,85.0
2019-02-11,63.0
2019-02-17,52.0
2019-02-25,19900.0
2019-03-03,75.0
2019-03-11,41.0
2019-03-19,109.0
2019-03-25,63.0
2019-03-31,41.0
2019-04-08,11200.0
2019-04-14,173.0
2019-04-23,158.0
2019-04-30,4610.0
2019-11-03,97.0
2019-11-11,14100.0
2019-11-17,5790.0
2019-11-25,161.0
2019-12-01,364.0
2019-12-09,3870.0
2019-12-15,218.0
2019-12-23,426.0
2019-12-29,645.0
2020-01-06,410.0
2020-01-12,211.0
2020-01-20,109.0
2020-01-26,145.0
2020-02-03,148.0
2020-02-09,262.0
2020-02-17,496.0
2020-02-23,2990.0
2020-03-02,183.0
2020-03-08,98.0
2020-03-16,51.0
2020-03-22,355.0
2020-11-04,495.0
2020-11-08,384.0
2020-11-22,233.0
2020-11-30,617.0
2020-12-06,624.0
2020-12-14,209.0
2020-12-20,31.0
2020-12-28,336.0
2021-01-03,135.0
2021-01-11,213.0
2021-01-17,281.0
2021-01-26,213.0
2021-01-31,134.0
2021-02-09,189.0
2021-02-14,228.0
2021-02-22,128.0
2021-03-01,120.0
2021-03-08,1935.0
2021-03-14,309.0
2021-03-28,75.0
2021-04-05,295.0
2021-04-19,160.0
2021-04-26,41.0
2021-11-02,307.0
2021-11-09,216.0
2021-11-16,845.0
2021-11-23,341.0
2021-11-30,571.0
2021-12-07,11200.0
2021-12-14,
2021-12-21,520.0
2021-12-28,327.0
2022-01-04,1467.0
2022-01-11,733.0
2022-01-18,1515.0
2022-01-25,350.0
2022-02-01,359.0
2022-02-08,2098.0
2022-02-15,1050.0
2022-02-22,644.0
2022-03-01,323.0
2022-03-08,173.0
2022-03-15,86.0
2022-03-22,12000.0
2022-03-29,420.0
2022-04-05,294.0
2022-04-12,213.0
2022-04-19,148.0
2022-04-27,160.0
2022-11-01,331.0
2022-11-07,75.0
2022-11-14,195.0
2022-11-21,933.0
2022-11-28,598.0
2022-12-05,156.0
2022-12-12,30.0
2022-12-19,496.0
2022-12-26,173.0
2023-01-02,146.0
2023-01-09,2282.0
2023-01-16,369.0
2023-01-24,231.0
2023-01-30,1785.0
2023-02-07,292.0
2023-02-13,203.0
2023-02-20,410.0
2023-02-27,288.0
2023-03-06,265.0
2023-03-13,4610.0
2023-03-20,309.0
2023-03-27,226.0
2023-04-03,185.0
2023-04-11,97.0
2023-04-17,122.0
2023-04-24,546.0
2023-11-08,243.0
2023-11-13,148.0
2023-11-20,4880.0
2023-11-27,282.0
2023-12-04,272.0
2023-12-11,723.0
2023-12-18,644.0
2023-12-27,98.0
2024-01-03,51.0
2024-01-08,160.0
2024-01-15,108.0
2024-01-23,218.0
2024-01-29,448.0
2024-02-05,616.0
2024-02-12,75.0
2024-02-19,63.0
2024-02-26,1396.0
2024-03-04,581.0
2024-03-11,218.0
2024-03-18,52.0
2024-03-25,41.0
2024-04-02,52.0
2024-04-08,95.0
2024-04-15,241.0
2024-04-22,160.0
2024-11-04,199.0
2024-11-11,833.0
2024-11-18,134.0
2024-11-25,73.0
2024-12-02,
2024-12-09,11199.0
2024-12-16,107.0
2024-12-23,256.0
2024-12-30,216.0
2025-01-06,581.0
2025-01-13,295.0
2025-01-21,109.0
2025-01-28,173.0
2025-02-03,171.0
2025-02-10,132.0
2025-02-17,109.0
2025-02-24,86.0
2025-03-03,96.0
2025-03-10,238.0
2025-03-17,85.0
2025-03-24,218.0
2025-03-31,121.0
2025-04-07,565.0
2025-04-14,187.0
2025-04-23,3873.0
2025-04-28,231.0
2025-11-03,146.0
2025-11-10,238.0
2025-11-17,216.0
2025-11-24,211.0
2025-12-01,512.0
2025-12-08,259.0
2025-12-15,155.0
2025-12-22,169.0
2025-12-29,110.0
2026-01-07,175.0
2026-01-12,355.0
2026-01-20,161.0
2026-01-26,1785.0
2026-02-02,262.0
2026-02-09,121.0
2026-02-17,2480.0
2026-02-23,146.0
2026-03-02,86.0
2026-03-10,63.0
2026-03-16,171.0
2026-03-23,98.0
2026-03-30,86.0
2026-04-07,73.0
2026-04-13,3870.0
2026-04-20,417.0
2026-04-28,305.0
