Date,EColi
2017-11-07,30.0
2017-11-14,122.0
2017-11-20,183.0
2017-11-21,183.0
2017-11-28,512.0
2017-12-05,430.0
2017-12-06,430.0
2017-12-12,187.0
2017-12-13,187.0
2017-12-18,20.0
2017-12-19,20.0
2017-12-28,591.0
2018-01-04,203.0
2018-01-09,644.0
2018-01-16,1470.0
2018-01-24,959.0
2018-01-30,528.0
2018-02-07,171.0
2018-02-13,794.0
2018-02-20,369.0
2018-02-27,359.0
2018-03-06,249.0
2018-03-13,464.0
2018-03-20,52.0
2018-03-27,109.0
2018-04-03,52.0
2018-04-12,1080.0
2018-04-17,933.0
2018-11-13,602.0
2018-11-20,201.0
2018-11-27,1333.0
2018-12-04,520.0
2018-12-11,336.0
2018-12-18,464.0
2018-12-27,479.0
2019-01-03,253.0
2019-01-08,168.0
2019-01-15,19900.0
2019-01-22,31.0
2019-01-30,216.0
2019-02-05,98.0
2019-02-12,183.0
2019-02-19,134.0
2019-02-26,279.0
2019-03-05,63.0
2019-03-12,146.0
2019-03-19,520.0
2019-03-26,169.0
2019-04-02,2014.0
2019-04-09,183.0
2019-04-17,241.0
2019-04-26,246.0
2019-05-01,201.0
2019-11-12,373.0
2019-11-19,364.0
2019-11-20,364.0
2019-11-27,74.0
2019-12-03,414.0
2019-12-10,749.0
2019-12-17,393.0
2019-12-23,389.0
2019-12-30,121.0
2020-01-07,345.0
2020-01-15,336.0
2020-01-21,457.0
2020-01-28,238.0
2020-02-03,420.0
2020-02-11,216.0
2020-02-18,156.0
2020-02-25,216.0
2020-03-04,2490.0
2020-03-10,256.0
2020-03-18,187.0
2020-11-03,359.0
2020-11-10,4610.0
2020-11-24,556.0
2020-12-01,3260.0
2020-12-08,8160.0
2020-12-15,95.0
2020-12-22,259.0
2020-12-29,393.0
2021-01-05,645.0
2021-01-12,97.0
2021-01-19,744.0
2021-01-26,189.0
2021-02-02,156.0
2021-02-09,109.0
2021-02-16,148.0
2021-02-23,31.0
2021-03-04,3870.0
2021-03-09,160.0
2021-03-16,144.0
2021-03-23,97.0
2021-03-30,201.0
2021-04-06,74.0
2021-04-13,9.0
2021-04-20,
2021-04-27,146.0
2021-11-01,565.0
2021-11-09,238.0
2021-11-15,
2021-11-22,408.0
2021-11-29,272.0
2021-12-06,266.0
2021-12-13,1172.0
2021-12-20,
2021-12-27,213.0
2022-01-03,185.0
2022-01-10,211.0
2022-01-17,160.0
2022-01-24,
2022-01-31,292.0
2022-02-08,480.0
2022-02-14,563.0
2022-02-21,272.0
2022-02-28,201.0
2022-03-07,185.0
2022-03-14,75.0
2022-03-21,4610.0
2022-03-28,563.0
2022-04-04,384.0
2022-04-11,359.0
2022-04-19,63.0
2022-04-26,388.0
2022-11-01,602.0
2022-11-07,265.0
2022-11-14,749.0
2022-11-21,813.0
2022-11-28,173.0
2022-12-05,171.0
2022-12-12,638.0
2022-12-19,2400.0
2022-12-28,158.0
2023-01-04,379.0
2023-01-09,842.0
2023-01-16,121.0
2023-01-24,85.0
2023-01-30,613.0
2023-02-07,521.0
2023-02-13,256.0
2023-02-20,199.0
2023-02-27,581.0
2023-03-06,345.0
2023-03-13,1450.0
2023-03-20,305.0
2023-03-27,959.0
2023-04-03,1112.0
2023-04-11,2098.0
2023-04-17,75.0
2023-04-26,414.0
2023-11-06,624.0
2023-11-14,134.0
2023-11-21,1664.0
2023-11-28,10.0
2023-12-05,960.0
2023-12-12,228.0
2023-12-19,185.0
2023-12-28,576.0
2024-01-09,457.0
2024-01-16,2143.0
2024-01-24,487.0
2024-01-30,13000.0
2024-02-07,813.0
2024-02-13,173.0
2024-02-20,906.0
2024-02-28,63.0
2024-03-05,4610.0
2024-03-12,107.0
2024-03-19,345.0
2024-03-26,816.0
2024-04-03,199.0
2024-04-09,109.0
2024-04-16,292.0
2024-04-23,457.0
2024-11-04,2723.0
2024-11-11,488.4
2024-11-18,216.0
2024-11-25,231.0
2024-12-02,243.0
2024-12-10,2247.0
2024-12-16,213.0
2024-12-23,1842.0
2024-12-30,313.0
2025-01-06,455.0
2025-01-13,74.0
2025-01-20,173.0
2025-01-28,262.0
2025-02-03,
2025-02-11,435.0
2025-02-17,134.0
2025-02-24,109.0
2025-03-03,98.0
2025-03-10,85.0
2025-03-17,259.0
2025-03-25,754.0
2025-03-31,187.0
2025-04-07,1450.0
2025-04-22,2382.0
2025-04-28,169.0
2025-11-03,420.0
2025-11-10,327.0
2025-11-20,833.0
2025-11-24,749.0
2025-12-01,345.0
2025-12-08,882.0
2025-12-17,1017.0
2025-12-22,473.0
2025-12-29,805.0
2026-01-05,393.0
2026-01-12,3080.0
2026-01-19,345.0
2026-01-27,145.0
2026-02-02,241.0
2026-02-09,295.0
2026-02-23,613.0
2026-03-02,487.0
2026-03-09,262.0
2026-03-16,1439.0
2026-03-23,161.0
2026-03-30,1076.0
2026-04-09,473.0
2026-04-16,2850.0
2026-04-20,1500.0
2026-04-28,341.0
