Date,EColi
2010-01-11,97.0
2010-01-18,20.0
2010-01-26,5172.0
2010-02-08,109.0
2010-02-15,355.0
2010-02-21,623.0
2010-03-01,520.0
2010-03-08,10.0
2010-03-15,31.0
2010-03-21,20.0
2010-03-29,20.0
2010-04-05,
2010-04-12,63.0
2010-04-18,41.0
2010-11-03,44.0
2010-11-10,13.0
2010-11-17,179.0
2010-11-24,
2010-12-01,5.0
2010-12-08,435.0
2010-12-15,39.0
2010-12-22,3130.0
2010-12-29,200.0
2011-01-05,200.0
2011-01-12,225.0
2011-01-19,345.0
2011-02-09,410.0
2011-02-23,69.0
2011-03-02,4110.0
2011-03-09,38.0
2011-03-16,66.0
2011-03-23,29.0
2011-03-30,970.0
2011-04-06,100.0
2011-04-13,42.0
2011-04-19,67.0
2011-04-27,8570.0
2011-11-02,490.0
2011-11-09,140.0
2011-11-16,610.0
2011-11-23,2700.0
2011-11-30,260.0
2011-12-07,61.0
2011-12-14,870.0
2011-12-21,130.0
2011-12-28,20.0
2012-01-04,1000.0
2012-01-11,2800.0
2012-01-18,91.0
2012-01-25,260.0
2012-02-01,30.0
2012-02-08,13000.0
2012-02-15,1100.0
2012-02-22,560.0
2012-02-29,20.0
2012-03-07,2500.0
2012-03-14,73.0
2012-03-21,4600.0
2012-03-28,590.0
2012-04-03,110.0
2012-04-11,30.0
2012-04-18,41.0
2012-04-23,
2012-11-07,12.0
2012-11-14,16.0
2012-11-21,100.0
2012-11-28,4.0
2012-12-05,12.0
2012-12-12,30.0
2012-12-19,44.0
2012-12-27,3100.0
2013-01-03,240.0
2013-01-09,52.0
2013-01-16,300.0
2013-01-23,20.0
2013-01-30,2100.0
2013-02-07,650.0
2013-02-13,64.0
2013-02-20,12.0
2013-02-27,360.0
2013-03-06,16.0
2013-03-13,170.0
2013-03-20,300.0
2013-03-26,260.0
2013-04-03,16.0
2013-04-10,120.0
2013-04-17,73.0
2013-04-23,450.0
2013-11-06,580.0
2013-11-13,91.0
2013-11-20,
2013-11-27,29.0
2013-12-04,25.0
2013-12-11,770.0
2013-12-18,
2013-12-20,8.0
2013-12-27,8.0
2014-01-03,14.0
2014-01-08,340.0
2014-01-15,12.0
2014-01-22,650.0
2014-01-29,550.0
2014-02-04,230.0
2014-02-12,2100.0
2014-02-19,3900.0
2014-02-26,90.0
2014-03-05,39.0
2014-03-12,16.0
2014-03-19,80.0
2014-03-26,63.0
2014-04-02,34.0
2014-04-09,75.0
2014-04-15,180.0
2014-04-22,1100.0
2014-04-30,2100.0
2014-11-05,220.0
2014-11-12,16.0
2014-11-19,340.0
2014-11-26,12.0
2014-12-03,30.0
2014-12-10,
2014-12-17,440.0
2014-12-22,150.0
2014-12-29,38.0
2015-01-07,550.0
2015-01-14,25.0
2015-01-21,200.0
2015-01-28,12.0
2015-02-03,780.0
2015-02-11,54.0
2015-02-18,
2015-02-25,
2015-03-04,670.0
2015-03-11,9700.0
2015-03-18,450.0
2015-03-25,44.0
2015-03-31,21.0
2015-04-08,610.0
2015-04-15,4500.0
2015-04-22,66.0
2015-04-29,190.0
2015-11-04,150.0
2015-11-11,80.0
2015-11-18,230.0
2015-12-02,21.0
2015-12-09,200.0
2015-12-16,8.0
2015-12-22,38.0
2015-12-29,200.0
2016-01-06,76.0
2016-01-13,12.0
2016-01-20,34.0
2016-01-27,360.0
2016-02-03,16.0
2016-02-10,1000.0
2016-02-17,160.0
2016-02-24,710.0
2016-03-02,12.0
2016-03-09,610.0
2016-03-16,110.0
2016-03-22,2000.0
2016-03-30,34.0
2016-04-06,1500.0
2016-04-13,48.0
2016-04-20,180.0
2016-04-27,150.0
2016-11-02,44.0
2016-11-09,
2016-11-16,2200.0
2016-11-23,270.0
2016-11-30,770.0
2016-12-05,100.0
2016-12-14,390.0
2016-12-21,87.0
2016-12-28,64.0
2017-01-04,1500.0
2017-01-11,190.0
2017-01-18,720.0
2017-01-25,3700.0
2017-01-31,4.0
2017-02-08,830.0
2017-02-14,270.0
2017-02-21,430.0
2017-02-28,990.0
2017-03-07,25.0
2017-03-14,120.0
2017-03-21,52.0
2017-03-28,1500.0
2017-04-04,2500.0
2017-04-11,130.0
2017-04-19,770.0
2017-04-26,12.0
2017-11-05,52.0
2017-11-14,10.0
2017-11-20,10.0
2017-11-26,31.0
2017-12-05,134.0
2017-12-11,52.0
2017-12-17,121.0
2017-12-24,41.0
2017-12-31,10.0
2018-01-07,3260.0
2018-01-16,144.0
2018-01-23,10.0
2018-01-28,145.0
2018-02-07,
2018-02-12,839.0
2018-02-18,161.0
2018-02-27,52.0
2018-03-05,41.0
