Date,EColi
2016-12-01,460.0
2016-12-08,44.0
2016-12-12,79.0
2016-12-19,34.0
2016-12-28,
2017-01-04,2500.0
2017-01-09,100.0
2017-01-16,44.0
2017-01-24,
2017-01-30,90.0
2017-02-07,120.0
2017-02-13,190.0
2017-02-20,1200.0
2017-02-27,69.0
2017-03-06,68.0
2017-03-13,590.0
2017-03-20,240.0
2017-03-27,200.0
2017-04-03,3100.0
2017-04-10,300.0
2017-04-18,1500.0
2017-04-27,80.0
2017-11-05,187.0
2017-11-14,10.0
2017-11-20,21.0
2017-11-26,
2017-12-05,52.0
2017-12-11,41.0
2017-12-17,
2017-12-24,52.0
2017-12-31,63.0
2018-01-07,1100.0
2018-01-16,63.0
2018-01-23,422.0
2018-01-28,63.0
2018-02-05,41.0
2018-02-12,4350.0
2018-02-18,86.0
2018-02-27,495.0
2018-03-05,20.0
2018-03-11,2100.0
2018-03-20,211.0
2018-03-26,231.0
2018-04-04,216.0
2018-04-10,2760.0
2018-04-16,546.0
2018-04-22,265.0
2018-11-11,160.0
2018-11-19,73.0
2018-11-25,173.0
2018-12-02,717.0
2018-12-11,201.0
2018-12-17,987.0
2018-12-23,30.0
2018-12-31,677.0
2019-01-06,145.0
2019-01-14,161.0
2019-01-20,2282.0
2019-01-28,30.0
2019-02-03,20.0
2019-02-11,52.0
2019-02-17,10.0
2019-02-25,5480.0
2019-03-03,141.0
2019-03-11,247.0
2019-03-18,160.0
2019-03-26,63.0
2019-03-31,63.0
2019-04-08,243.0
2019-04-14,262.0
2019-04-23,85.0
2019-04-28,75.0
2019-11-03,86.0
2019-11-11,13000.0
2019-11-17,86.0
2019-11-25,10.0
2019-12-01,63.0
2019-12-09,2224.0
2019-12-15,74.0
2019-12-23,185.0
2019-12-29,30.0
2020-01-06,31.0
2020-01-12,30.0
2020-01-20,63.0
2020-01-26,52.0
2020-02-03,52.0
2020-02-09,
2020-02-17,109.0
2020-02-23,216.0
2020-03-02,52.0
2020-03-08,216.0
2020-03-16,
2020-03-23,211.0
2020-11-01,74.0
2020-11-11,24201.0
2020-11-15,1022.0
2020-11-23,63.0
2020-11-29,13000.0
2020-12-07,41.0
2020-12-13,96.0
2020-12-21,31.0
2020-12-27,52.0
2021-01-04,24201.0
2021-01-10,30.0
2021-01-18,75.0
2021-01-24,97.0
2021-02-01,41.0
2021-02-07,9.0
2021-02-15,110.0
2021-02-21,98.0
2021-02-28,31.0
2021-03-07,292.0
2021-03-21,9.0
2021-03-29,86.0
2021-04-04,85.0
2021-04-12,121.0
2021-04-18,121.0
2021-04-27,96.0
2021-11-01,62.0
2021-11-08,504.0
2021-11-16,426.0
2021-11-22,373.0
2021-11-29,63.0
2021-12-06,703.0
2021-12-13,3650.0
2021-12-20,259.0
2021-12-27,187.0
2022-01-03,31.0
2022-01-10,20.0
2022-01-17,
2022-01-24,63.0
2022-01-31,84.0
2022-02-07,8660.0
2022-02-14,4350.0
2022-02-21,203.0
2022-02-28,95.0
2022-03-07,31.0
2022-03-14,98.0
2022-03-21,
2022-03-28,1789.0
2022-04-04,158.0
2022-04-11,75.0
2022-04-19,86.0
2022-04-26,74.0
2022-11-02,122.0
2022-11-08,41.0
2022-11-15,241.0
2022-11-22,1497.0
2022-11-29,776.0
2022-12-06,86.0
2022-12-13,379.0
2022-12-20,8160.0
2022-12-27,336.0
2023-01-03,52.0
2023-01-10,7270.0
2023-01-17,292.0
2023-01-25,52.0
2023-01-31,17300.0
2023-02-08,288.0
2023-02-21,670.0
2023-02-28,882.0
2023-03-07,556.0
2023-03-14,216.0
2023-03-21,228.0
2023-03-29,4110.0
2023-04-05,74.0
2023-04-13,203.0
2023-04-19,86.0
2023-04-26,2382.0
2023-11-07,697.0
2023-11-14,20.0
2023-11-28,480.0
2023-12-05,512.0
2023-12-12,135.0
2023-12-19,63.0
2023-12-28,784.0
2024-01-04,52.0
2024-01-09,85.0
2024-01-16,86.0
2024-01-24,41.0
2024-01-30,110.0
2024-02-07,31.0
2024-02-13,31.0
2024-02-19,86.0
2024-02-27,20.0
2024-03-05,1281.0
2024-03-12,148.0
2024-03-20,132.0
2024-03-26,135.0
2024-04-03,75.0
2024-04-09,41.0
2024-04-16,135.0
2024-04-23,158.0
2024-11-05,2613.0
2024-11-12,86.0
2024-11-19,41.0
2024-11-25,134.0
2024-12-03,52.0
2024-12-10,122.0
2024-12-17,294.0
2024-12-23,285.0
2024-12-30,256.0
2025-01-07,122.0
2025-01-14,74.0
2025-01-22,151.0
2025-01-27,622.0
2025-02-04,2014.0
2025-02-11,324.0
2025-02-18,52.0
2025-02-25,31.0
2025-03-05,5794.0
2025-03-11,
2025-03-18,573.0
2025-03-25,265.0
2025-04-01,2723.0
2025-04-08,228.0
2025-04-15,41.0
2025-04-23,6131.0
2025-04-29,269.0
2025-11-04,148.0
2025-11-11,216.0
2025-11-18,109.0
2025-11-25,121.0
2025-12-02,132.0
2025-12-09,110.0
2025-12-16,135.0
2025-12-22,134.0
2025-12-29,201.0
2026-01-07,148.0
2026-01-13,31.0
2026-01-21,504.0
2026-01-27,512.0
2026-02-03,187.0
2026-02-10,199.0
2026-02-18,2310.0
2026-02-23,292.0
2026-03-03,253.0
2026-03-12,146.0
2026-03-17,275.0
2026-03-24,295.0
2026-03-31,256.0
2026-04-07,187.0
2026-04-14,3650.0
2026-04-23,5790.0
2026-04-29,295.0
