Date,EColi
2016-12-01,740.0
2016-12-08,140.0
2016-12-12,140.0
2016-12-19,91.0
2016-12-28,96.0
2017-01-04,3700.0
2017-01-09,150.0
2017-01-16,76.0
2017-01-24,9700.0
2017-01-30,130.0
2017-02-07,81.0
2017-02-13,940.0
2017-02-20,1800.0
2017-02-27,75.0
2017-03-06,73.0
2017-03-13,1400.0
2017-03-20,130.0
2017-03-27,730.0
2017-04-03,470.0
2017-04-10,380.0
2017-04-18,5700.0
2017-04-27,97.0
2017-11-05,389.0
2017-11-14,63.0
2017-11-20,74.0
2017-11-26,52.0
2017-12-05,471.0
2017-12-11,173.0
2017-12-17,41.0
2017-12-24,109.0
2017-12-31,20.0
2018-01-07,1080.0
2018-01-16,148.0
2018-01-23,110.0
2018-01-28,31.0
2018-02-05,41.0
2018-02-12,350.0
2018-02-18,10.0
2018-02-27,199.0
2018-03-05,52.0
2018-03-11,2190.0
2018-03-20,135.0
2018-03-26,156.0
2018-04-04,63.0
2018-04-10,4610.0
2018-04-16,12000.0
2018-04-22,146.0
2018-11-11,97.0
2018-11-19,97.0
2018-11-25,226.0
2018-12-02,1017.0
2018-12-11,272.0
2018-12-17,1664.0
2018-12-23,315.0
2018-12-31,598.0
2019-01-06,108.0
2019-01-14,10.0
2019-01-20,30.0
2019-01-28,63.0
2019-02-03,148.0
2019-02-11,84.0
2019-02-17,96.0
2019-02-25,4350.0
2019-03-03,161.0
2019-03-11,243.0
2019-03-18,120.0
2019-03-26,63.0
2019-03-31,10.0
2019-04-08,256.0
2019-04-14,285.0
2019-04-23,63.0
2019-04-28,63.0
2019-11-03,85.0
2019-11-11,4350.0
2019-11-11,4350.0
2019-11-17,30.0
2019-11-25,
2019-12-01,
2019-12-09,262.0
2019-12-15,10.0
2019-12-23,110.0
2019-12-29,20.0
2020-01-06,31.0
2020-01-12,20.0
2020-01-20,839.0
2020-01-26,52.0
2020-02-03,75.0
2020-02-09,52.0
2020-02-17,171.0
2020-02-23,20.0
2020-03-02,73.0
2020-03-08,31.0
2020-03-16,109.0
2020-11-01,199.0
2020-11-11,15500.0
2020-11-15,432.0
2020-11-23,134.0
2020-11-29,789.0
2020-12-07,275.0
2020-12-13,63.0
2020-12-21,9.0
2020-12-27,134.0
2021-01-04,24201.0
2021-01-10,299.0
2021-01-18,31.0
2021-01-24,122.0
2021-02-01,10.0
2021-02-07,10.0
2021-02-15,95.0
2021-02-21,689.0
2021-02-28,84.0
2021-03-07,52.0
2021-03-15,84.0
2021-03-21,10.0
2021-03-29,120.0
2021-04-04,86.0
2021-04-12,9.0
2021-04-18,63.0
2021-04-27,266.0
2021-11-01,30.0
2021-11-08,1019.0
2021-11-16,97.0
2021-11-22,74.0
2021-11-29,74.0
2021-12-06,132.0
2021-12-13,3260.0
2021-12-20,738.0
2021-12-27,98.0
2022-01-03,10.0
2022-01-10,20.0
2022-01-17,31.0
2022-01-24,169.0
2022-01-31,31.0
2022-02-07,11200.0
2022-02-14,3450.0
2022-02-21,402.0
2022-02-28,187.0
2022-03-07,10.0
2022-03-14,85.0
2022-03-21,120.0
2022-03-28,2014.0
2022-04-04,262.0
2022-04-11,86.0
2022-04-19,
2022-04-26,86.0
2022-11-02,20.0
2022-11-08,120.0
2022-11-15,1153.0
2022-11-22,1274.0
2022-11-29,324.0
2022-12-06,148.0
2022-12-13,285.0
2022-12-20,11200.0
2022-12-27,311.0
2023-01-03,52.0
2023-01-10,14100.0
2023-01-17,546.0
2023-01-25,86.0
2023-01-31,7270.0
2023-02-08,364.0
2023-02-21,576.0
2023-02-28,7270.0
2023-03-07,399.0
2023-03-14,86.0
2023-03-21,146.0
2023-03-28,63.0
2023-04-04,75.0
2023-04-12,285.0
2023-04-18,10.0
2023-04-26,3870.0
2023-11-07,331.0
2023-11-14,30.0
2023-11-21,3450.0
2023-11-28,537.0
2023-12-05,512.0
2023-12-12,119.0
2023-12-20,98.0
2023-12-28,723.0
2024-01-04,31.0
2024-01-09,41.0
2024-01-16,256.0
2024-01-25,20.0
2024-01-30,122.0
2024-02-07,98.0
2024-02-13,52.0
2024-02-19,156.0
2024-02-29,86.0
2024-03-05,6870.0
2024-03-12,146.0
2024-03-20,134.0
2024-03-26,86.0
2024-04-03,52.0
2024-04-09,31.0
2024-04-16,109.0
2024-04-23,218.0
2024-11-05,1670.0
2024-11-12,209.0
2024-11-19,63.0
2024-11-25,63.0
2024-12-03,41.0
2024-12-10,41.0
2024-12-17,231.0
2024-12-23,317.0
2024-12-30,209.0
2025-01-07,161.0
2025-01-14,31.0
2025-01-22,121.0
2025-01-27,368.0
2025-02-04,156.0
2025-02-11,122.0
2025-02-18,41.0
2025-02-25,62.0
2025-03-05,6867.0
2025-03-11,134.0
2025-03-18,355.0
2025-03-25,74.0
2025-04-01,2851.0
2025-04-08,
2025-04-15,
2025-04-23,
2025-04-29,
2025-11-04,156.0
2025-11-11,63.0
2025-11-18,85.0
2025-11-25,41.0
2025-12-02,41.0
2025-12-09,134.0
2025-12-16,52.0
2025-12-22,96.0
2025-12-29,110.0
2026-01-07,173.0
2026-01-13,110.0
2026-01-21,717.0
2026-01-27,520.0
2026-02-03,228.0
2026-02-10,213.0
2026-02-18,3450.0
2026-02-23,275.0
2026-03-03,249.0
2026-03-12,132.0
2026-03-17,131.0
2026-03-24,98.0
2026-03-31,109.0
2026-04-07,148.0
2026-04-14,3080.0
2026-04-23,9800.0
2026-04-29,432.0
