Date,EColi
2016-11-30,430.0
2016-12-05,130.0
2016-12-14,93.0
2016-12-21,400.0
2016-12-28,97.0
2017-01-04,1000.0
2017-01-11,200.0
2017-01-18,280.0
2017-01-25,4500.0
2017-01-31,130.0
2017-02-08,1300.0
2017-02-14,100.0
2017-02-21,1700.0
2017-02-28,1500.0
2017-03-07,34.0
2017-03-14,630.0
2017-03-21,52.0
2017-03-28,200.0
2017-04-04,590.0
2017-04-11,330.0
2017-04-19,950.0
2017-04-26,130.0
2017-11-06,41.0
2017-11-12,
2017-11-21,52.0
2017-11-29,31.0
2017-12-03,495.0
2017-12-12,26.0
2017-12-18,31.0
2017-12-27,10.0
2018-01-03,52.0
2018-01-08,1020.0
2018-01-14,52.0
2018-01-24,41.0
2018-01-29,52.0
2018-02-04,131.0
2018-02-13,228.0
2018-02-19,52.0
2018-02-25,30.0
2018-03-06,109.0
2018-03-12,1450.0
2018-03-18,213.0
2018-03-27,171.0
2018-04-05,30.0
2018-04-08,121.0
2018-04-15,960.0
2018-04-23,299.0
2018-11-12,109.0
2018-11-18,10.0
2018-11-26,52.0
2018-12-02,1334.0
2018-12-10,637.0
2018-12-16,4110.0
2018-12-24,262.0
2018-12-30,2490.0
2019-01-07,148.0
2019-01-13,52.0
2019-01-22,122.0
2019-01-27,30.0
2019-02-04,265.0
2019-02-10,52.0
2019-02-18,31.0
2019-02-24,95.0
2019-03-04,63.0
2019-03-10,213.0
2019-03-17,175.0
2019-03-24,185.0
2019-04-01,85.0
2019-04-07,75.0
2019-04-15,216.0
2019-04-21,41.0
2019-04-29,52.0
2019-11-04,98.0
2019-11-10,185.0
2019-11-18,10500.0
2019-11-24,110.0
2019-12-02,
2019-12-08,75.0
2019-12-16,52.0
2019-12-22,1414.0
2019-12-30,85.0
2020-01-05,79.0
2020-01-13,52.0
2020-01-19,
2020-01-27,20.0
2020-02-02,134.0
2020-02-10,259.0
2020-02-16,
2020-02-24,228.0
2020-03-01,86.0
2020-03-09,75.0
2020-03-15,10.0
2020-11-02,9.0
2020-11-08,20.0
2020-11-16,4350.0
2020-11-22,295.0
2020-11-30,4110.0
2020-12-06,295.0
2020-12-14,663.0
2020-12-20,185.0
2020-12-28,288.0
2021-01-03,169.0
2021-01-11,63.0
2021-01-17,201.0
2021-01-26,63.0
2021-01-31,41.0
2021-02-09,275.0
2021-02-14,20.0
2021-02-22,10.0
2021-03-01,259.0
2021-03-08,41.0
2021-03-14,228.0
2021-03-28,183.0
2021-04-05,75.0
2021-04-11,448.0
2021-04-19,41.0
2021-04-25,84.0
2021-11-02,148.0
2021-11-09,97.0
2021-11-15,1130.0
2021-11-23,2014.0
2021-11-30,75.0
2021-12-07,906.0
2021-12-14,15500.0
2021-12-21,697.0
2021-12-28,119.0
2022-01-04,262.0
2022-01-11,31.0
2022-01-18,63.0
2022-01-25,20.0
2022-02-01,75.0
2022-02-08,4610.0
2022-02-15,2359.0
2022-02-22,780.0
2022-03-01,52.0
2022-03-08,10.0
2022-03-15,96.0
2022-03-22,52.0
2022-03-29,2480.0
2022-04-05,161.0
2022-04-12,63.0
2022-04-20,31.0
2022-04-27,97.0
2022-11-01,86.0
2022-11-07,135.0
2022-11-14,98.0
2022-11-21,2247.0
2022-11-28,309.0
2022-12-05,63.0
2022-12-12,187.0
2022-12-19,6130.0
2022-12-26,5480.0
2023-01-02,63.0
2023-01-09,7700.0
2023-01-16,1789.0
2023-01-24,110.0
2023-01-30,2850.0
2023-02-07,538.0
2023-02-13,98.0
2023-02-20,1565.0
2023-02-27,3870.0
2023-03-06,295.0
2023-03-13,1291.0
2023-03-20,1565.0
2023-03-27,160.0
2023-04-03,132.0
2023-04-11,201.0
2023-04-17,62.0
2023-04-24,13000.0
2023-11-08,47.0
2023-11-13,63.0
2023-11-20,528.0
2023-11-27,403.0
2023-12-04,31.0
2023-12-11,743.0
2023-12-18,75.0
2023-12-27,556.0
2024-01-03,959.0
2024-01-08,41.0
2024-01-15,75.0
2024-01-23,121.0
2024-01-29,31.0
2024-02-05,318.0
2024-02-12,98.0
2024-02-19,31.0
2024-02-26,243.0
2024-03-04,609.0
2024-03-11,132.0
2024-03-18,97.0
2024-03-25,52.0
2024-04-02,20.0
2024-04-08,122.0
2024-04-15,420.0
2024-04-22,256.0
2024-11-04,6867.0
2024-11-11,77.0
2024-11-18,521.0
2024-11-25,20.0
2024-12-02,
2024-12-09,63.0
2024-12-16,135.0
2024-12-23,132.0
2024-12-30,161.0
2025-01-06,1935.0
2025-01-13,74.0
2025-01-21,10.0
2025-01-28,52.0
2025-02-03,10.0
2025-02-10,20.0
2025-02-17,74.0
2025-02-24,31.0
2025-03-03,146.0
2025-03-10,85.0
2025-03-17,73.0
2025-03-24,20.0
2025-03-31,173.0
2025-04-07,121.0
2025-04-14,20.0
2025-04-23,3654.0
2025-04-28,146.0
2025-11-03,75.0
2025-11-10,10.0
2025-11-17,10.0
2025-11-24,41.0
2025-12-01,98.0
2025-12-08,63.0
2025-12-15,
2025-12-22,31.0
2025-12-29,20.0
2026-01-07,
2026-01-12,20.0
2026-01-20,189.0
2026-01-26,1935.0
2026-02-02,75.0
2026-02-09,41.0
2026-02-17,15500.0
2026-02-23,368.0
2026-03-02,262.0
2026-03-10,148.0
2026-03-16,228.0
2026-03-23,75.0
2026-03-30,121.0
2026-04-07,20.0
2026-04-13,146.0
2026-04-20,3650.0
2026-04-28,717.0
