Date,EColi
2016-11-30,2700.0
2016-12-06,63.0
2016-12-12,170.0
2016-12-19,740.0
2016-12-28,580.0
2017-01-04,270.0
2017-01-09,230.0
2017-01-16,160.0
2017-01-24,190.0
2017-01-30,230.0
2017-02-07,3700.0
2017-02-13,440.0
2017-02-20,230.0
2017-02-27,1200.0
2017-03-06,150.0
2017-03-13,210.0
2017-03-20,130.0
2017-03-27,130.0
2017-04-03,1400.0
2017-04-10,87.0
2017-04-18,63.0
2017-04-27,100.0
2017-11-05,63.0
2017-11-14,10.0
2017-11-20,63.0
2017-11-26,75.0
2017-12-05,75.0
2017-12-11,120.0
2017-12-17,31.0
2017-12-24,86.0
2017-12-31,160.0
2018-01-07,457.0
2018-01-16,173.0
2018-01-23,52.0
2018-01-28,20.0
2018-02-07,41.0
2018-02-12,2910.0
2018-02-18,85.0
2018-03-05,63.0
2018-03-11,41.0
2018-03-20,262.0
2018-03-26,171.0
2018-04-04,75.0
2018-04-10,6490.0
2018-04-16,2910.0
2018-04-22,20.0
2018-11-11,109.0
2018-11-19,132.0
2018-11-25,31.0
2018-12-03,146.0
2018-12-09,63.0
2018-12-17,63.0
2018-12-23,110.0
2018-12-31,109.0
2019-01-06,41.0
2019-01-14,480.0
2019-01-20,627.0
2019-01-28,1076.0
2019-02-03,63.0
2019-02-11,52.0
2019-02-17,52.0
2019-02-25,20.0
2019-03-03,31.0
2019-03-11,110.0
2019-03-19,20.0
2019-03-25,121.0
2019-03-31,189.0
2019-04-08,908.0
2019-04-14,10.0
2019-04-23,120.0
2019-04-30,464.0
2019-11-03,20.0
2019-11-11,2990.0
2019-11-17,2359.0
2019-11-25,52.0
2019-12-01,20.0
2019-12-09,644.0
2019-12-15,52.0
2019-12-23,134.0
2019-12-29,30.0
2020-01-06,309.0
2020-01-12,31.0
2020-01-20,41.0
2020-01-26,85.0
2020-02-03,110.0
2020-02-09,169.0
2020-02-17,121.0
2020-02-23,794.0
2020-03-02,63.0
2020-03-08,63.0
2020-03-16,132.0
2020-03-22,457.0
2020-11-04,96.0
2020-11-08,183.0
2020-11-16,246.0
2020-11-22,295.0
2020-11-30,345.0
2020-12-06,292.0
2020-12-14,96.0
2020-12-20,73.0
2020-12-28,231.0
2021-01-03,2480.0
2021-01-11,122.0
2021-01-17,63.0
2021-01-26,135.0
2021-01-31,20.0
2021-02-09,31.0
2021-02-14,52.0
2021-02-22,9.0
2021-03-01,20.0
2021-03-08,249.0
2021-03-14,110.0
2021-03-28,98.0
2021-04-05,305.0
2021-04-19,288.0
2021-04-26,288.0
2021-11-02,20.0
2021-11-09,62.0
2021-11-16,135.0
2021-11-23,146.0
2021-11-30,420.0
2021-12-07,13000.0
2021-12-14,6870.0
2021-12-21,175.0
2021-12-28,145.0
2022-01-04,31.0
2022-01-11,20.0
2022-01-18,97.0
2022-01-25,110.0
2022-02-01,52.0
2022-02-08,448.0
2022-02-15,379.0
2022-02-22,211.0
2022-03-01,121.0
2022-03-08,450.0
2022-03-15,269.0
2022-03-22,2720.0
2022-03-29,74.0
2022-04-05,262.0
2022-04-12,295.0
2022-04-19,521.0
2022-04-27,10500.0
2022-11-01,187.0
2022-11-07,62.0
2022-11-14,62.0
2022-11-21,288.0
2022-11-28,160.0
2022-12-05,134.0
2022-12-12,171.0
2022-12-19,369.0
2022-12-26,160.0
2023-01-02,74.0
2023-01-09,134.0
2023-01-16,41.0
2023-01-24,30.0
2023-01-30,602.0
2023-02-07,160.0
2023-02-13,
2023-03-06,228.0
2023-03-13,132.0
2023-03-20,187.0
2023-03-27,173.0
2023-04-03,84.0
2023-04-11,41.0
2023-04-17,158.0
2023-04-24,211.0
2023-11-08,218.0
2023-11-13,98.0
2023-11-20,1860.0
2023-11-27,171.0
2023-12-04,644.0
2023-12-11,315.0
2023-12-18,173.0
2023-12-27,187.0
2024-01-03,213.0
2024-01-08,52.0
2024-01-15,122.0
2024-01-23,203.0
2024-01-29,62.0
2024-02-05,74.0
2024-02-12,
2024-02-19,41.0
2024-02-26,743.0
2024-03-04,298.0
2024-03-11,228.0
2024-03-18,20.0
2024-03-25,41.0
2024-04-02,74.0
2024-04-08,31.0
2024-04-15,272.0
2024-04-22,145.0
2024-11-04,52.0
2024-11-11,109.0
2024-11-18,52.0
2024-11-25,30.0
2024-12-02,
2024-12-09,
2024-12-16,63.0
2024-12-23,41.0
2024-12-30,120.0
2025-01-06,122.0
2025-01-13,41.0
2025-01-21,10.0
2025-01-28,169.0
2025-02-03,52.0
2025-02-10,63.0
2025-02-17,
2025-02-24,20.0
2025-03-03,10.0
2025-03-10,63.0
2025-03-17,109.0
2025-03-24,86.0
2025-03-31,10.0
2025-04-07,173.0
2025-04-14,41.0
2025-04-23,1450.0
2025-04-28,63.0
2025-11-03,31.0
2025-11-10,63.0
2025-11-17,52.0
2025-11-24,63.0
2025-12-01,305.0
2025-12-08,41.0
2025-12-15,20.0
2025-12-22,63.0
2025-12-29,98.0
2026-01-07,41.0
2026-01-12,2700.0
2026-01-20,211.0
2026-01-26,521.0
2026-02-02,97.0
2026-02-09,158.0
2026-02-17,135.0
2026-02-23,107.0
2026-03-02,40.0
2026-03-10,389.0
2026-03-16,98.0
2026-03-23,97.0
2026-03-30,31.0
2026-04-07,96.0
2026-04-13,1396.0
2026-04-20,213.0
2026-04-28,384.0
