Date,EColi
2016-11-30,
2016-12-06,140.0
2016-12-12,800.0
2016-12-19,270.0
2016-12-28,1500.0
2017-01-04,910.0
2017-01-09,250.0
2017-01-16,260.0
2017-01-24,740.0
2017-01-30,140.0
2017-02-07,380.0
2017-02-13,830.0
2017-02-20,320.0
2017-02-27,280.0
2017-03-06,97.0
2017-03-13,400.0
2017-03-20,120.0
2017-03-27,300.0
2017-04-03,5200.0
2017-04-18,240.0
2017-04-27,67.0
2017-11-05,158.0
2017-11-14,69.0
2017-11-20,426.0
2017-11-26,345.0
2017-12-05,102.0
2017-12-11,108.0
2017-12-17,171.0
2017-12-24,41.0
2017-12-31,30.0
2018-01-07,933.0
2018-01-16,183.0
2018-01-23,122.0
2018-01-28,74.0
2018-02-07,52.0
2018-02-12,4610.0
2018-02-18,161.0
2018-02-27,1200.0
2018-03-05,110.0
2018-03-11,52.0
2018-03-20,41.0
2018-03-26,109.0
2018-04-04,275.0
2018-04-10,13000.0
2018-04-16,933.0
2018-04-22,158.0
2018-11-11,355.0
2018-11-19,414.0
2018-11-25,345.0
2018-12-03,20.0
2018-12-09,86.0
2018-12-17,75.0
2018-12-23,74.0
2018-12-31,85.0
2019-01-06,146.0
2019-01-14,1842.0
2019-01-20,197.0
2019-01-28,638.0
2019-02-03,74.0
2019-02-11,85.0
2019-02-17,97.0
2019-02-25,471.0
2019-03-03,10.0
2019-03-11,272.0
2019-03-19,175.0
2019-03-25,332.0
2019-03-31,408.0
2019-04-08,1309.0
2019-04-14,122.0
2019-04-23,30.0
2019-04-30,1989.0
2019-11-03,41.0
2019-11-11,6490.0
2019-11-17,5790.0
2019-11-25,63.0
2019-12-01,132.0
2019-12-09,1106.0
2019-12-15,31.0
2019-12-23,279.0
2019-12-29,98.0
2020-01-06,1259.0
2020-01-12,20.0
2020-01-20,52.0
2020-01-26,63.0
2020-02-03,185.0
2020-02-09,657.0
2020-02-17,146.0
2020-02-23,1421.0
2020-03-02,146.0
2020-03-08,359.0
2020-03-16,1130.0
2020-03-22,1483.0
2020-11-04,52.0
2020-11-16,98.0
2020-11-22,1050.0
2020-11-30,512.0
2020-12-06,833.0
2020-12-14,146.0
2020-12-20,75.0
2020-12-28,201.0
2021-01-03,563.0
2021-01-11,109.0
2021-01-17,52.0
2021-01-26,121.0
2021-02-09,135.0
2021-02-14,41.0
2021-02-22,52.0
2021-03-01,52.0
2021-03-08,455.0
2021-03-14,301.0
2021-04-05,487.0
2021-04-19,581.0
2021-04-26,767.0
2021-11-02,63.0
2021-11-09,160.0
2021-11-16,345.0
2021-11-23,301.0
2021-11-30,754.0
2021-12-07,13000.0
2021-12-14,24200.0
2021-12-21,231.0
2021-12-28,355.0
2022-01-04,134.0
2022-01-11,228.0
2022-01-18,52.0
2022-01-25,171.0
2022-02-01,109.0
2022-02-08,759.0
2022-02-15,448.0
2022-02-22,282.0
2022-03-01,41.0
2022-03-08,173.0
2022-03-15,41.0
2022-03-22,4110.0
2022-03-29,63.0
2022-04-05,108.0
2022-04-12,63.0
2022-04-19,97.0
2022-04-27,350.0
2022-11-01,529.0
2022-11-07,241.0
2022-11-14,581.0
2022-11-21,1119.0
2022-11-28,504.0
2022-12-05,203.0
2022-12-12,195.0
2022-12-19,591.0
2022-12-26,388.0
2023-01-02,75.0
2023-01-09,209.0
2023-01-16,62.0
2023-01-24,109.0
2023-01-30,657.0
2023-02-07,238.0
2023-02-13,31.0
2023-02-20,110.0
2023-03-06,121.0
2023-03-13,86.0
2023-03-20,226.0
2023-03-27,211.0
2023-04-03,305.0
2023-04-11,171.0
2023-04-24,422.0
2023-11-08,173.0
2023-11-13,218.0
2023-11-20,388.0
2023-11-27,134.0
2023-12-04,987.0
2023-12-11,888.0
2023-12-18,650.0
2023-12-27,183.0
2024-01-03,169.0
2024-01-08,121.0
2024-01-15,573.0
2024-01-23,231.0
2024-01-29,377.0
2024-02-05,414.0
2024-02-12,20.0
2024-02-19,171.0
2024-02-26,909.0
2024-03-04,651.0
2024-03-11,107.0
2024-03-18,331.0
2024-03-25,63.0
2024-04-02,189.0
2024-04-08,63.0
2024-04-15,279.0
2024-04-22,20.0
2024-11-04,52.0
2024-11-11,187.0
2024-11-18,122.0
2024-11-25,187.0
2024-12-02,
2024-12-09,5012.0
2024-12-16,31.0
2024-12-23,189.0
2024-12-30,148.0
2025-01-06,145.0
2025-01-13,41.0
2025-01-21,73.0
2025-01-28,158.0
2025-02-03,121.0
2025-02-10,41.0
2025-02-17,75.0
2025-02-24,10.0
2025-03-03,20.0
2025-03-10,97.0
2025-03-17,98.0
2025-03-24,63.0
2025-03-31,31.0
2025-04-07,247.0
2025-04-14,121.0
2025-04-23,2014.0
2025-04-28,63.0
2025-11-03,63.0
2025-11-10,160.0
2025-11-17,63.0
2025-11-24,199.0
2025-12-01,908.0
2025-12-08,243.0
2025-12-15,160.0
2025-12-22,41.0
2025-12-29,63.0
2026-01-07,144.0
2026-01-12,243.0
2026-01-20,216.0
2026-01-26,830.0
2026-02-02,97.0
2026-02-09,85.0
2026-02-17,323.0
2026-02-23,259.0
2026-03-02,146.0
2026-03-10,771.0
2026-03-16,52.0
2026-03-23,110.0
2026-03-30,120.0
2026-04-07,31.0
2026-04-13,3130.0
2026-04-20,487.0
2026-04-28,98.0
