Date,EColi
2016-12-01,150.0
2016-12-06,1500.0
2016-12-13,73.0
2016-12-20,34.0
2016-12-27,30.0
2017-01-04,420.0
2017-01-10,30.0
2017-01-17,110.0
2017-01-24,73.0
2017-01-31,64.0
2017-02-07,69.0
2017-02-14,64.0
2017-02-22,100.0
2017-02-28,120.0
2017-03-07,21.0
2017-03-14,240.0
2017-03-21,34.0
2017-03-28,660.0
2017-04-04,9700.0
2017-04-18,180.0
2017-04-26,21.0
2017-11-07,
2017-11-14,10.0
2017-11-20,21.0
2017-11-21,21.0
2017-11-28,173.0
2017-12-05,134.0
2017-12-12,122.0
2017-12-18,52.0
2017-12-19,52.0
2017-12-28,63.0
2018-01-04,282.0
2018-01-09,85.0
2018-01-16,156.0
2018-01-24,554.0
2018-01-30,262.0
2018-02-07,134.0
2018-02-13,414.0
2018-02-20,20.0
2018-02-27,228.0
2018-03-06,75.0
2018-03-13,63.0
2018-03-20,52.0
2018-03-27,20.0
2018-04-03,20.0
2018-04-12,663.0
2018-04-17,61.0
2018-11-13,132.0
2018-11-20,41.0
2018-11-27,471.0
2018-12-04,63.0
2018-12-11,30.0
2018-12-18,31.0
2018-12-27,345.0
2019-01-03,75.0
2019-01-08,10.0
2019-01-15,1529.0
2019-01-22,41.0
2019-01-30,31.0
2019-02-05,51.0
2019-02-12,10.0
2019-02-19,10.0
2019-02-26,10.0
2019-03-05,10.0
2019-03-12,41.0
2019-03-19,218.0
2019-03-26,20.0
2019-04-02,657.0
2019-04-09,109.0
2019-04-17,813.0
2019-04-26,10.0
2019-05-01,52.0
2019-11-12,145.0
2019-11-19,148.0
2019-11-20,148.0
2019-11-27,
2019-12-03,158.0
2019-12-10,146.0
2019-12-17,256.0
2019-12-23,148.0
2019-12-30,10.0
2020-01-07,31.0
2020-01-15,41.0
2020-01-21,20.0
2020-01-28,10.0
2020-02-03,10.0
2020-02-11,
2020-02-18,
2020-02-25,20.0
2020-03-04,637.0
2020-03-10,95.0
2020-03-18,10.0
2020-11-03,52.0
2020-11-10,2910.0
2020-11-24,161.0
2020-12-01,420.0
2020-12-08,2720.0
2020-12-15,52.0
2020-12-22,30.0
2020-12-29,20.0
2021-01-05,137.0
2021-01-12,52.0
2021-01-19,331.0
2021-01-26,30.0
2021-02-02,10.0
2021-02-09,20.0
2021-02-16,228.0
2021-02-23,10.0
2021-03-04,1169.0
2021-03-09,41.0
2021-03-16,52.0
2021-03-23,10.0
2021-03-30,279.0
2021-04-06,75.0
2021-04-13,52.0
2021-04-20,20.0
2021-04-27,63.0
2021-11-01,86.0
2021-11-09,
2021-11-15,1162.0
2021-11-22,85.0
2021-11-29,31.0
2021-12-06,63.0
2021-12-13,605.0
2021-12-20,
2021-12-27,52.0
2022-01-03,110.0
2022-01-10,63.0
2022-01-17,10.0
2022-01-24,
2022-01-31,20.0
2022-02-08,624.0
2022-02-14,237.0
2022-02-21,63.0
2022-02-28,52.0
2022-03-07,63.0
2022-03-14,10.0
2022-03-21,241.0
2022-03-28,86.0
2022-04-04,10.0
2022-04-11,41.0
2022-04-19,10.0
2022-04-26,20.0
2022-11-01,301.0
2022-11-07,31.0
2022-11-14,63.0
2022-11-21,345.0
2022-11-28,341.0
2022-12-05,10.0
2022-12-12,158.0
2022-12-19,594.0
2022-12-28,52.0
2023-01-04,41.0
2023-01-09,473.0
2023-01-16,75.0
2023-01-24,86.0
2023-01-30,218.0
2023-02-07,246.0
2023-02-13,155.0
2023-02-20,63.0
2023-02-27,74.0
2023-03-06,52.0
2023-03-13,10.0
2023-03-20,122.0
2023-03-27,309.0
2023-04-03,20.0
2023-04-11,1421.0
2023-04-17,
2023-04-26,52.0
2023-11-06,
2023-11-14,63.0
2023-11-21,272.0
2023-11-28,30.0
2023-12-05,565.0
2023-12-12,41.0
2023-12-19,74.0
2023-12-28,158.0
2024-01-09,92.0
2024-01-16,1119.0
2024-01-24,334.0
2024-01-30,321.0
2024-02-07,145.0
2024-02-13,74.0
2024-02-20,247.0
2024-02-28,10.0
2024-03-05,1187.0
2024-03-12,41.0
2024-03-19,63.0
2024-03-26,31.0
2024-04-03,364.0
2024-04-09,
2024-04-16,63.0
2024-04-23,86.0
2024-11-04,373.0
2024-11-11,150.0
2024-11-18,85.0
2024-11-25,85.0
2024-12-02,98.0
2024-12-10,556.0
2024-12-16,75.0
2024-12-23,
2024-12-30,110.0
2025-01-06,160.0
2025-01-13,41.0
2025-01-20,98.0
2025-01-28,158.0
2025-02-03,
2025-02-11,359.0
2025-02-17,106.0
2025-02-24,10.0
2025-03-03,
2025-03-10,63.0
2025-03-17,62.0
2025-03-25,158.0
2025-03-31,10.0
2025-04-07,1050.0
2025-04-22,504.0
2025-04-28,41.0
2025-11-03,
2025-11-10,41.0
2025-11-20,201.0
2025-11-24,41.0
2025-12-01,148.0
2025-12-08,31.0
2025-12-17,410.0
2025-12-22,41.0
2025-12-29,41.0
2026-01-05,86.0
2026-01-12,473.0
2026-01-19,73.0
2026-01-27,246.0
2026-02-02,52.0
2026-02-09,41.0
2026-02-23,52.0
2026-03-02,201.0
2026-03-09,31.0
2026-03-16,185.0
2026-03-23,10.0
2026-03-30,108.0
2026-04-09,189.0
2026-04-16,350.0
2026-04-20,487.0
2026-04-28,74.0
