Date,EColi
2016-11-30,280.0
2016-12-06,25.0
2016-12-12,90.0
2016-12-19,1400.0
2016-12-28,110.0
2017-01-04,64.0
2017-01-09,25.0
2017-01-16,130.0
2017-01-24,260.0
2017-01-30,34.0
2017-02-07,2900.0
2017-02-13,280.0
2017-02-20,8.0
2017-02-27,
2017-03-06,16.0
2017-03-13,200.0
2017-03-20,12.0
2017-03-27,25.0
2017-04-03,290.0
2017-04-10,25.0
2017-04-18,8.0
2017-04-27,
2017-11-06,31.0
2017-11-12,20.0
2017-11-21,10.0
2017-11-29,84.0
2017-12-03,15.0
2017-12-12,20.0
2017-12-18,10.0
2017-12-27,31.0
2018-01-03,
2018-01-08,2760.0
2018-01-14,121.0
2018-01-24,85.0
2018-01-29,52.0
2018-02-04,1190.0
2018-02-13,2250.0
2018-02-19,189.0
2018-02-25,134.0
2018-03-06,109.0
2018-03-12,135.0
2018-03-15,63.0
2018-03-27,134.0
2018-04-05,63.0
2018-04-08,63.0
2018-04-15,75.0
2018-04-23,
2018-11-12,
2018-11-18,420.0
2018-11-26,120.0
2018-12-02,
2018-12-10,
2018-12-16,253.0
2018-12-24,10.0
2018-12-30,110.0
2019-01-07,350.0
2019-01-13,313.0
2019-01-22,259.0
2019-01-27,331.0
2019-02-04,292.0
2019-02-10,148.0
2019-02-18,20.0
2019-02-24,3650.0
2019-03-04,121.0
2019-03-10,75.0
2019-03-17,213.0
2019-03-24,134.0
2019-04-01,63.0
2019-04-07,31.0
2019-04-15,84.0
2019-04-21,110.0
2019-04-29,697.0
2019-11-04,10.0
2019-11-10,41.0
2019-11-18,529.0
2019-11-24,72.0
2019-12-02,10.0
2019-12-08,3650.0
2019-12-16,9.0
2019-12-22,393.0
2019-12-30,2490.0
2020-01-05,121.0
2020-01-13,594.0
2020-01-19,41.0
2020-01-27,988.0
2020-02-02,3650.0
2020-02-10,20.0
2020-02-16,30.0
2020-02-24,801.0
2020-03-01,231.0
2020-03-09,62.0
2020-03-15,75.0
2020-11-02,41.0
2020-11-08,20.0
2020-11-16,181.0
2020-11-22,132.0
2020-11-30,20.0
2020-12-06,41.0
2020-12-14,10.0
2020-12-20,20.0
2020-12-28,75.0
2021-01-03,213.0
2021-01-11,231.0
2021-01-17,135.0
2021-01-26,305.0
2021-01-31,52.0
2021-02-09,9.0
2021-02-14,185.0
2021-02-22,1046.0
2021-03-01,95.0
2021-03-08,404.0
2021-03-14,309.0
2021-03-28,315.0
2021-04-05,556.0
2021-04-11,41.0
2021-04-19,41.0
2021-04-25,75.0
2021-11-02,20.0
2021-11-09,10.0
2021-11-15,121.0
2021-11-23,173.0
2021-11-30,703.0
2021-12-07,5480.0
2021-12-14,1725.0
2021-12-21,10.0
2021-12-28,228.0
2022-01-04,158.0
2022-01-11,1296.0
2022-01-18,134.0
2022-01-25,108.0
2022-02-01,171.0
2022-02-08,631.0
2022-02-15,528.0
2022-02-22,631.0
2022-03-01,41.0
2022-03-08,216.0
2022-03-15,85.0
2022-03-22,146.0
2022-03-29,121.0
2022-04-05,
2022-04-12,161.0
2022-04-20,122.0
2022-04-27,132.0
2022-11-01,20.0
2022-11-07,10.0
2022-11-14,10.0
2022-11-21,121.0
2022-11-28,10.0
2022-12-05,75.0
2022-12-12,75.0
2022-12-19,161.0
2022-12-26,121.0
2023-01-02,199.0
2023-01-09,20.0
2023-01-16,
2023-01-24,122.0
2023-01-30,250.0
2023-02-07,605.0
2023-02-13,98.0
2023-02-20,41.0
2023-02-27,63.0
2023-03-06,187.0
2023-03-13,41.0
2023-03-20,63.0
2023-03-27,109.0
2023-04-03,20.0
2023-04-11,20.0
2023-04-17,41.0
2023-04-24,62.0
2023-11-06,10.0
2023-11-13,118.0
2023-11-20,181.0
2023-11-27,52.0
2023-12-04,41.0
2023-12-11,455.0
2023-12-18,31.0
2023-12-27,189.0
2024-01-03,41.0
2024-01-08,201.0
2024-01-15,350.0
2024-01-23,148.0
2024-01-29,292.0
2024-02-05,183.0
2024-02-12,41.0
2024-02-19,216.0
2024-02-26,1071.0
2024-03-04,1211.0
2024-03-11,41.0
2024-03-18,52.0
2024-03-25,359.0
2024-04-02,31.0
2024-04-08,75.0
2024-04-15,155.0
2024-04-22,74.0
2024-11-04,
2024-11-06,146.0
2024-11-11,11.7
2024-11-18,10.0
2024-11-25,10.0
2024-12-02,
2024-12-09,2723.0
2024-12-16,10.0
2024-12-23,62.0
2024-12-30,213.0
2025-01-06,146.0
2025-01-13,20.0
2025-01-21,20.0
2025-01-27,41.0
2025-02-03,226.0
2025-02-10,31.0
2025-02-17,63.0
2025-02-24,41.0
2025-03-03,122.0
2025-03-10,218.0
2025-03-17,74.0
2025-03-24,605.0
2025-03-31,155.0
2025-04-07,399.0
2025-04-14,41.0
2025-04-22,41.0
2025-04-28,10.0
2025-11-04,20.0
2025-11-11,256.0
2025-11-18,97.0
2025-11-25,41.0
2025-12-02,121.0
2025-12-09,41.0
2025-12-16,272.0
2025-12-22,96.0
2025-12-29,269.0
2026-01-07,121.0
2026-01-13,134.0
2026-01-21,350.0
2026-01-27,309.0
2026-02-03,10.0
2026-02-10,20.0
2026-02-17,110.0
2026-02-24,246.0
2026-03-03,20.0
2026-03-11,52.0
2026-03-17,10.0
2026-03-24,63.0
2026-03-31,122.0
2026-04-08,52.0
2026-04-14,120.0
2026-04-21,789.0
2026-04-29,318.0
