Date,EColi
2016-11-30,460.0
2016-12-06,240.0
2016-12-12,1200.0
2016-12-19,190.0
2016-12-28,140.0
2017-01-04,5200.0
2017-01-09,160.0
2017-01-16,1300.0
2017-01-24,2600.0
2017-01-30,180.0
2017-02-07,180.0
2017-02-13,290.0
2017-02-20,770.0
2017-02-27,220.0
2017-03-06,110.0
2017-03-13,1500.0
2017-03-20,180.0
2017-03-27,330.0
2017-04-03,950.0
2017-04-10,210.0
2017-04-18,350.0
2017-04-27,130.0
2017-11-05,189.0
2017-11-14,52.0
2017-11-20,175.0
2017-11-26,373.0
2017-12-05,121.0
2017-12-11,10.0
2017-12-17,173.0
2017-12-24,134.0
2017-12-31,243.0
2018-01-07,1920.0
2018-01-16,187.0
2018-01-23,243.0
2018-01-28,146.0
2018-02-07,295.0
2018-02-12,616.0
2018-02-18,384.0
2018-02-27,2720.0
2018-03-05,435.0
2018-03-11,85.0
2018-03-20,122.0
2018-03-26,435.0
2018-04-04,259.0
2018-04-10,3650.0
2018-04-16,529.0
2018-04-22,121.0
2018-11-11,457.0
2018-11-19,145.0
2018-11-25,379.0
2018-12-03,743.0
2018-12-09,197.0
2018-12-17,241.0
2018-12-23,160.0
2018-12-31,528.0
2019-01-06,110.0
2019-01-14,109.0
2019-01-20,120.0
2019-01-28,253.0
2019-02-03,450.0
2019-02-11,109.0
2019-02-17,187.0
2019-02-25,4610.0
2019-03-03,20.0
2019-03-11,345.0
2019-03-19,107.0
2019-03-25,171.0
2019-03-31,175.0
2019-04-08,160.0
2019-04-14,85.0
2019-04-23,85.0
2019-04-30,4110.0
2019-11-03,201.0
2019-11-11,4880.0
2019-11-17,670.0
2019-11-25,97.0
2019-12-01,257.0
2019-12-09,5790.0
2019-12-15,98.0
2019-12-23,309.0
2019-12-29,10.0
2020-01-06,253.0
2020-01-12,345.0
2020-01-20,85.0
2020-01-26,169.0
2020-02-03,262.0
2020-02-09,158.0
2020-02-17,259.0
2020-02-23,4610.0
2020-03-02,448.0
2020-03-08,142.0
2020-03-16,108.0
2020-03-22,246.0
2020-11-04,317.0
2020-11-08,216.0
2020-11-16,408.0
2020-11-22,168.0
2020-11-30,990.0
2020-12-06,728.0
2020-12-14,216.0
2020-12-20,158.0
2020-12-28,173.0
2021-01-03,203.0
2021-01-11,62.0
2021-01-17,199.0
2021-01-26,231.0
2021-01-31,145.0
2021-02-09,95.0
2021-02-14,249.0
2021-02-22,52.0
2021-03-01,63.0
2021-03-08,987.0
2021-03-14,195.0
2021-03-28,145.0
2021-04-05,265.0
2021-04-19,369.0
2021-04-26,131.0
2021-11-02,63.0
2021-11-09,122.0
2021-11-16,813.0
2021-11-23,609.0
2021-11-30,1112.0
2021-12-07,11200.0
2021-12-14,
2021-12-21,318.0
2021-12-28,134.0
2022-01-04,134.0
2022-01-11,97.0
2022-01-18,259.0
2022-01-25,336.0
2022-02-01,120.0
2022-02-08,1145.0
2022-02-15,670.0
2022-02-22,185.0
2022-03-01,185.0
2022-03-08,275.0
2022-03-15,279.0
2022-03-22,857.0
2022-03-29,233.0
2022-04-05,201.0
2022-04-12,160.0
2022-04-19,175.0
2022-04-27,160.0
2022-11-01,908.0
2022-11-07,63.0
2022-11-14,323.0
2022-11-21,279.0
2022-11-28,712.0
2022-12-05,228.0
2022-12-12,135.0
2022-12-19,504.0
2022-12-26,109.0
2023-01-02,31.0
2023-01-09,1376.0
2023-01-16,84.0
2023-01-24,148.0
2023-01-30,1223.0
2023-02-07,327.0
2023-02-13,161.0
2023-02-27,175.0
2023-03-06,134.0
2023-03-13,185.0
2023-03-20,364.0
2023-03-27,108.0
2023-04-03,86.0
2023-04-11,148.0
2023-04-17,74.0
2023-04-24,727.0
2023-11-08,145.0
2023-11-13,98.0
2023-11-20,1515.0
2023-11-27,199.0
2023-12-04,420.0
2023-12-11,2098.0
2023-12-18,134.0
2023-12-27,134.0
2024-01-03,10.0
2024-01-08,148.0
2024-01-15,253.0
2024-01-23,169.0
2024-01-29,193.0
2024-02-05,393.0
2024-02-12,63.0
2024-02-19,20.0
2024-02-26,405.0
2024-03-04,1314.0
2024-03-11,309.0
2024-03-18,315.0
2024-03-25,292.0
2024-04-02,146.0
2024-04-08,288.0
2024-04-15,749.0
2024-04-22,160.0
2024-11-04,211.0
2024-11-11,242.0
2024-11-18,121.0
2024-11-25,201.0
2024-12-02,
2024-12-09,2282.0
2024-12-16,148.0
2024-12-23,341.0
2024-12-30,292.0
2025-01-06,135.0
2025-01-13,86.0
2025-01-21,135.0
2025-01-28,317.0
2025-02-03,173.0
2025-02-10,161.0
2025-02-17,109.0
2025-02-24,226.0
2025-03-03,98.0
2025-03-10,275.0
2025-03-17,98.0
2025-03-24,160.0
2025-03-31,369.0
2025-04-07,389.0
2025-04-14,122.0
2025-04-23,2755.0
2025-04-28,52.0
2025-11-03,74.0
2025-11-10,189.0
2025-11-17,109.0
2025-11-24,160.0
2025-12-01,288.0
2025-12-08,189.0
2025-12-15,85.0
2025-12-22,121.0
2025-12-29,75.0
2026-01-07,97.0
2026-01-12,135.0
2026-01-20,121.0
2026-01-26,1850.0
2026-02-02,63.0
2026-02-09,135.0
2026-02-17,4610.0
2026-02-23,173.0
2026-03-02,97.0
2026-03-10,189.0
2026-03-16,175.0
2026-03-23,144.0
2026-03-30,181.0
2026-04-07,213.0
2026-04-13,789.0
2026-04-20,414.0
2026-04-28,134.0
