Date,EColi
2016-11-30,650.0
2016-12-06,190.0
2016-12-12,840.0
2016-12-19,100.0
2016-12-28,120.0
2017-01-04,6900.0
2017-01-09,130.0
2017-01-16,1100.0
2017-01-24,4200.0
2017-01-30,140.0
2017-02-07,160.0
2017-02-13,110.0
2017-02-20,580.0
2017-02-27,190.0
2017-03-06,130.0
2017-03-13,1400.0
2017-03-20,190.0
2017-03-27,590.0
2017-04-03,740.0
2017-04-10,190.0
2017-04-18,380.0
2017-04-27,150.0
2017-11-05,160.0
2017-11-14,145.0
2017-11-20,86.0
2017-11-26,121.0
2017-12-05,318.0
2017-12-11,480.0
2017-12-17,323.0
2017-12-24,457.0
2017-12-31,538.0
2018-01-07,2910.0
2018-01-16,364.0
2018-01-23,285.0
2018-01-28,246.0
2018-02-07,379.0
2018-02-12,1160.0
2018-02-18,279.0
2018-02-27,324.0
2018-03-05,246.0
2018-03-11,305.0
2018-03-20,341.0
2018-03-26,309.0
2018-04-04,813.0
2018-04-10,1320.0
2018-04-16,414.0
2018-04-22,158.0
2018-11-11,428.0
2018-11-19,201.0
2018-11-25,309.0
2018-12-03,1439.0
2018-12-09,364.0
2018-12-17,134.0
2018-12-23,228.0
2018-12-31,420.0
2019-01-06,228.0
2019-01-14,122.0
2019-01-20,272.0
2019-01-28,175.0
2019-02-03,235.0
2019-02-11,144.0
2019-02-17,247.0
2019-02-25,2910.0
2019-03-03,10.0
2019-03-11,158.0
2019-03-19,110.0
2019-03-25,364.0
2019-03-31,63.0
2019-04-08,175.0
2019-04-14,75.0
2019-04-23,160.0
2019-04-30,1372.0
2019-11-03,171.0
2019-11-11,4880.0
2019-11-17,613.0
2019-11-25,161.0
2019-12-01,228.0
2019-12-09,6490.0
2019-12-15,86.0
2019-12-23,408.0
2019-12-29,86.0
2020-01-06,754.0
2020-01-12,107.0
2020-01-20,213.0
2020-01-26,86.0
2020-02-03,155.0
2020-02-09,120.0
2020-02-17,487.0
2020-02-23,2490.0
2020-03-02,130.0
2020-03-08,145.0
2020-03-16,201.0
2020-03-22,529.0
2020-11-04,272.0
2020-11-08,323.0
2020-11-16,295.0
2020-11-22,134.0
2020-11-30,650.0
2020-12-06,1106.0
2020-12-14,218.0
2020-12-20,97.0
2020-12-28,231.0
2021-01-03,30.0
2021-01-11,98.0
2021-01-17,120.0
2021-01-26,63.0
2021-01-31,134.0
2021-02-09,75.0
2021-02-14,265.0
2021-02-22,98.0
2021-03-01,216.0
2021-03-08,2910.0
2021-03-14,305.0
2021-03-28,41.0
2021-04-05,246.0
2021-04-19,295.0
2021-04-26,201.0
2021-11-02,72.0
2021-11-09,281.0
2021-11-16,1050.0
2021-11-23,621.0
2021-11-30,457.0
2021-12-07,10500.0
2021-12-14,
2021-12-21,317.0
2021-12-28,146.0
2022-01-04,84.0
2022-01-11,98.0
2022-01-18,97.0
2022-01-25,187.0
2022-02-01,187.0
2022-02-08,1376.0
2022-02-15,272.0
2022-02-22,341.0
2022-03-01,110.0
2022-03-08,246.0
2022-03-15,203.0
2022-03-22,908.0
2022-03-29,465.0
2022-04-05,295.0
2022-04-12,285.0
2022-04-19,243.0
2022-04-27,109.0
2022-11-01,785.0
2022-11-07,180.0
2022-11-14,435.0
2022-11-21,420.0
2022-11-28,1162.0
2022-12-05,243.0
2022-12-12,187.0
2022-12-19,457.0
2022-12-26,122.0
2023-01-02,75.0
2023-01-09,1314.0
2023-01-16,146.0
2023-01-24,158.0
2023-01-30,933.0
2023-02-07,256.0
2023-02-13,121.0
2023-02-20,122.0
2023-02-27,187.0
2023-03-06,171.0
2023-03-13,146.0
2023-03-20,216.0
2023-03-27,
2023-04-03,20.0
2023-04-11,305.0
2023-04-17,75.0
2023-04-24,987.0
2023-11-08,233.0
2023-11-13,122.0
2023-11-20,1212.0
2023-11-27,253.0
2023-12-04,331.0
2023-12-11,2187.0
2023-12-18,189.0
2023-12-27,135.0
2024-01-03,86.0
2024-01-08,132.0
2024-01-15,132.0
2024-01-23,216.0
2024-01-29,638.0
2024-02-05,351.0
2024-02-12,86.0
2024-02-19,359.0
2024-02-26,1918.0
2024-03-04,857.0
2024-03-11,230.0
2024-03-18,429.0
2024-03-25,294.0
2024-04-02,259.0
2024-04-08,256.0
2024-04-15,530.0
2024-04-22,73.0
2024-11-04,195.0
2024-11-11,1050.0
2024-11-18,122.0
2024-11-25,228.0
2024-12-02,
2024-12-09,3448.0
2024-12-16,148.0
2024-12-23,388.0
2024-12-30,97.0
2025-01-06,379.0
2025-01-13,86.0
2025-01-21,109.0
2025-01-28,906.0
2025-02-03,199.0
2025-02-10,538.0
2025-02-17,249.0
2025-02-24,231.0
2025-03-03,426.0
2025-03-10,301.0
2025-03-17,428.0
2025-03-24,327.0
2025-03-31,318.0
2025-04-07,670.0
2025-04-14,209.0
2025-04-23,4611.0
2025-04-28,187.0
2025-11-03,119.0
2025-11-10,110.0
2025-11-17,160.0
2025-11-24,345.0
2025-12-01,404.0
2025-12-08,241.0
2025-12-15,246.0
2025-12-22,86.0
2025-12-29,74.0
2026-01-07,402.0
2026-01-12,496.0
2026-01-20,146.0
2026-01-26,2282.0
2026-02-02,158.0
2026-02-09,119.0
2026-02-17,2760.0
2026-02-23,135.0
2026-03-02,336.0
2026-03-10,355.0
2026-03-16,185.0
2026-03-23,146.0
2026-03-30,323.0
2026-04-07,331.0
2026-04-13,471.0
2026-04-20,563.0
2026-04-28,73.0
