Date,EColi
2022-12-20,231.0
2022-12-29,63.0
2023-01-05,328.0
2023-01-10,393.0
2023-01-17,20.0
2023-01-25,279.0
2023-01-31,195.0
2023-02-08,52.0
2023-02-14,4880.0
2023-02-21,63.0
2023-02-28,1106.0
2023-03-07,75.0
2023-03-14,146.0
2023-03-21,275.0
2023-03-28,121.0
2023-04-04,63.0
2023-04-12,134.0
2023-04-18,47.0
2023-04-27,75.0
2023-11-07,213.0
2023-11-15,146.0
2023-11-22,134.0
2023-11-29,187.0
2023-12-06,135.0
2023-12-13,98.0
2023-12-20,131.0
2023-12-29,670.0
2024-01-05,265.0
2024-01-10,228.0
2024-01-17,305.0
2024-01-25,74.0
2024-01-31,359.0
2024-02-08,175.0
2024-02-14,121.0
2024-02-21,86.0
2024-02-29,41.0
2024-03-06,86.0
2024-03-13,295.0
2024-03-20,63.0
2024-03-27,122.0
2024-04-04,75.0
2024-04-10,41.0
2024-04-17,96.0
2024-04-24,75.0
2024-11-04,183.0
2024-11-11,231.0
2024-11-18,201.0
2024-11-25,231.0
2024-12-02,109.0
2024-12-10,315.0
2024-12-16,275.0
2024-12-23,243.0
2024-12-30,146.0
2025-01-06,203.0
2025-01-13,31.0
2025-01-20,160.0
2025-01-28,153.0
2025-02-03,
2025-02-11,189.0
2025-02-17,86.0
2025-02-24,110.0
2025-03-03,86.0
2025-03-10,52.0
2025-03-17,209.0
2025-03-25,86.0
2025-03-31,512.0
2025-04-07,857.0
2025-04-22,637.0
2025-04-28,41.0
2025-11-03,175.0
2025-11-10,307.0
2025-11-20,216.0
2025-11-24,148.0
2025-12-01,677.0
2025-12-08,238.0
2025-12-17,435.0
2025-12-22,185.0
2025-12-29,135.0
2026-01-05,160.0
2026-01-12,1153.0
2026-01-19,292.0
2026-01-27,20.0
2026-02-02,299.0
2026-02-09,122.0
2026-02-23,216.0
2026-03-02,249.0
2026-03-09,120.0
2026-03-16,161.0
2026-03-23,63.0
2026-03-30,146.0
2026-04-09,63.0
2026-04-16,350.0
2026-04-20,199.0
2026-04-28,63.0
