Date,EColi
2018-11-12,108.0
2018-11-18,75.0
2018-11-26,7270.0
2018-12-02,75.0
2018-12-11,86.0
2018-12-16,10.0
2018-12-24,169.0
2018-12-30,97.0
2019-01-07,85.0
2019-01-13,185.0
2019-01-22,75.0
2019-01-27,288.0
2019-02-04,20.0
2019-02-10,52.0
2019-02-18,62.0
2019-02-24,197.0
2019-03-04,98.0
2019-03-10,122.0
2019-03-19,31.0
2019-03-24,52.0
2019-04-02,435.0
2019-04-07,63.0
2019-04-15,109.0
2019-04-21,63.0
2019-04-29,118.0
2019-11-04,30.0
2019-11-10,
2019-11-18,41.0
2019-11-24,
2019-12-02,135.0
2019-12-08,426.0
2019-12-16,110.0
2019-12-22,98.0
2019-12-30,173.0
2020-01-05,110.0
2020-01-13,85.0
2020-01-19,74.0
2020-01-27,41.0
2020-02-02,98.0
2020-02-10,52.0
2020-02-16,189.0
2020-02-24,203.0
2020-03-01,107.0
2020-03-09,121.0
2020-03-15,20.0
2020-03-23,189.0
2020-11-01,161.0
2020-11-09,120.0
2020-11-15,75.0
2020-11-23,41.0
2020-11-29,41.0
2020-12-07,134.0
2020-12-13,31.0
2020-12-21,74.0
2020-12-27,73.0
2021-01-04,2247.0
2021-01-10,31.0
2021-01-18,179.0
2021-01-24,86.0
2021-02-01,41.0
2021-02-07,41.0
2021-02-15,10.0
2021-02-21,98.0
2021-02-28,41.0
2021-03-07,882.0
2021-03-15,134.0
2021-03-21,63.0
2021-03-29,98.0
2021-04-04,52.0
2021-04-12,86.0
2021-04-18,183.0
2021-04-26,86.0
2021-11-03,63.0
2021-11-10,98.0
2021-11-17,9800.0
2021-11-24,98.0
2021-12-01,836.0
2021-12-08,350.0
2021-12-15,905.0
2021-12-22,213.0
2021-12-29,1421.0
2022-01-05,216.0
2022-01-12,41.0
2022-01-19,203.0
2022-01-26,142.0
2022-02-02,63.0
2022-02-07,906.0
2022-02-16,203.0
2022-02-23,148.0
2022-03-02,187.0
2022-03-09,199.0
2022-03-16,63.0
2022-03-23,279.0
2022-03-30,183.0
2022-04-06,134.0
2022-04-13,30.0
2022-04-21,10.0
2022-04-28,73.0
2022-11-02,146.0
2022-11-08,110.0
2022-11-15,41.0
2022-11-22,31.0
2022-11-29,85.0
2022-12-06,97.0
2022-12-13,272.0
2022-12-20,663.0
2022-12-27,31.0
2023-01-03,52.0
2023-01-10,428.0
2023-01-17,96.0
2023-01-25,121.0
2023-02-08,275.0
2023-02-21,142.0
2023-02-28,110.0
2023-03-07,31.0
2023-03-14,75.0
2023-03-21,291.0
2023-03-28,20.0
2023-04-04,52.0
2023-04-12,581.0
2023-04-18,
2023-04-24,275.0
2023-11-08,91.0
2023-11-15,132.0
2023-11-22,109.0
2023-11-29,228.0
2023-12-06,41.0
2023-12-13,31.0
2023-12-20,41.0
2023-12-29,203.0
2024-01-05,97.0
2024-01-10,75.0
2024-01-17,259.0
2024-01-25,86.0
2024-01-31,109.0
2024-02-08,52.0
2024-02-14,31.0
2024-02-21,110.0
2024-02-28,63.0
2024-03-06,187.0
2024-03-13,146.0
2024-03-20,31.0
2024-03-27,565.0
2024-04-04,52.0
2024-04-10,41.0
2024-04-17,275.0
2024-04-23,272.0
2024-11-05,1515.0
2024-11-12,63.0
2024-11-19,52.0
2024-11-27,30.0
2024-12-04,
2024-12-10,144.0
2024-12-17,97.0
2024-12-23,135.0
2024-12-30,86.0
2025-01-07,546.0
2025-01-14,
2025-01-22,292.0
2025-01-28,135.0
2025-02-04,30.0
2025-02-11,30.0
2025-02-18,109.0
2025-02-25,31.0
2025-03-04,84.0
2025-03-12,52.0
2025-03-18,20.0
2025-03-25,120.0
2025-04-01,269.0
2025-04-09,156.0
2025-04-15,41.0
2025-04-23,910.0
2025-04-29,41.0
2025-11-05,10.0
2025-11-12,52.0
2025-11-19,209.0
2025-11-26,75.0
2025-12-03,238.0
2025-12-08,63.0
2025-12-17,313.0
2025-12-22,52.0
2025-12-29,211.0
2026-01-08,85.0
2026-01-14,52.0
2026-01-22,173.0
2026-01-28,201.0
2026-02-04,209.0
2026-02-11,75.0
2026-02-18,404.0
2026-02-25,41.0
2026-03-04,109.0
2026-03-13,63.0
2026-03-18,109.0
2026-03-25,119.0
2026-04-01,75.0
2026-04-09,121.0
2026-04-15,259.0
2026-04-21,24200.0
2026-04-30,148.0
