Date,EColi
2016-12-01,110.0
2016-12-06,3300.0
2016-12-13,280.0
2016-12-20,21.0
2016-12-27,48.0
2017-01-04,1700.0
2017-01-10,72.0
2017-01-17,21.0
2017-01-24,780.0
2017-01-31,64.0
2017-02-07,54.0
2017-02-14,48.0
2017-02-22,2100.0
2017-02-28,30.0
2017-03-07,43.0
2017-03-14,2100.0
2017-03-21,62.0
2017-03-28,330.0
2017-04-04,
2017-04-18,1600.0
2017-04-26,98.0
2017-11-07,238.0
2017-11-14,52.0
2017-11-20,
2017-11-21,
2017-11-28,3870.0
2017-12-05,767.0
2017-12-12,104.0
2017-12-18,110.0
2017-12-19,110.0
2017-12-28,41.0
2018-01-09,620.0
2018-01-16,613.0
2018-01-24,238.0
2018-01-30,41.0
2018-02-07,10.0
2018-02-13,257.0
2018-02-20,61.0
2018-03-13,228.0
2018-03-20,20.0
2018-03-27,295.0
2018-04-03,10.0
2018-04-12,5170.0
2018-04-17,2990.0
2018-11-13,3650.0
2018-11-20,246.0
2018-11-27,2910.0
2018-12-04,3650.0
2018-12-18,317.0
2019-01-03,63.0
2019-01-08,146.0
2019-01-15,2064.0
2019-01-22,52.0
2019-01-30,20.0
2019-02-05,41.0
2019-02-12,20.0
2019-02-19,31.0
2019-02-26,10.0
2019-03-05,30.0
2019-03-12,63.0
2019-03-19,145.0
2019-03-26,120.0
2019-04-02,1576.0
2019-04-09,20.0
2019-04-17,51.0
2019-04-26,
2019-05-01,857.0
