Date,EColi
2016-12-01,54.0
2016-12-06,1200.0
2016-12-13,390.0
2016-12-20,1000.0
2016-12-27,910.0
2017-01-04,420.0
2017-01-10,690.0
2017-01-17,2600.0
2017-01-24,54.0
2017-01-31,130.0
2017-02-07,1000.0
2017-02-14,140.0
2017-02-22,90.0
2017-02-28,1500.0
2017-03-07,1200.0
2017-03-14,190.0
2017-03-21,69.0
2017-03-28,270.0
2017-04-04,1800.0
2017-04-18,170.0
2017-04-26,12.0
2017-11-07,
2017-11-14,86.0
2017-11-20,189.0
2017-11-21,189.0
2017-11-28,884.0
2017-12-05,231.0
2017-12-12,110.0
2017-12-18,195.0
2017-12-19,195.0
2017-12-28,609.0
2018-01-04,487.0
2018-01-09,85.0
2018-01-16,417.0
2018-01-24,158.0
2018-01-30,279.0
2018-02-07,75.0
2018-02-13,298.0
2018-02-20,97.0
2018-02-27,185.0
2018-03-06,122.0
2018-03-13,97.0
2018-03-20,10.0
2018-03-27,131.0
2018-04-03,63.0
2018-04-12,243.0
2018-04-17,203.0
2018-11-13,860.0
2018-11-20,233.0
2018-11-27,275.0
2018-12-04,121.0
2018-12-11,134.0
2018-12-18,95.0
2018-12-27,52.0
2019-01-03,30.0
2019-01-08,97.0
2019-01-15,2490.0
2019-01-22,20.0
2019-01-30,109.0
2019-02-05,10.0
2019-02-12,121.0
2019-02-19,108.0
2019-02-26,223.0
2019-03-05,132.0
2019-03-12,132.0
2019-03-19,173.0
2019-03-26,86.0
2019-04-02,465.0
2019-04-09,148.0
2019-04-17,86.0
2019-04-26,52.0
2019-05-01,41.0
2019-11-12,109.0
2019-11-19,63.0
2019-11-20,63.0
2019-11-27,145.0
2019-12-03,355.0
2019-12-10,336.0
2019-12-17,548.0
2019-12-23,262.0
2019-12-30,552.0
2020-01-07,213.0
2020-01-15,95.0
2020-01-21,52.0
2020-01-28,171.0
2020-02-03,243.0
2020-02-11,201.0
2020-02-18,201.0
2020-02-25,246.0
2020-03-04,5170.0
2020-03-10,185.0
2020-03-18,63.0
2020-11-03,20.0
2020-11-10,3870.0
2020-11-17,145.0
2020-11-24,288.0
2020-12-01,1607.0
2020-12-08,1153.0
2020-12-15,359.0
2020-12-22,109.0
2020-12-29,327.0
2021-01-05,211.0
2021-01-12,246.0
2021-01-19,428.0
2021-01-26,292.0
2021-02-02,20.0
2021-02-09,52.0
2021-02-16,135.0
2021-02-23,110.0
2021-03-04,331.0
2021-03-16,108.0
2021-03-23,63.0
2021-03-30,135.0
2021-04-06,85.0
2021-04-13,108.0
2021-04-20,63.0
2021-04-27,97.0
2021-11-01,187.0
2021-11-09,145.0
2021-11-15,1017.0
2021-11-22,631.0
2021-11-29,173.0
2021-12-07,243.0
2021-12-14,262.0
2021-12-21,135.0
2021-12-28,145.0
2022-01-04,160.0
2022-01-11,181.0
2022-01-18,121.0
2022-01-25,1043.0
2022-02-01,72.0
2022-02-09,145.0
2022-02-15,160.0
2022-02-22,201.0
2022-03-01,448.0
2022-03-08,657.0
2022-03-15,598.0
2022-03-22,1081.0
2022-03-29,221.0
2022-04-05,132.0
2022-04-12,313.0
2022-04-20,118.0
2022-04-27,84.0
2022-11-02,136.0
2022-11-08,480.0
2022-11-15,199.0
2022-11-22,435.0
2022-11-29,168.0
2022-12-06,146.0
2022-12-13,160.0
2022-12-20,307.0
2022-12-28,218.0
2023-01-05,292.0
2023-01-10,286.0
2023-01-17,171.0
2023-01-25,538.0
2023-01-31,520.0
2023-02-08,233.0
2023-02-14,8300.0
2023-02-21,160.0
2023-02-28,168.0
2023-03-07,393.0
2023-03-14,805.0
2023-03-21,1374.0
2023-03-28,122.0
2023-04-04,98.0
2023-04-12,85.0
2023-04-18,31.0
2023-04-27,161.0
2023-11-07,30.0
2023-11-15,122.0
2023-11-22,75.0
2023-11-29,121.0
2023-12-06,86.0
2023-12-13,161.0
2023-12-20,135.0
2023-12-29,187.0
2024-01-05,259.0
2024-01-10,86.0
2024-01-17,269.0
2024-01-25,279.0
2024-01-31,206.0
2024-02-08,52.0
2024-02-14,471.0
2024-02-21,122.0
2024-02-29,256.0
2024-03-06,435.0
2024-03-13,97.0
2024-03-20,107.0
2024-03-27,122.0
2024-04-04,86.0
2024-04-10,63.0
2024-04-17,63.0
2024-04-24,31.0
2024-11-04,288.0
2024-11-11,167.4
2024-11-18,122.0
2024-11-25,122.0
2024-12-02,86.0
2024-12-10,262.0
2024-12-16,156.0
2024-12-23,262.0
2024-12-30,187.0
2025-01-06,97.0
2025-01-13,63.0
2025-01-20,20.0
2025-01-28,135.0
2025-02-03,
2025-02-11,933.0
2025-02-17,86.0
2025-02-24,96.0
2025-03-03,109.0
2025-03-10,20.0
2025-03-17,63.0
2025-03-25,75.0
2025-03-31,259.0
2025-04-07,2046.0
2025-04-22,762.0
2025-04-28,110.0
2025-11-03,41.0
2025-11-10,197.0
2025-11-20,160.0
2025-11-24,160.0
2025-12-01,134.0
2025-12-08,201.0
2025-12-17,495.0
2025-12-22,86.0
2025-12-29,158.0
2026-01-05,187.0
2026-01-12,1043.0
2026-01-19,246.0
2026-01-27,86.0
2026-02-02,98.0
2026-02-09,203.0
2026-02-23,74.0
2026-03-02,185.0
2026-03-09,85.0
2026-03-16,109.0
2026-03-23,75.0
2026-03-30,609.0
2026-04-09,75.0
2026-04-16,241.0
2026-04-20,323.0
2026-04-28,209.0
