Date,EColi
2017-11-07,121.0
2017-11-14,74.0
2017-11-20,74.0
2017-11-21,74.0
2017-11-28,697.0
2017-12-05,246.0
2017-12-12,441.0
2017-12-18,189.0
2017-12-19,189.0
2017-12-28,305.0
2018-01-04,336.0
2018-01-09,161.0
2018-01-16,388.0
2018-01-24,288.0
2018-01-30,199.0
2018-02-07,109.0
2018-02-13,279.0
2018-02-20,301.0
2018-02-27,110.0
2018-03-06,119.0
2018-03-13,379.0
2018-03-20,10.0
2018-03-27,146.0
2018-04-03,226.0
2018-04-12,331.0
2018-04-17,189.0
2018-11-13,73.0
2018-11-20,187.0
2018-11-27,213.0
2018-12-04,259.0
2018-12-11,121.0
2018-12-18,228.0
2018-12-27,272.0
2019-01-03,233.0
2019-01-03,233.0
2019-01-08,146.0
2019-01-15,6890.0
2019-01-22,173.0
2019-01-30,120.0
2019-02-05,187.0
2019-02-12,160.0
2019-02-19,41.0
2019-02-26,197.0
2019-03-05,122.0
2019-03-12,114.0
2019-03-19,10.0
2019-03-26,183.0
2019-04-02,455.0
2019-04-09,108.0
2019-04-17,85.0
2019-04-26,135.0
2019-05-01,20.0
2019-11-12,256.0
2019-11-19,246.0
2019-11-20,246.0
2019-11-27,155.0
2019-12-03,389.0
2019-12-10,295.0
2019-12-17,391.0
2019-12-23,275.0
2019-12-30,457.0
2020-01-07,121.0
2020-01-15,148.0
2020-01-21,318.0
2020-01-28,146.0
2020-02-03,132.0
2020-02-11,110.0
2020-02-18,238.0
2020-02-25,305.0
2020-03-04,3870.0
2020-03-10,52.0
2020-03-18,120.0
2020-11-03,183.0
2020-11-10,5790.0
2020-11-24,231.0
2020-12-01,2282.0
2020-12-08,960.0
2020-12-15,160.0
2020-12-22,62.0
2020-12-29,203.0
2021-01-05,135.0
2021-01-12,135.0
2021-01-19,288.0
2021-01-26,160.0
2021-02-02,134.0
2021-02-09,121.0
2021-02-23,121.0
2021-03-04,884.0
2021-03-09,74.0
2021-03-16,379.0
2021-03-23,148.0
2021-03-30,120.0
2021-04-06,75.0
2021-04-13,173.0
2021-04-20,41.0
2021-04-27,41.0
2021-11-01,231.0
2021-11-09,109.0
2021-11-15,1918.0
2021-11-22,292.0
2021-11-29,132.0
2021-12-07,399.0
2021-12-14,197.0
2021-12-21,199.0
2021-12-28,145.0
2022-01-04,72.0
2022-01-11,160.0
2022-01-18,301.0
2022-01-25,644.0
2022-02-01,160.0
2022-02-09,288.0
2022-02-15,231.0
2022-02-22,148.0
2022-03-01,98.0
2022-03-08,359.0
2022-03-15,243.0
2022-03-22,1004.0
2022-03-29,145.0
2022-04-05,359.0
2022-04-12,158.0
2022-04-20,31.0
2022-04-27,121.0
