Date,EColi
2016-12-13,230.0
2016-12-20,91.0
2016-12-29,74.0
2017-01-05,44.0
2017-01-10,68.0
2017-01-17,85.0
2017-01-26,120.0
2017-02-01,80.0
2017-02-09,150.0
2017-02-15,290.0
2017-02-22,200.0
2017-03-01,73.0
2017-03-08,770.0
2017-03-15,180.0
2017-03-22,54.0
2017-03-29,330.0
2017-04-05,5700.0
2017-04-20,25.0
2017-04-26,76.0
2017-11-07,52.0
2017-11-13,231.0
2017-11-19,201.0
2017-11-28,3870.0
2017-12-04,594.0
2017-12-10,173.0
2017-12-19,309.0
2017-12-28,479.0
2018-01-04,14100.0
2018-01-09,410.0
2018-01-15,1270.0
2018-01-21,272.0
2018-01-30,443.0
2018-02-05,185.0
2018-02-11,262.0
2018-02-20,206.0
2018-02-26,62.0
2018-03-04,146.0
2018-03-13,315.0
2018-03-19,63.0
2018-03-25,368.0
2018-04-03,109.0
2018-04-09,84.0
2018-04-15,448.0
2018-04-24,146.0
2018-11-12,226.0
2018-11-18,266.0
2018-11-26,744.0
2018-12-02,160.0
2018-12-11,223.0
2018-12-16,738.0
2018-12-24,650.0
2018-12-30,187.0
2019-01-07,98.0
2019-01-13,110.0
2019-01-22,74.0
2019-01-27,216.0
2019-02-04,85.0
2019-02-10,97.0
2019-02-18,41.0
2019-02-24,10.0
2019-03-04,146.0
2019-03-10,272.0
2019-03-19,20.0
2019-03-24,85.0
2019-04-02,697.0
2019-04-07,63.0
2019-04-15,122.0
2019-04-21,96.0
2019-04-29,388.0
2019-11-04,52.0
2019-11-10,
2019-11-18,620.0
2019-11-24,185.0
2019-12-02,161.0
2019-12-08,187.0
2019-12-16,120.0
2019-12-22,373.0
2019-12-30,74.0
2020-01-05,30.0
2020-01-13,135.0
2020-01-19,41.0
2020-01-27,131.0
2020-02-02,41.0
2020-02-10,249.0
2020-02-16,10.0
2020-02-24,135.0
2020-03-01,130.0
2020-03-09,96.0
2020-03-15,31.0
2020-03-23,160.0
2020-11-01,135.0
2020-11-09,364.0
2020-11-15,119.0
2020-11-23,98.0
2020-11-29,173.0
2020-12-07,134.0
2020-12-13,109.0
2020-12-21,131.0
2020-12-27,122.0
2021-01-04,816.0
2021-01-10,1081.0
2021-01-18,7270.0
2021-01-24,52.0
2021-02-01,110.0
2021-02-07,146.0
2021-02-21,173.0
2021-03-07,275.0
2021-03-15,107.0
2021-03-21,134.0
2021-03-29,231.0
2021-04-04,135.0
2021-04-12,52.0
2021-04-18,160.0
2021-04-26,73.0
2021-11-03,594.0
2021-11-10,285.0
2021-11-17,262.0
2021-11-24,134.0
2021-12-01,12000.0
2021-12-08,238.0
2021-12-15,738.0
2021-12-22,173.0
2021-12-29,1054.0
2022-01-05,41.0
2022-01-12,146.0
2022-01-19,173.0
2022-01-26,1664.0
2022-02-02,323.0
2022-02-07,2359.0
2022-02-16,1098.0
2022-02-23,209.0
2022-03-02,134.0
2022-03-09,197.0
2022-03-16,581.0
2022-03-23,695.0
2022-03-30,279.0
2022-04-06,168.0
2022-04-13,216.0
2022-04-21,242.0
2022-04-28,161.0
2022-11-02,121.0
2022-11-08,591.0
2022-11-15,63.0
2022-11-22,63.0
2022-11-29,146.0
2022-12-06,41.0
2022-12-13,97.0
2022-12-20,7270.0
2022-12-27,233.0
2023-01-03,98.0
2023-01-10,301.0
2023-01-17,181.0
2023-01-25,934.0
2023-01-31,565.0
2023-02-08,120.0
2023-03-21,
2023-03-28,160.0
2023-04-04,480.0
2023-04-12,399.0
2023-04-18,63.0
2023-04-24,393.0
2023-11-08,6870.0
2023-11-15,158.0
2023-11-22,122.0
2023-11-29,63.0
2023-12-06,199.0
2023-12-13,504.0
2023-12-20,122.0
2023-12-29,109.0
2024-01-05,183.0
2024-01-10,63.0
2024-01-17,448.0
2024-01-25,187.0
2024-01-31,3450.0
2024-02-08,119.0
2024-02-14,677.0
2024-02-21,199.0
2024-02-28,231.0
2024-03-06,1076.0
2024-03-13,512.0
2024-03-20,145.0
2024-03-27,72.0
2024-04-04,120.0
2024-04-10,169.0
2024-04-17,73.0
2024-04-23,256.0
2024-11-05,616.0
2024-11-12,41.0
2024-11-19,31.0
2024-11-27,30.0
2024-12-04,
2024-12-10,393.0
2024-12-17,341.0
2024-12-23,275.0
2024-12-30,96.0
2025-01-07,1039.0
2025-01-14,135.0
2025-01-22,480.0
2025-01-28,173.0
2025-02-04,313.0
2025-02-11,160.0
2025-02-18,52.0
2025-02-25,379.0
2025-03-04,24196.0
2025-03-12,20.0
2025-03-18,156.0
2025-03-25,309.0
2025-04-01,2247.0
2025-04-09,108.0
2025-04-15,131.0
2025-04-23,3873.0
2025-04-29,75.0
2025-11-05,63.0
2025-11-12,41.0
2025-11-19,175.0
2025-11-26,185.0
2025-12-03,250.0
2025-12-08,173.0
2025-12-17,187.0
2025-12-22,52.0
2025-12-29,109.0
2026-01-08,135.0
2026-01-14,160.0
2026-01-22,1850.0
2026-01-28,83.0
2026-02-04,189.0
2026-02-11,683.0
2026-02-18,480.0
2026-02-25,97.0
2026-03-04,132.0
2026-03-13,86.0
2026-03-18,292.0
2026-03-25,168.0
2026-04-01,135.0
2026-04-09,359.0
2026-04-15,253.0
2026-04-21,2610.0
2026-04-30,109.0
