Date,EColi
2016-11-30,690.0
2016-12-07,8.0
2016-12-13,38.0
2016-12-20,58.0
2016-12-29,110.0
2017-01-05,16.0
2017-01-10,280.0
2017-01-17,34.0
2017-01-25,64.0
2017-01-31,120.0
2017-02-08,97.0
2017-02-14,12.0
2017-02-21,34.0
2017-02-28,54.0
2017-03-07,78.0
2017-03-14,140.0
2017-03-21,110.0
2017-03-28,58.0
2017-04-04,450.0
2017-04-11,38.0
2017-04-19,12.0
2017-04-27,12.0
2017-11-06,41.0
2017-11-12,10.0
2017-11-21,
2017-11-29,86.0
2017-12-03,110.0
2017-12-12,144.0
2017-12-18,189.0
2017-12-27,820.0
2018-01-03,122.0
2018-01-08,148.0
2018-01-14,63.0
2018-01-24,41.0
2018-01-29,20.0
2018-02-04,145.0
2018-02-13,313.0
2018-02-19,84.0
2018-02-25,480.0
2018-03-06,52.0
2018-03-12,20.0
2018-03-18,31.0
2018-03-27,52.0
2018-04-05,41.0
2018-04-08,20.0
2018-04-15,52.0
2018-04-23,10.0
2018-11-12,
2018-11-18,148.0
2018-11-26,605.0
2018-12-02,
2018-12-10,
2018-12-16,52.0
2018-12-24,10.0
2018-12-30,109.0
2019-01-07,573.0
2019-01-13,31.0
2019-01-22,20.0
2019-01-27,262.0
2019-02-04,41.0
2019-02-10,31.0
2019-02-18,52.0
2019-02-24,557.0
2019-03-04,187.0
2019-03-10,85.0
2019-03-17,313.0
2019-03-24,41.0
2019-04-01,146.0
2019-04-07,52.0
2019-04-15,20.0
2019-04-21,31.0
2019-04-29,4350.0
2019-11-04,20.0
2019-11-10,160.0
2019-11-18,209.0
2019-11-24,52.0
2019-12-02,52.0
2019-12-08,3260.0
2019-12-16,85.0
2019-12-22,52.0
2019-12-30,408.0
2020-01-05,75.0
2020-01-13,448.0
2020-01-19,
2020-01-27,218.0
2020-02-02,298.0
2020-02-10,52.0
2020-02-16,41.0
2020-02-24,218.0
2020-03-01,173.0
2020-03-09,75.0
2020-03-15,10.0
2020-11-02,41.0
2020-11-08,187.0
2020-11-16,41.0
2020-11-22,496.0
2020-11-30,256.0
2020-12-06,31.0
2020-12-14,10.0
2020-12-20,20.0
2020-12-28,134.0
2021-01-03,74.0
2021-01-11,75.0
2021-01-17,132.0
2021-01-26,134.0
2021-01-31,10.0
2021-02-09,40.0
2021-02-14,41.0
2021-02-22,10.0
2021-03-01,120.0
2021-03-08,591.0
2021-03-14,74.0
2021-03-28,10.0
2021-04-05,435.0
2021-04-11,135.0
2021-04-19,41.0
2021-04-25,10.0
2021-11-02,
2021-11-09,30.0
2021-11-15,250.0
2021-11-23,74.0
2021-11-30,880.0
2021-12-07,9800.0
2021-12-14,520.0
2021-12-21,203.0
2021-12-28,86.0
2022-01-04,52.0
2022-01-11,448.0
2022-01-18,41.0
2022-01-25,98.0
2022-02-01,10.0
2022-02-08,41.0
2022-02-15,130.0
2022-02-22,20.0
2022-03-01,41.0
2022-03-08,31.0
2022-03-15,171.0
2022-03-22,231.0
2022-03-29,108.0
2022-04-05,771.0
2022-04-12,256.0
2022-04-20,275.0
2022-04-27,20.0
2022-11-01,52.0
2022-11-07,
2022-11-14,63.0
2022-11-21,882.0
2022-11-28,41.0
2022-12-05,30.0
2022-12-12,84.0
2022-12-19,85.0
2022-12-26,31.0
2023-01-02,41.0
2023-01-09,20.0
2023-01-16,86.0
2023-01-24,
2023-01-30,108.0
2023-02-07,122.0
2023-02-13,20.0
2023-02-20,63.0
2023-02-27,98.0
2023-03-06,63.0
2023-03-13,369.0
2023-03-20,41.0
2023-03-27,41.0
2023-04-04,31.0
2023-04-11,75.0
2023-04-17,10.0
2023-04-24,63.0
2023-11-06,
2023-11-13,75.0
2023-11-20,480.0
2023-11-27,52.0
2023-12-04,187.0
2023-12-11,86.0
2023-12-18,120.0
2023-12-27,52.0
2024-01-03,52.0
2024-01-08,20.0
2024-01-15,733.0
2024-01-23,663.0
2024-01-29,243.0
2024-02-05,41.0
2024-02-12,31.0
2024-02-19,31.0
2024-02-26,185.0
2024-03-04,41.0
2024-03-11,20.0
2024-03-18,86.0
2024-03-25,86.0
2024-04-02,173.0
2024-04-08,10.0
2024-04-15,185.0
2024-04-22,74.0
2024-11-04,
2024-11-06,2613.0
2024-11-11,
2024-11-18,63.0
2024-11-25,98.0
2024-12-02,
2024-12-09,1860.0
2024-12-16,52.0
2024-12-23,185.0
2024-12-30,52.0
2025-01-06,97.0
2025-01-13,41.0
2025-01-21,84.0
2025-01-27,441.0
2025-02-03,122.0
2025-02-10,41.0
2025-02-17,110.0
2025-02-24,75.0
2025-03-03,
2025-03-04,185.0
2025-03-10,31.0
2025-03-17,52.0
2025-03-24,313.0
2025-03-31,30.0
2025-04-07,213.0
2025-04-14,52.0
2025-04-22,63.0
2025-04-28,41.0
2025-11-04,31.0
2025-11-11,480.0
2025-11-18,41.0
2025-11-25,63.0
2025-12-02,201.0
2025-12-09,41.0
2025-12-16,52.0
2025-12-22,75.0
2025-12-29,31.0
2026-01-07,41.0
2026-01-13,74.0
2026-01-21,168.0
2026-01-27,146.0
2026-02-03,121.0
2026-02-10,51.0
2026-02-17,173.0
2026-02-24,121.0
2026-03-03,171.0
2026-03-11,52.0
2026-03-17,75.0
2026-03-24,31.0
2026-03-31,269.0
2026-04-08,98.0
2026-04-14,1455.0
2026-04-21,175.0
2026-04-29,122.0
