Date,EColi
2016-11-30,950.0
2016-12-07,180.0
2016-12-13,180.0
2016-12-20,110.0
2016-12-29,97.0
2017-01-05,80.0
2017-01-10,240.0
2017-01-17,58.0
2017-01-25,39.0
2017-01-31,34.0
2017-02-08,67.0
2017-02-14,49.0
2017-02-21,44.0
2017-02-28,25.0
2017-03-07,80.0
2017-03-14,75.0
2017-03-21,360.0
2017-03-28,70.0
2017-04-04,420.0
2017-04-11,39.0
2017-04-19,25.0
2017-04-27,25.0
2017-11-06,20.0
2017-11-12,122.0
2017-11-21,52.0
2017-11-29,
2017-12-03,63.0
2017-12-12,63.0
2017-12-18,142.0
2017-12-27,146.0
2018-01-03,63.0
2018-01-08,169.0
2018-01-14,173.0
2018-01-24,52.0
2018-01-29,30.0
2018-02-04,96.0
2018-02-13,422.0
2018-02-19,
2018-02-25,132.0
2018-03-06,63.0
2018-03-12,85.0
2018-03-18,52.0
2018-03-27,98.0
2018-04-05,10.0
2018-04-08,20.0
2018-04-15,41.0
2018-04-23,20.0
2018-11-12,86.0
2018-11-18,262.0
2018-11-26,908.0
2018-12-02,63.0
2018-12-10,63.0
2018-12-16,108.0
2018-12-24,30.0
2018-12-30,110.0
2019-01-07,3650.0
2019-01-13,20.0
2019-01-22,52.0
2019-01-27,243.0
2019-02-04,109.0
2019-02-10,75.0
2019-02-18,63.0
2019-02-24,583.0
2019-03-04,134.0
2019-03-10,63.0
2019-03-17,121.0
2019-03-24,98.0
2019-04-01,175.0
2019-04-07,20.0
2019-04-15,84.0
2019-04-21,30.0
2019-04-29,6130.0
2019-11-04,20.0
2019-11-10,52.0
2019-11-18,414.0
2019-11-24,86.0
2019-12-02,110.0
2019-12-08,1500.0
2019-12-16,109.0
2019-12-22,52.0
2019-12-30,324.0
2020-01-05,31.0
2020-01-13,262.0
2020-01-19,31.0
2020-01-27,74.0
2020-02-02,259.0
2020-02-10,10.0
2020-02-16,31.0
2020-02-24,145.0
2020-03-01,158.0
2020-03-09,108.0
2020-03-15,
2020-11-02,98.0
2020-11-08,169.0
2020-11-16,148.0
2020-11-22,432.0
2020-11-30,173.0
2020-12-06,63.0
2020-12-14,31.0
2020-12-20,145.0
2020-12-28,161.0
2021-01-03,203.0
2021-01-11,121.0
2021-01-17,86.0
2021-01-26,63.0
2021-01-31,20.0
2021-02-09,52.0
2021-02-14,41.0
2021-02-22,10.0
2021-03-01,41.0
2021-03-08,432.0
2021-03-14,122.0
2021-03-28,75.0
2021-04-05,602.0
2021-04-19,109.0
2021-04-25,52.0
2021-11-02,41.0
2021-11-09,10.0
2021-11-15,609.0
2021-11-23,63.0
2021-11-30,1401.0
2021-12-07,7270.0
2021-12-14,2760.0
2021-12-21,134.0
2021-12-28,62.0
2022-01-04,52.0
2022-01-11,171.0
2022-01-18,10.0
2022-01-25,62.0
2022-02-01,85.0
2022-02-08,199.0
2022-02-15,75.0
2022-02-22,97.0
2022-03-01,41.0
2022-03-08,20.0
2022-03-15,85.0
2022-03-22,
2022-03-29,
2022-04-05,74.0
2022-04-12,146.0
2022-04-20,52.0
2022-04-27,63.0
2022-11-01,10.0
2022-11-07,41.0
2022-11-14,52.0
2022-11-21,583.0
2022-11-28,31.0
2022-12-05,110.0
2022-12-12,41.0
2022-12-19,148.0
2022-12-26,10.0
2023-01-02,
2023-01-09,20.0
2023-01-16,20.0
2023-01-24,41.0
2023-01-30,134.0
2023-02-07,108.0
2023-02-13,52.0
2023-02-20,98.0
2023-02-27,109.0
2023-03-06,97.0
2023-03-13,683.0
2023-03-20,121.0
2023-03-27,161.0
2023-04-04,108.0
2023-04-11,63.0
2023-04-17,31.0
2023-04-24,256.0
2023-11-06,63.0
2023-11-13,216.0
2023-11-20,422.0
2023-11-27,41.0
2023-12-04,132.0
2023-12-11,171.0
2023-12-18,158.0
2023-12-27,156.0
2024-01-03,
2024-01-08,31.0
2024-01-15,246.0
2024-01-23,816.0
2024-01-29,197.0
2024-02-05,75.0
2024-02-12,63.0
2024-02-19,135.0
2024-02-26,187.0
2024-03-04,313.0
2024-03-11,228.0
2024-03-18,420.0
2024-03-25,331.0
2024-04-02,243.0
2024-04-08,74.0
2024-04-15,116.0
2024-04-22,110.0
2024-11-04,63.0
2024-11-11,109.0
2024-11-18,41.0
2024-11-25,84.0
2024-12-02,
2024-12-09,1624.0
2024-12-16,183.0
2024-12-23,269.0
2024-12-30,185.0
2025-01-06,41.0
2025-01-13,20.0
2025-01-21,41.0
2025-01-27,561.0
2025-02-03,368.0
2025-02-10,187.0
2025-02-17,110.0
2025-02-24,161.0
2025-03-03,
2025-03-04,313.0
2025-03-10,173.0
2025-03-17,175.0
2025-03-24,146.0
2025-03-31,120.0
2025-04-07,168.0
2025-04-14,110.0
2025-04-22,109.0
2025-04-28,146.0
2025-11-04,10.0
2025-11-11,384.0
2025-11-18,
2025-11-25,41.0
2025-12-02,97.0
2025-12-09,122.0
2025-12-16,20.0
2025-12-22,84.0
2025-12-29,52.0
2026-01-07,75.0
2026-01-13,41.0
2026-01-21,96.0
2026-01-27,246.0
2026-02-03,148.0
2026-02-10,130.0
2026-02-17,262.0
2026-02-24,41.0
2026-03-03,85.0
2026-03-11,52.0
2026-03-17,85.0
2026-03-24,122.0
2026-03-31,262.0
2026-04-08,75.0
2026-04-14,1178.0
2026-04-21,226.0
2026-04-29,63.0
