Date,EColi
2016-11-30,740.0
2016-12-07,80.0
2016-12-13,58.0
2016-12-20,75.0
2016-12-29,2500.0
2017-01-05,12.0
2017-01-10,260.0
2017-01-17,54.0
2017-01-25,54.0
2017-01-31,44.0
2017-02-08,39.0
2017-02-14,44.0
2017-02-21,80.0
2017-02-28,39.0
2017-03-07,68.0
2017-03-14,120.0
2017-03-21,120.0
2017-03-28,84.0
2017-04-04,490.0
2017-04-11,25.0
2017-04-19,44.0
2017-04-27,68.0
2017-11-06,20.0
2017-11-12,20.0
2017-11-21,10.0
2017-11-29,109.0
2017-12-03,384.0
2017-12-12,75.0
2017-12-18,73.0
2017-12-27,132.0
2018-01-03,218.0
2018-01-08,203.0
2018-01-14,31.0
2018-01-24,75.0
2018-01-29,63.0
2018-02-04,74.0
2018-02-13,389.0
2018-02-19,41.0
2018-02-25,86.0
2018-03-06,369.0
2018-03-12,30.0
2018-03-18,20.0
2018-03-27,41.0
2018-04-05,384.0
2018-04-08,31.0
2018-04-15,107.0
2018-04-23,31.0
2018-11-12,63.0
2018-11-18,249.0
2018-11-26,712.0
2018-12-02,74.0
2018-12-10,41.0
2018-12-16,52.0
2018-12-24,
2018-12-30,197.0
2019-01-07,1935.0
2019-01-13,31.0
2019-01-22,20.0
2019-01-27,213.0
2019-02-04,31.0
2019-02-10,10.0
2019-02-18,10.0
2019-02-24,384.0
2019-03-04,121.0
2019-03-10,75.0
2019-03-17,235.0
2019-03-24,146.0
2019-04-01,246.0
2019-04-07,52.0
2019-04-15,20.0
2019-04-21,20.0
2019-04-29,4880.0
2019-11-04,30.0
2019-11-10,145.0
2019-11-18,216.0
2019-11-24,86.0
2019-12-02,131.0
2019-12-08,5480.0
2019-12-16,132.0
2019-12-22,86.0
2019-12-30,631.0
2020-01-05,119.0
2020-01-13,909.0
2020-01-19,63.0
2020-01-27,259.0
2020-02-02,309.0
2020-02-10,73.0
2020-02-16,86.0
2020-02-24,246.0
2020-03-01,63.0
2020-03-09,148.0
2020-03-15,52.0
2020-11-02,41.0
2020-11-08,670.0
2020-11-16,31.0
2020-11-22,2760.0
2020-11-30,199.0
2020-12-06,63.0
2020-12-14,98.0
2020-12-20,52.0
2020-12-28,52.0
2021-01-03,211.0
2021-01-11,109.0
2021-01-17,211.0
2021-01-26,41.0
2021-01-31,63.0
2021-02-09,52.0
2021-02-14,85.0
2021-02-22,52.0
2021-03-01,148.0
2021-03-08,404.0
2021-03-14,86.0
2021-03-28,74.0
2021-04-05,759.0
2021-04-11,379.0
2021-04-19,75.0
2021-04-25,109.0
2021-11-02,20.0
2021-11-09,31.0
2021-11-15,798.0
2021-11-23,86.0
2021-11-30,1333.0
2021-12-07,14100.0
2021-12-14,2187.0
2021-12-21,121.0
2021-12-28,20.0
2022-01-04,63.0
2022-01-11,110.0
2022-01-18,20.0
2022-01-25,97.0
2022-02-01,74.0
2022-02-08,243.0
2022-02-15,63.0
2022-02-22,98.0
2022-03-01,97.0
2022-03-08,41.0
2022-03-15,135.0
2022-03-22,110.0
2022-03-29,31.0
2022-04-05,119.0
2022-04-12,226.0
2022-04-20,160.0
2022-04-27,20.0
2022-11-01,20.0
2022-11-07,
2022-11-14,31.0
2022-11-21,602.0
2022-11-28,148.0
2022-12-02,20.0
2022-12-05,30.0
2022-12-12,86.0
2022-12-19,295.0
2023-01-02,52.0
2023-01-09,10.0
2023-01-16,20.0
2023-01-24,20.0
2023-01-30,908.0
2023-02-07,202.0
2023-02-13,52.0
2023-02-20,41.0
2023-02-27,75.0
2023-03-06,158.0
2023-03-13,414.0
2023-03-20,160.0
2023-03-27,74.0
2023-04-04,86.0
2023-04-11,20.0
2023-04-17,52.0
2023-04-24,121.0
2023-11-06,62.0
2023-11-13,52.0
2023-11-20,420.0
2023-11-27,20.0
2023-12-04,201.0
2023-12-11,160.0
2023-12-18,74.0
2023-12-27,98.0
2024-01-03,122.0
2024-01-08,41.0
2024-01-15,134.0
2024-01-23,437.0
2024-01-29,216.0
2024-02-05,
2024-02-12,51.0
2024-02-19,98.0
2024-02-26,86.0
2024-03-04,109.0
2024-03-11,223.0
2024-03-18,146.0
2024-03-25,146.0
2024-04-02,199.0
2024-04-08,148.0
2024-04-15,160.0
2024-04-22,134.0
2024-11-04,52.0
2024-11-11,160.0
2024-11-18,52.0
2024-11-25,110.0
2024-12-02,
2024-12-09,3255.0
2024-12-16,41.0
2024-12-23,161.0
2024-12-30,86.0
2025-01-06,75.0
2025-01-13,10.0
2025-01-21,10.0
2025-01-27,504.0
2025-02-03,63.0
2025-02-10,41.0
2025-02-17,63.0
2025-02-24,63.0
2025-03-03,
2025-03-04,75.0
2025-03-10,30.0
2025-03-17,203.0
2025-03-24,98.0
2025-03-31,121.0
2025-04-07,75.0
2025-04-14,52.0
2025-04-22,97.0
2025-04-28,31.0
2025-11-04,30.0
2025-11-11,355.0
2025-11-18,20.0
2025-11-25,63.0
2025-12-02,63.0
2025-12-09,52.0
2025-12-16,85.0
2025-12-22,52.0
2025-12-29,
2026-01-07,10.0
2026-01-13,52.0
2026-01-21,20.0
2026-01-27,246.0
2026-02-03,109.0
2026-02-10,73.0
2026-02-17,98.0
2026-02-24,148.0
2026-03-03,199.0
2026-03-11,86.0
2026-03-17,31.0
2026-03-24,41.0
2026-03-31,243.0
2026-04-08,63.0
2026-04-14,677.0
2026-04-21,216.0
2026-04-29,98.0
