Date,EColi
2016-11-30,1300.0
2016-12-07,34.0
2016-12-13,140.0
2016-12-20,130.0
2016-12-29,98.0
2017-01-05,64.0
2017-01-10,660.0
2017-01-17,98.0
2017-01-25,76.0
2017-01-31,110.0
2017-02-08,100.0
2017-02-14,44.0
2017-02-21,80.0
2017-02-28,99.0
2017-03-07,59.0
2017-03-14,98.0
2017-03-21,120.0
2017-03-28,95.0
2017-04-04,1300.0
2017-04-19,64.0
2017-04-27,69.0
2017-11-06,52.0
2017-11-12,10.0
2017-11-21,120.0
2017-11-29,98.0
2017-12-03,10.0
2017-12-12,20.0
2017-12-18,74.0
2017-12-27,187.0
2018-01-03,41.0
2018-01-08,52.0
2018-01-14,75.0
2018-01-24,120.0
2018-01-29,20.0
2018-02-04,399.0
2018-02-13,364.0
2018-02-19,148.0
2018-02-25,158.0
2018-03-06,86.0
2018-03-12,41.0
2018-03-18,41.0
2018-03-27,52.0
2018-04-05,41.0
2018-04-08,31.0
2018-04-15,74.0
2018-04-23,41.0
2018-11-12,160.0
2018-11-18,313.0
2018-11-26,1664.0
2018-12-02,52.0
2018-12-10,52.0
2018-12-16,20.0
2018-12-24,74.0
2018-12-30,108.0
2019-01-07,1989.0
2019-01-13,98.0
2019-01-22,10.0
2019-01-27,158.0
2019-02-04,120.0
2019-02-10,74.0
2019-02-19,121.0
2019-02-24,309.0
2019-03-04,52.0
2019-03-10,75.0
2019-03-17,52.0
2019-03-24,62.0
2019-04-01,253.0
2019-04-07,86.0
2019-04-15,52.0
2019-04-21,41.0
2019-04-29,9800.0
2019-11-04,10.0
2019-11-10,556.0
2019-11-18,512.0
2019-11-24,41.0
2019-12-02,121.0
2019-12-08,3650.0
2019-12-16,97.0
2019-12-22,74.0
2019-12-30,546.0
2020-01-05,75.0
2020-01-13,288.0
2020-01-19,20.0
2020-01-27,96.0
2020-02-02,203.0
2020-02-10,31.0
2020-02-16,107.0
2020-02-24,132.0
2020-03-01,63.0
2020-03-09,288.0
2020-03-15,98.0
2020-11-02,85.0
2020-11-08,350.0
2020-11-16,187.0
2020-11-22,1086.0
2020-11-30,259.0
2020-12-06,110.0
2020-12-14,52.0
2020-12-20,9.0
2020-12-28,98.0
2021-01-03,86.0
2021-01-11,108.0
2021-01-17,145.0
2021-01-26,109.0
2021-01-31,20.0
2021-02-09,86.0
2021-02-14,31.0
2021-02-22,63.0
2021-03-01,86.0
2021-03-08,437.0
2021-03-14,63.0
2021-03-28,52.0
2021-04-05,2610.0
2021-04-11,295.0
2021-04-19,86.0
2021-04-25,52.0
2021-11-02,41.0
2021-11-09,20.0
2021-11-15,754.0
2021-11-23,122.0
2021-11-30,1785.0
2021-12-07,24200.0
2021-12-14,6490.0
2021-12-21,241.0
2021-12-28,86.0
2022-01-04,10.0
2022-01-11,201.0
2022-01-18,52.0
2022-01-25,135.0
2022-02-01,63.0
2022-02-08,231.0
2022-02-15,134.0
2022-02-22,203.0
2022-03-01,161.0
2022-03-08,110.0
2022-03-15,75.0
2022-03-22,145.0
2022-03-29,86.0
2022-04-05,275.0
2022-04-12,216.0
2022-04-20,226.0
2022-04-27,63.0
2022-11-01,85.0
2022-11-07,31.0
2022-11-14,110.0
2022-11-21,1081.0
2022-11-28,63.0
2022-12-05,41.0
2022-12-12,41.0
2022-12-19,717.0
2022-12-26,
2023-01-02,63.0
2023-01-09,63.0
2023-01-16,86.0
2023-01-24,122.0
2023-01-30,197.0
2023-02-07,145.0
2023-02-13,108.0
2023-02-20,148.0
2023-02-27,96.0
2023-03-06,109.0
2023-03-13,767.0
2023-03-20,148.0
2023-03-27,131.0
2023-04-03,63.0
2023-04-11,86.0
2023-04-17,86.0
2023-04-24,63.0
2023-11-06,109.0
2023-11-13,41.0
2023-11-20,439.0
2023-11-27,197.0
2023-12-04,327.0
2023-12-11,323.0
2023-12-18,156.0
2023-12-27,98.0
2024-01-03,85.0
2024-01-08,52.0
2024-01-15,10.0
2024-01-23,108.0
2024-01-29,134.0
2024-02-05,134.0
2024-02-12,108.0
2024-02-19,256.0
2024-02-26,228.0
2024-03-04,556.0
2024-03-11,187.0
2024-03-18,85.0
2024-03-25,52.0
2024-04-02,201.0
2024-04-08,84.0
2024-04-15,146.0
2024-04-22,134.0
2024-11-04,61.0
2024-11-11,
2024-11-18,10.0
2024-11-25,98.0
2024-12-02,
2024-12-09,2224.0
2024-12-16,134.0
2024-12-23,108.0
2024-12-30,171.0
2025-01-06,98.0
2025-01-13,63.0
2025-01-21,84.0
2025-01-27,631.0
2025-02-03,120.0
2025-02-10,120.0
2025-02-17,158.0
2025-02-24,110.0
2025-03-03,
2025-03-04,30.0
2025-03-10,110.0
2025-03-17,241.0
2025-03-24,121.0
2025-03-31,148.0
2025-04-07,279.0
2025-04-14,74.0
2025-04-22,158.0
2025-04-28,158.0
2025-11-04,31.0
2025-11-11,512.0
2025-11-18,52.0
2025-11-25,86.0
2025-12-02,86.0
2025-12-09,86.0
2025-12-16,63.0
2025-12-22,31.0
2025-12-29,41.0
2026-01-07,52.0
2026-01-13,122.0
2026-01-21,110.0
2026-01-27,203.0
2026-02-03,86.0
2026-02-10,30.0
2026-02-17,97.0
2026-02-24,41.0
2026-03-03,75.0
2026-03-11,97.0
2026-03-17,110.0
2026-03-24,197.0
2026-03-31,345.0
2026-04-08,108.0
2026-04-14,414.0
2026-04-21,269.0
2026-04-29,156.0
