Date,EColi
2016-12-01,370.0
2016-12-06,21.0
2016-12-13,54.0
2016-12-20,21.0
2016-12-27,95.0
2017-01-04,2600.0
2017-01-10,48.0
2017-01-17,150.0
2017-01-24,810.0
2017-01-31,100.0
2017-02-07,44.0
2017-02-14,240.0
2017-02-22,280.0
2017-02-28,610.0
2017-03-07,130.0
2017-03-14,520.0
2017-03-21,160.0
2017-03-28,91.0
2017-04-04,
2017-04-18,430.0
2017-04-26,63.0
2017-11-07,241.0
2017-11-14,269.0
2017-11-20,121.0
2017-11-21,121.0
2017-11-28,156.0
2017-12-05,1300.0
2017-12-12,309.0
2017-12-18,691.0
2017-12-19,691.0
2017-12-28,52.0
2018-01-04,1150.0
2018-01-09,420.0
2018-01-16,41.0
2018-01-24,573.0
2018-01-30,455.0
2018-02-07,187.0
2018-02-13,2100.0
2018-02-20,355.0
2018-02-27,213.0
2018-03-06,146.0
2018-03-13,480.0
2018-03-20,121.0
2018-03-27,41.0
2018-04-03,52.0
2018-04-12,3080.0
2018-04-17,3260.0
2018-11-13,4110.0
2018-11-20,173.0
2018-11-27,4880.0
2018-12-04,833.0
2018-12-11,259.0
2018-12-18,1112.0
2018-12-27,1314.0
2019-01-03,189.0
2019-01-08,183.0
2019-01-15,2382.0
2019-01-22,134.0
2019-01-30,120.0
2019-02-05,135.0
2019-02-12,63.0
2019-02-19,121.0
2019-02-26,169.0
2019-03-05,63.0
2019-03-12,95.0
2019-03-19,10.0
2019-03-26,121.0
2019-04-02,1223.0
2019-04-09,86.0
2019-04-17,51.0
2019-04-26,712.0
2019-05-01,269.0
2019-11-12,10500.0
2019-11-19,436.0
2019-11-20,436.0
2019-11-27,156.0
2019-12-03,906.0
2019-12-10,794.0
2019-12-17,9210.0
2019-12-23,259.0
2019-12-30,231.0
2020-01-07,173.0
2020-01-15,355.0
2020-01-21,189.0
2020-01-28,120.0
2020-02-03,121.0
2020-02-11,63.0
2020-02-18,86.0
2020-02-25,63.0
2020-03-04,85.0
2020-03-10,576.0
2020-03-18,20.0
2020-11-03,309.0
2020-11-10,2490.0
2020-11-17,417.0
2020-11-24,10.0
2020-12-01,439.0
2020-12-08,8660.0
2020-12-15,216.0
2020-12-22,226.0
2020-12-29,146.0
2021-01-05,1236.0
2021-01-12,175.0
2021-01-19,62.0
2021-01-26,169.0
2021-02-02,134.0
2021-02-09,41.0
2021-02-16,74.0
2021-02-23,9.0
2021-03-04,211.0
2021-03-09,259.0
2021-03-16,231.0
2021-03-23,134.0
2021-03-30,1334.0
2021-04-06,121.0
2021-04-13,301.0
2021-04-20,132.0
2021-04-27,269.0
2021-11-01,565.0
2021-11-09,355.0
2021-11-15,1911.0
2021-11-22,216.0
2021-11-29,201.0
2021-12-07,
2021-12-14,1722.0
2021-12-21,341.0
2021-12-28,231.0
2022-01-04,158.0
2022-01-11,309.0
2022-01-18,148.0
2022-01-25,187.0
2022-02-01,109.0
2022-02-09,1050.0
2022-02-15,1376.0
2022-02-22,414.0
2022-03-01,299.0
2022-03-08,313.0
2022-03-15,30.0
2022-03-22,6490.0
2022-03-29,373.0
2022-04-05,311.0
2022-04-12,134.0
2022-04-20,132.0
2022-04-27,146.0
2022-11-02,650.0
2022-11-08,75.0
2022-11-15,285.0
2022-11-22,1785.0
2022-11-29,650.0
2022-12-06,282.0
2022-12-13,984.0
2022-12-20,906.0
2022-12-29,228.0
2023-01-05,256.0
2023-01-10,495.0
2023-01-17,189.0
2023-01-25,1723.0
2023-01-31,2282.0
2023-02-08,345.0
2023-02-14,5790.0
2023-02-21,295.0
2023-02-28,1198.0
2023-03-07,134.0
2023-03-14,557.0
2023-03-21,345.0
2023-03-28,218.0
2023-04-04,160.0
2023-04-12,1933.0
2023-04-18,97.0
2023-04-27,52.0
2023-11-07,183.0
2023-11-15,216.0
2023-11-22,2310.0
2023-11-29,1723.0
2023-12-06,384.0
2023-12-13,265.0
2023-12-20,426.0
2023-12-29,1722.0
2024-01-05,691.0
2024-01-10,487.0
2024-01-17,2382.0
2024-01-25,496.0
2024-01-31,3260.0
2024-02-08,30.0
2024-02-14,327.0
2024-02-21,197.0
2024-02-29,96.0
2024-03-06,5480.0
2024-03-13,256.0
2024-03-20,63.0
2024-03-27,63.0
2024-04-04,110.0
2024-04-10,130.0
2024-04-17,213.0
2024-04-24,148.0
2024-11-05,908.0
2024-11-12,3448.0
2024-11-19,345.0
2024-11-26,134.0
2024-12-03,383.0
2024-12-11,345.0
2024-12-17,657.0
2024-12-23,1789.0
2024-12-30,231.0
2025-01-07,161.0
2025-01-14,364.0
2025-01-21,63.0
2025-01-29,175.0
2025-02-04,97.0
2025-02-11,1211.0
2025-02-18,197.0
2025-02-25,52.0
2025-03-03,74.0
2025-03-11,63.0
2025-03-18,41.0
2025-03-25,
2025-04-01,108.0
2025-04-07,230.0
2025-04-14,122.0
2025-04-22,1145.0
2025-04-28,277.0
2025-11-05,201.0
2025-11-11,581.0
2025-11-18,364.0
2025-11-25,272.0
2025-12-02,697.0
2025-12-09,216.0
2025-12-16,231.0
2025-12-23,288.0
2025-12-30,243.0
2026-01-05,292.0
2026-01-13,292.0
2026-01-20,408.0
2026-01-28,379.0
2026-02-03,689.0
2026-02-10,313.0
2026-02-24,211.0
2026-03-03,259.0
2026-03-10,85.0
2026-03-17,145.0
2026-03-24,20.0
2026-03-31,211.0
2026-04-08,98.0
2026-04-14,2610.0
2026-04-21,1086.0
2026-04-29,135.0
