Date,EColi
2016-11-30,120.0
2016-12-05,59.0
2016-12-14,120.0
2016-12-21,64.0
2016-12-28,74.0
2017-01-04,2900.0
2017-01-11,110.0
2017-01-18,64.0
2017-01-25,200.0
2017-01-31,170.0
2017-02-08,990.0
2017-02-14,94.0
2017-02-21,160.0
2017-02-28,190.0
2017-03-07,420.0
2017-03-14,270.0
2017-03-21,330.0
2017-03-28,540.0
2017-04-04,
2017-04-11,120.0
2017-04-19,87.0
2017-04-26,75.0
2017-11-06,62.0
2017-11-12,75.0
2017-11-21,52.0
2017-11-29,187.0
2017-12-03,633.0
2017-12-12,108.0
2017-12-18,41.0
2017-12-27,836.0
2018-01-03,7270.0
2018-01-08,175.0
2018-01-14,331.0
2018-01-24,495.0
2018-01-29,275.0
2018-02-04,73.0
2018-02-13,798.0
2018-02-19,173.0
2018-02-25,10.0
2018-03-06,216.0
2018-03-12,203.0
2018-03-18,97.0
2018-03-27,121.0
2018-04-05,52.0
2018-04-08,836.0
2018-04-17,563.0
2018-04-23,63.0
2018-11-11,85.0
2018-11-20,108.0
2018-11-25,52.0
2018-12-03,75.0
2018-12-09,63.0
2018-12-17,132.0
2018-12-23,122.0
2018-12-31,62.0
2019-01-06,120.0
2019-01-14,171.0
2019-01-20,108.0
2019-01-28,98.0
2019-02-03,75.0
2019-02-11,145.0
2019-02-19,185.0
2019-02-25,384.0
2019-03-03,86.0
2019-03-11,1296.0
2019-03-17,75.0
2019-03-25,203.0
2019-03-31,327.0
2019-04-09,417.0
2019-04-14,132.0
2019-04-23,10.0
2019-04-28,96.0
2019-11-03,86.0
2019-11-11,2500.0
2019-11-17,63.0
2019-11-25,132.0
2019-12-01,120.0
2019-12-09,213.0
2019-12-15,156.0
2019-12-23,97.0
2019-12-29,135.0
2020-01-06,213.0
2020-01-12,109.0
2020-01-20,10.0
2020-01-26,120.0
2020-02-03,132.0
2020-02-09,158.0
2020-02-17,132.0
2020-02-23,776.0
2020-03-02,457.0
2020-03-08,228.0
2020-03-16,323.0
2020-03-22,384.0
2020-11-01,246.0
2020-11-09,399.0
2020-11-15,84.0
2020-11-23,41.0
2020-11-29,243.0
2020-12-07,98.0
2020-12-13,144.0
2020-12-21,97.0
2020-12-27,156.0
2021-01-04,24200.0
2021-01-10,41.0
2021-01-18,374.0
2021-01-24,63.0
2021-02-02,98.0
2021-02-07,9.0
2021-02-15,231.0
2021-02-21,288.0
2021-02-28,161.0
2021-03-07,259.0
2021-03-15,197.0
2021-03-29,414.0
2021-04-06,144.0
2021-04-12,146.0
2021-04-18,602.0
2021-04-27,218.0
2021-11-03,109.0
2021-11-10,10.0
2021-11-17,4880.0
2021-11-24,63.0
2021-12-01,5250.0
2021-12-08,556.0
2021-12-15,3650.0
2021-12-22,313.0
2021-12-29,6490.0
2022-01-05,75.0
2022-01-12,72.0
2022-01-19,109.0
2022-01-26,158.0
2022-02-02,211.0
2022-02-09,399.0
2022-02-16,279.0
2022-02-23,130.0
2022-03-02,187.0
2022-03-09,521.0
2022-03-16,565.0
2022-03-23,480.0
2022-03-30,275.0
2022-04-06,211.0
2022-04-13,86.0
2022-04-20,84.0
2022-04-28,98.0
2022-11-02,134.0
2022-11-08,41.0
2022-11-15,41.0
2022-11-22,213.0
2022-11-29,299.0
2022-12-07,121.0
2022-12-13,288.0
2022-12-20,1935.0
2022-12-27,74.0
2023-01-03,63.0
2023-01-10,1723.0
2023-01-17,181.0
2023-01-25,187.0
2023-01-31,1126.0
2023-02-08,158.0
2023-02-21,134.0
2023-02-28,132.0
2023-03-07,96.0
2023-03-14,1145.0
2023-03-21,1153.0
2023-03-28,189.0
2023-04-04,108.0
2023-04-12,663.0
2023-04-18,135.0
2023-04-26,650.0
2023-11-07,216.0
2023-11-14,85.0
2023-11-21,369.0
2023-11-28,175.0
2023-12-05,295.0
2023-12-12,265.0
2023-12-19,109.0
2023-12-28,318.0
2024-01-04,10.0
2024-01-09,52.0
2024-01-16,1314.0
2024-01-24,247.0
2024-01-30,379.0
2024-02-07,243.0
2024-02-13,20.0
2024-02-20,311.0
2024-02-27,231.0
2024-03-05,3780.0
2024-03-12,109.0
2024-03-19,52.0
2024-03-26,189.0
2024-04-03,75.0
2024-04-09,30.0
2024-04-16,211.0
2024-04-23,134.0
2024-11-05,2603.0
2024-11-12,52.0
2024-11-19,110.0
2024-11-25,86.0
2024-12-03,52.0
2024-12-10,2613.0
2024-12-17,175.0
2024-12-23,197.0
2024-12-30,243.0
2025-01-07,414.0
2025-01-14,20.0
2025-01-22,10.0
2025-01-28,359.0
2025-02-04,41.0
2025-02-11,98.0
2025-02-18,160.0
2025-02-25,73.0
2025-03-05,9804.0
2025-03-11,134.0
2025-03-18,96.0
2025-03-25,98.0
2025-04-01,801.0
2025-04-09,624.0
2025-04-15,20.0
2025-04-23,3255.0
2025-04-29,31.0
2025-11-05,20.0
2025-11-12,108.0
2025-11-19,158.0
2025-11-26,41.0
2025-12-03,355.0
2025-12-10,20.0
2025-12-17,262.0
2025-12-22,187.0
2025-12-29,121.0
2026-01-07,96.0
2026-01-14,63.0
2026-01-22,328.0
2026-01-28,487.0
2026-02-04,1050.0
2026-02-11,63.0
2026-02-18,613.0
2026-02-24,98.0
2026-03-04,146.0
2026-03-12,96.0
2026-03-18,63.0
2026-03-25,98.0
2026-04-01,148.0
2026-04-08,295.0
2026-04-15,160.0
2026-04-22,1539.0
2026-04-30,97.0
