Date,EColi
2016-11-30,98.0
2016-12-05,740.0
2016-12-14,270.0
2016-12-21,75.0
2016-12-28,140.0
2017-01-04,6200.0
2017-01-11,190.0
2017-01-18,80.0
2017-01-25,400.0
2017-01-31,200.0
2017-02-08,460.0
2017-02-14,230.0
2017-02-21,180.0
2017-02-28,110.0
2017-03-07,98.0
2017-03-14,990.0
2017-03-21,84.0
2017-03-28,280.0
2017-04-04,
2017-04-11,150.0
2017-04-19,150.0
2017-04-26,75.0
2017-11-07,41.0
2017-11-13,86.0
2017-11-19,10.0
2017-11-28,480.0
2017-12-04,342.0
2017-12-10,122.0
2017-12-19,364.0
2017-12-28,109.0
2018-01-04,19900.0
2018-01-09,156.0
2018-01-15,3610.0
2018-01-21,131.0
2018-01-30,30.0
2018-02-05,85.0
2018-02-11,860.0
2018-02-20,794.0
2018-02-26,767.0
2018-03-04,122.0
2018-03-13,318.0
2018-03-19,20.0
2018-03-25,602.0
2018-04-03,120.0
2018-04-09,275.0
2018-04-15,218.0
2018-04-24,146.0
2018-11-12,98.0
2018-11-18,146.0
2018-11-26,13000.0
2018-12-02,563.0
2018-12-11,164.0
2018-12-16,331.0
2018-12-24,96.0
2018-12-24,96.0
2018-12-30,62.0
2019-01-07,175.0
2019-01-13,132.0
2019-01-22,75.0
2019-01-27,20.0
2019-02-04,31.0
2019-02-10,41.0
2019-02-18,75.0
2019-02-24,763.0
2019-03-04,94.0
2019-03-10,121.0
2019-03-19,272.0
2019-03-24,295.0
2019-04-02,269.0
2019-04-07,86.0
2019-04-15,408.0
2019-04-21,142.0
2019-04-29,2098.0
2019-11-04,63.0
2019-11-10,19900.0
2019-11-18,379.0
2019-11-24,41.0
2019-12-02,213.0
2019-12-08,1557.0
2019-12-16,262.0
2019-12-22,613.0
2019-12-30,331.0
2020-01-05,197.0
2020-01-13,341.0
2020-01-19,41.0
2020-01-27,85.0
2020-02-02,30.0
2020-02-10,109.0
2020-02-16,183.0
2020-02-24,839.0
2020-03-01,512.0
2020-03-09,383.0
2020-03-15,364.0
2020-03-23,313.0
2020-11-01,2247.0
2020-11-09,420.0
2020-11-15,134.0
2020-11-23,75.0
2020-11-29,602.0
2020-12-07,132.0
2020-12-13,288.0
2020-12-21,62.0
2020-12-27,148.0
2021-01-04,24201.0
2021-01-10,52.0
2021-01-18,102.0
2021-01-24,73.0
2021-02-01,97.0
2021-02-07,68.0
2021-02-15,185.0
2021-02-21,115.0
2021-02-28,122.0
2021-03-07,262.0
2021-03-15,161.0
2021-03-21,187.0
2021-03-29,279.0
2021-04-04,118.0
2021-04-18,909.0
2021-04-26,487.0
2021-11-03,173.0
2021-11-10,135.0
2021-11-17,2224.0
2021-11-24,76.0
2021-12-01,6370.0
2021-12-08,5980.0
2021-12-15,8410.0
2021-12-22,211.0
2021-12-29,3780.0
2022-01-05,85.0
2022-01-12,110.0
2022-01-19,106.0
2022-01-26,3080.0
2022-02-02,173.0
2022-02-07,15500.0
2022-02-16,228.0
2022-02-23,63.0
2022-03-02,41.0
2022-03-09,262.0
2022-03-16,63.0
2022-03-23,663.0
2022-03-30,399.0
2022-04-06,1529.0
2022-04-13,209.0
2022-04-21,10.0
2022-04-28,216.0
2022-11-02,471.0
2022-11-08,63.0
2022-11-15,203.0
2022-11-22,384.0
2022-11-29,620.0
2022-12-06,41.0
2022-12-13,594.0
2022-12-20,10500.0
2022-12-27,183.0
2023-01-03,168.0
2023-01-10,776.0
2023-01-17,171.0
2023-01-25,120.0
2023-01-31,882.0
2023-02-08,197.0
2023-02-28,134.0
2023-03-07,85.0
2023-03-14,173.0
2023-03-21,2310.0
2023-03-28,109.0
2023-04-04,160.0
2023-04-12,624.0
2023-04-18,272.0
2023-04-24,1728.0
2023-11-08,109.0
2023-11-15,75.0
2023-11-22,860.0
2023-11-29,317.0
2023-12-06,266.0
2023-12-13,63.0
2023-12-20,63.0
2023-12-29,565.0
2024-01-05,95.0
2024-01-10,41.0
2024-01-17,530.0
2024-01-25,86.0
2024-01-31,583.0
2024-02-08,146.0
2024-02-14,52.0
2024-02-21,209.0
2024-02-28,150.0
2024-03-06,644.0
2024-03-13,301.0
2024-03-20,148.0
2024-03-27,5170.0
2024-04-04,331.0
2024-04-10,228.0
2024-04-17,323.0
2024-04-23,269.0
2024-11-05,9208.0
2024-11-12,122.0
2024-11-19,201.0
2024-11-27,73.0
2024-12-04,
2024-12-10,285.0
2024-12-17,131.0
2024-12-23,183.0
2024-12-30,402.0
2025-01-07,269.0
2025-01-14,121.0
2025-01-22,86.0
2025-01-28,262.0
2025-02-04,120.0
2025-02-11,98.0
2025-02-18,3873.0
2025-02-25,
2025-02-26,399.0
2025-03-04,749.0
2025-03-12,10.0
2025-03-18,520.0
2025-03-25,228.0
2025-04-01,1989.0
2025-04-09,201.0
2025-04-15,422.0
2025-04-23,7701.0
2025-04-29,209.0
2025-11-05,75.0
2025-11-12,146.0
2025-11-19,481.0
2025-11-26,243.0
2025-12-03,
2025-12-08,203.0
2025-12-17,1553.0
2025-12-22,187.0
2025-12-29,253.0
2026-01-08,75.0
2026-01-14,328.0
2026-01-22,933.0
2026-01-28,960.0
2026-02-04,10500.0
2026-02-11,504.0
2026-02-18,1565.0
2026-02-25,41.0
2026-03-04,556.0
2026-03-13,275.0
2026-03-18,368.0
2026-03-25,359.0
2026-04-01,301.0
2026-04-09,309.0
2026-04-15,2990.0
2026-04-21,17300.0
2026-04-30,305.0
