Date,EColi
2016-11-30,120.0
2016-12-05,350.0
2016-12-14,59.0
2016-12-21,54.0
2016-12-28,59.0
2017-01-04,3100.0
2017-01-11,130.0
2017-01-18,84.0
2017-01-25,290.0
2017-01-31,170.0
2017-02-08,3300.0
2017-02-14,160.0
2017-02-21,150.0
2017-02-28,97.0
2017-03-07,110.0
2017-03-14,530.0
2017-03-21,110.0
2017-03-28,610.0
2017-04-04,
2017-04-11,740.0
2017-04-19,86.0
2017-04-26,740.0
2017-11-06,74.0
2017-11-12,
2017-11-21,231.0
2017-11-29,350.0
2017-12-03,627.0
2017-12-12,52.0
2017-12-18,31.0
2017-12-27,733.0
2018-01-03,11200.0
2018-01-08,218.0
2018-01-14,355.0
2018-01-24,216.0
2018-01-29,74.0
2018-02-04,63.0
2018-02-13,1370.0
2018-02-19,121.0
2018-02-25,110.0
2018-03-06,10.0
2018-03-12,189.0
2018-03-18,146.0
2018-03-27,97.0
2018-04-05,122.0
2018-04-08,120.0
2018-04-17,842.0
2018-04-23,146.0
2018-11-11,313.0
2018-11-20,1112.0
2018-11-25,74.0
2018-12-03,120.0
2018-12-09,63.0
2018-12-17,74.0
2018-12-23,216.0
2018-12-31,199.0
2019-01-06,85.0
2019-01-14,459.0
2019-01-20,98.0
2019-01-28,471.0
2019-02-03,203.0
2019-02-11,146.0
2019-02-19,110.0
2019-02-25,275.0
2019-03-03,75.0
2019-03-11,1112.0
2019-03-17,131.0
2019-03-25,110.0
2019-03-31,134.0
2019-04-09,548.0
2019-04-14,269.0
2019-04-23,41.0
2019-04-28,122.0
2019-11-03,1670.0
2019-11-11,1607.0
2019-11-17,1043.0
2019-11-25,1043.0
2019-12-01,108.0
2019-12-09,886.0
2019-12-15,52.0
2019-12-23,573.0
2019-12-29,303.0
2020-01-06,166.0
2020-01-12,74.0
2020-01-20,119.0
2020-01-26,189.0
2020-02-03,134.0
2020-02-09,109.0
2020-02-17,146.0
2020-02-23,305.0
2020-03-02,109.0
2020-03-08,173.0
2020-03-16,323.0
2020-03-22,1223.0
2020-11-01,727.0
2020-11-09,576.0
2020-11-15,63.0
2020-11-22,20.0
2020-11-29,98.0
2020-12-07,275.0
2020-12-13,84.0
2020-12-21,246.0
2020-12-27,132.0
2021-01-04,24201.0
2021-01-10,30.0
2021-01-18,331.0
2021-01-24,52.0
2021-02-02,86.0
2021-02-07,30.0
2021-02-15,75.0
2021-02-21,211.0
2021-02-28,74.0
2021-03-07,218.0
2021-03-15,158.0
2021-03-29,246.0
2021-04-06,98.0
2021-04-12,211.0
2021-04-18,683.0
2021-04-27,145.0
2021-11-03,455.0
2021-11-10,109.0
2021-11-17,4110.0
2021-11-24,259.0
2021-12-01,7270.0
2021-12-08,880.0
2021-12-15,3080.0
2021-12-22,256.0
2021-12-29,7700.0
2022-01-05,158.0
2022-01-12,52.0
2022-01-19,132.0
2022-01-26,197.0
2022-02-02,448.0
2022-02-09,350.0
2022-02-16,309.0
2022-02-23,20.0
2022-03-02,75.0
2022-03-09,175.0
2022-03-16,185.0
2022-03-23,733.0
2022-03-30,213.0
2022-04-06,201.0
2022-04-13,160.0
2022-04-20,74.0
2022-04-28,75.0
2022-11-02,259.0
2022-11-08,175.0
2022-11-15,565.0
2022-11-22,402.0
2022-11-29,85.0
2022-12-07,110.0
2022-12-13,464.0
2022-12-20,1616.0
2022-12-27,161.0
2023-01-03,85.0
2023-01-10,1935.0
2023-01-17,156.0
2023-01-25,146.0
2023-01-31,1483.0
2023-02-08,171.0
2023-02-21,173.0
2023-02-28,185.0
2023-03-07,109.0
2023-03-14,670.0
2023-03-21,86.0
2023-03-28,158.0
2023-04-04,119.0
2023-04-12,134.0
2023-04-18,211.0
2023-04-26,233.0
2023-11-14,148.0
2023-11-21,512.0
2023-11-28,146.0
2023-12-05,504.0
2023-12-12,161.0
2023-12-19,146.0
2024-01-04,216.0
2024-01-05,327.0
2024-01-09,86.0
2024-01-16,1565.0
2024-01-24,199.0
2024-01-30,201.0
2024-02-07,256.0
2024-02-13,110.0
2024-02-20,110.0
2024-02-27,175.0
2024-03-05,8660.0
2024-03-12,171.0
2024-03-19,110.0
2024-03-26,243.0
2024-04-03,131.0
2024-04-09,75.0
2024-04-16,309.0
2024-04-23,203.0
2024-11-05,2613.0
2024-11-12,86.0
2024-11-19,169.0
2024-11-25,41.0
2024-12-03,63.0
2024-12-10,134.0
2024-12-17,1236.0
2024-12-23,161.0
2024-12-30,364.0
2025-01-07,437.0
2025-01-14,41.0
2025-01-22,52.0
2025-01-28,465.0
2025-02-04,121.0
2025-02-11,169.0
2025-02-18,288.0
2025-02-25,161.0
2025-03-05,10462.0
2025-03-11,173.0
2025-03-18,241.0
2025-03-25,146.0
2025-04-01,836.0
2025-04-09,1137.0
2025-04-15,52.0
2025-04-23,3654.0
2025-04-29,85.0
2025-11-05,41.0
2025-11-12,97.0
2025-11-19,384.0
2025-11-26,336.0
2025-12-03,1679.0
2025-12-10,183.0
2025-12-17,624.0
2025-12-22,496.0
2025-12-29,185.0
2026-01-07,122.0
2026-01-14,231.0
2026-01-22,487.0
2026-01-28,717.0
2026-02-04,3450.0
2026-02-11,216.0
2026-02-18,794.0
2026-02-24,146.0
2026-03-04,134.0
2026-03-12,84.0
2026-03-18,148.0
2026-03-25,160.0
2026-04-01,98.0
2026-04-08,602.0
2026-04-15,275.0
2026-04-22,2247.0
2026-04-30,84.0
