Date,EColi
2016-11-30,120.0
2016-12-05,150.0
2016-12-14,150.0
2016-12-21,34.0
2016-12-28,34.0
2017-01-04,1200.0
2017-01-11,89.0
2017-01-18,64.0
2017-01-25,130.0
2017-01-31,49.0
2017-02-08,380.0
2017-02-14,70.0
2017-02-21,21.0
2017-02-28,52.0
2017-03-07,44.0
2017-03-14,260.0
2017-03-21,68.0
2017-03-28,130.0
2017-04-04,
2017-04-11,69.0
2017-04-19,54.0
2017-04-26,34.0
2017-11-06,520.0
2017-11-12,161.0
2017-11-21,31.0
2017-11-29,345.0
2017-12-03,156.0
2017-12-12,41.0
2017-12-18,63.0
2017-12-27,
2018-01-03,833.0
2018-01-08,122.0
2018-01-14,213.0
2018-01-24,122.0
2018-01-29,30.0
2018-02-04,41.0
2018-02-13,213.0
2018-02-19,84.0
2018-02-25,10.0
2018-03-06,85.0
2018-03-12,189.0
2018-03-18,63.0
2018-03-27,20.0
2018-04-05,41.0
2018-04-08,20.0
2018-04-17,134.0
2018-04-23,10.0
2018-11-11,98.0
2018-11-20,63.0
2018-11-25,31.0
2018-12-03,122.0
2018-12-09,31.0
2018-12-17,96.0
2018-12-23,109.0
2018-12-31,120.0
2019-01-06,85.0
2019-01-14,201.0
2019-01-20,131.0
2019-01-28,30.0
2019-02-03,52.0
2019-02-11,10.0
2019-02-19,31.0
2019-02-25,1616.0
2019-03-03,97.0
2019-03-11,160.0
2019-03-17,86.0
2019-03-25,52.0
2019-03-31,10.0
2019-04-09,85.0
2019-04-14,41.0
2019-04-23,20.0
2019-04-28,75.0
2019-11-03,20.0
2019-11-11,2610.0
2019-11-17,187.0
2019-11-25,10.0
2019-12-01,86.0
2019-12-09,528.0
2019-12-15,63.0
2019-12-23,98.0
2019-12-29,98.0
2020-01-06,97.0
2020-01-12,10.0
2020-01-20,75.0
2020-01-26,74.0
2020-02-03,63.0
2020-02-09,30.0
2020-02-17,
2020-02-23,959.0
2020-03-02,109.0
2020-03-08,52.0
2020-03-16,41.0
2020-03-22,75.0
2020-11-01,201.0
2020-11-09,301.0
2020-11-15,41.0
2020-11-23,20.0
2020-11-29,121.0
2020-12-07,74.0
2020-12-13,131.0
2020-12-21,122.0
2020-12-27,238.0
2021-01-04,4880.0
2021-01-10,75.0
2021-01-18,644.0
2021-01-24,86.0
2021-02-02,135.0
2021-02-07,52.0
2021-02-15,189.0
2021-02-21,9.0
2021-02-28,63.0
2021-03-07,1376.0
2021-03-15,109.0
2021-03-29,189.0
2021-04-06,86.0
2021-04-12,98.0
2021-04-18,189.0
2021-04-27,97.0
2021-11-03,160.0
2021-11-10,148.0
2021-11-17,11200.0
2021-11-24,107.0
2021-12-01,1291.0
2021-12-08,399.0
2021-12-15,1223.0
2021-12-22,231.0
2021-12-29,2014.0
2022-01-05,97.0
2022-01-12,110.0
2022-01-19,145.0
2022-01-26,75.0
2022-02-02,31.0
2022-02-09,160.0
2022-02-16,160.0
2022-02-23,73.0
2022-03-02,52.0
2022-03-09,85.0
2022-03-16,160.0
2022-03-23,213.0
2022-03-30,85.0
2022-04-06,262.0
2022-04-13,63.0
2022-04-20,75.0
2022-04-28,52.0
2022-11-02,74.0
2022-11-08,85.0
2022-11-15,75.0
2022-11-22,98.0
2022-11-29,158.0
2022-12-07,31.0
2022-12-13,216.0
2022-12-20,624.0
2022-12-27,86.0
2023-01-03,84.0
2023-01-10,576.0
2023-01-17,121.0
2023-01-25,
2023-01-31,379.0
2023-02-08,120.0
2023-02-21,187.0
2023-02-28,546.0
2023-03-07,145.0
2023-03-14,565.0
2023-03-21,328.0
2023-03-28,86.0
2023-04-04,86.0
2023-04-12,738.0
2023-04-17,74.0
2023-04-26,279.0
2023-11-07,96.0
2023-11-14,121.0
2023-11-21,241.0
2023-11-28,52.0
2023-12-05,122.0
2023-12-12,85.0
2023-12-19,52.0
2023-12-28,226.0
2024-01-04,145.0
2024-01-09,41.0
2024-01-16,144.0
2024-01-24,52.0
2024-01-30,148.0
2024-02-07,108.0
2024-02-13,63.0
2024-02-20,63.0
2024-02-27,86.0
2024-03-05,1281.0
2024-03-12,161.0
2024-03-19,122.0
2024-03-26,98.0
2024-04-03,158.0
2024-04-09,41.0
2024-04-16,109.0
2024-04-23,72.0
2024-11-05,733.0
2024-11-12,63.0
2024-11-19,98.0
2024-11-25,41.0
2024-12-03,75.0
2024-12-10,495.0
2024-12-17,443.0
2024-12-23,110.0
2024-12-30,95.0
2025-01-07,279.0
2025-01-14,20.0
2025-01-22,75.0
2025-01-28,213.0
2025-02-04,75.0
2025-02-11,41.0
2025-02-18,441.0
2025-02-25,31.0
2025-03-05,1725.0
2025-03-11,98.0
2025-03-18,63.0
2025-03-25,74.0
2025-04-01,839.0
2025-04-09,269.0
2025-04-15,31.0
2025-04-23,1250.0
2025-04-29,74.0
2025-11-05,41.0
2025-11-12,85.0
2025-11-19,52.0
2025-11-26,110.0
2025-12-03,6130.0
2025-12-10,52.0
2025-12-17,420.0
2025-12-22,86.0
2025-12-29,122.0
2026-01-07,30.0
2026-01-14,52.0
2026-01-22,3450.0
2026-01-28,364.0
2026-02-04,369.0
2026-02-11,63.0
2026-02-18,481.0
2026-02-24,98.0
2026-03-04,108.0
2026-03-12,30.0
2026-03-18,109.0
2026-03-25,31.0
2026-04-01,63.0
2026-04-08,52.0
2026-04-15,269.0
2026-04-22,1145.0
2026-04-30,10.0
