Date,EColi
2016-11-30,130.0
2016-12-05,500.0
2016-12-14,110.0
2016-12-21,44.0
2016-12-28,53.0
2017-01-04,6900.0
2017-01-11,150.0
2017-01-18,74.0
2017-01-25,250.0
2017-01-31,160.0
2017-02-08,940.0
2017-02-14,120.0
2017-02-21,360.0
2017-02-28,240.0
2017-03-07,92.0
2017-03-14,530.0
2017-03-21,110.0
2017-03-28,340.0
2017-04-04,
2017-04-11,1200.0
2017-04-19,91.0
2017-04-26,250.0
2017-11-06,75.0
2017-11-12,41.0
2017-11-21,906.0
2017-11-29,8160.0
2017-12-03,733.0
2017-12-12,146.0
2017-12-18,10.0
2017-12-27,609.0
2018-01-03,
2018-01-08,373.0
2018-01-14,2610.0
2018-01-24,496.0
2018-01-29,226.0
2018-02-04,63.0
2018-02-13,1110.0
2018-02-19,160.0
2018-02-25,52.0
2018-03-06,30.0
2018-03-12,243.0
2018-03-18,109.0
2018-03-27,41.0
2018-04-05,30.0
2018-04-08,122.0
2018-04-17,3870.0
2018-04-23,158.0
2018-11-11,63.0
2018-11-20,313.0
2018-11-25,134.0
2018-12-03,122.0
2018-12-09,86.0
2018-12-17,228.0
2018-12-23,201.0
2018-12-31,355.0
2019-01-06,185.0
2019-01-14,226.0
2019-01-20,109.0
2019-01-28,173.0
2019-02-03,75.0
2019-02-11,98.0
2019-02-19,52.0
2019-02-25,512.0
2019-03-03,41.0
2019-03-11,193.0
2019-03-17,84.0
2019-03-25,62.0
2019-03-31,97.0
2019-04-09,530.0
2019-04-14,160.0
2019-04-23,110.0
2019-04-28,74.0
2019-11-03,275.0
2019-11-11,14100.0
2019-11-17,158.0
2019-11-25,85.0
2019-12-01,75.0
2019-12-09,5170.0
2019-12-15,63.0
2019-12-23,158.0
2019-12-29,148.0
2020-01-06,364.0
2020-01-12,158.0
2020-01-20,110.0
2020-01-26,98.0
2020-02-03,97.0
2020-02-09,130.0
2020-02-17,256.0
2020-02-23,650.0
2020-03-02,228.0
2020-03-08,108.0
2020-03-16,75.0
2020-03-22,1860.0
2020-11-01,613.0
2020-11-09,677.0
2020-11-15,132.0
2020-11-23,110.0
2020-11-29,295.0
2020-12-07,399.0
2020-12-13,313.0
2020-12-21,14100.0
2020-12-27,235.0
2021-01-04,24200.0
2021-01-10,119.0
2021-01-18,231.0
2021-01-24,75.0
2021-02-02,86.0
2021-02-07,63.0
2021-02-15,86.0
2021-02-21,146.0
2021-02-28,388.0
2021-03-07,354.0
2021-03-15,218.0
2021-03-29,197.0
2021-04-06,175.0
2021-04-12,145.0
2021-04-18,576.0
2021-04-27,213.0
2021-11-03,275.0
2021-11-10,109.0
2021-11-17,5480.0
2021-11-24,183.0
2021-12-01,6870.0
2021-12-08,1112.0
2021-12-15,7270.0
2021-12-22,158.0
2021-12-29,6490.0
2022-01-05,389.0
2022-01-12,74.0
2022-01-19,121.0
2022-01-26,1223.0
2022-02-02,85.0
2022-02-09,450.0
2022-02-16,173.0
2022-02-23,145.0
2022-03-02,62.0
2022-03-09,108.0
2022-03-16,132.0
2022-03-23,565.0
2022-03-30,269.0
2022-04-06,265.0
2022-04-13,110.0
2022-04-20,86.0
2022-04-28,134.0
2022-11-02,299.0
2022-11-08,63.0
2022-11-15,341.0
2022-11-22,426.0
2022-11-29,663.0
2022-12-07,31.0
2022-12-13,187.0
2022-12-20,8160.0
2022-12-27,134.0
2023-01-03,145.0
2023-01-10,1658.0
2023-01-17,187.0
2023-01-25,148.0
2023-01-31,1421.0
2023-02-08,107.0
2023-02-21,383.0
2023-02-28,233.0
2023-03-07,
2023-03-14,780.0
2023-03-21,393.0
2023-03-28,74.0
2023-04-04,121.0
2023-04-12,292.0
2023-04-18,209.0
2023-04-26,292.0
2023-11-07,364.0
2023-11-14,63.0
2023-11-21,528.0
2023-11-28,187.0
2023-12-05,576.0
2023-12-12,256.0
2023-12-19,120.0
2024-01-04,414.0
2024-01-09,350.0
2024-01-16,3450.0
2024-01-24,733.0
2024-01-30,331.0
2024-02-07,231.0
2024-02-13,173.0
2024-02-20,148.0
2024-02-27,199.0
2024-03-05,11200.0
2024-03-12,169.0
2024-03-19,199.0
2024-03-26,379.0
2024-04-03,166.0
2024-04-09,794.0
2024-04-16,315.0
2024-04-23,364.0
2024-11-05,19863.0
2024-11-12,134.0
2024-11-19,520.0
2024-11-25,504.0
2024-12-03,657.0
2024-12-10,146.0
2024-12-17,2247.0
2024-12-23,292.0
2024-12-30,784.0
2025-01-07,441.0
2025-01-14,20.0
2025-01-22,73.0
2025-01-28,520.0
2025-02-04,110.0
2025-02-11,272.0
2025-02-18,2014.0
2025-02-25,187.0
2025-03-05,4352.0
2025-03-11,171.0
2025-03-18,241.0
2025-03-25,121.0
2025-04-01,1012.0
2025-04-09,749.0
2025-04-15,75.0
2025-04-23,11199.0
2025-04-29,74.0
2025-11-05,98.0
2025-11-12,121.0
2025-11-19,156.0
2025-11-26,201.0
2025-12-03,1616.0
2025-12-10,52.0
2025-12-17,521.0
2025-12-22,691.0
2025-12-29,187.0
2026-01-07,110.0
2026-01-14,171.0
2026-01-22,428.0
2026-01-28,1354.0
2026-02-04,2910.0
2026-02-11,84.0
2026-02-18,908.0
2026-02-24,173.0
2026-03-04,120.0
2026-03-12,85.0
2026-03-18,148.0
2026-03-25,63.0
2026-04-01,95.0
2026-04-08,556.0
2026-04-15,364.0
2026-04-22,6130.0
2026-04-30,108.0
