Date,EColi
2017-11-07,594.0
2017-11-13,538.0
2017-11-19,52.0
2017-11-28,2480.0
2017-12-04,869.0
2017-12-10,1460.0
2017-12-19,1350.0
2017-12-28,1010.0
2018-01-04,2490.0
2018-01-09,733.0
2018-01-15,616.0
2018-01-21,663.0
2018-01-30,1310.0
2018-02-05,657.0
2018-02-11,794.0
2018-02-20,13000.0
2018-02-26,8160.0
2018-03-04,1620.0
2018-03-13,1020.0
2018-03-19,546.0
2018-03-25,695.0
2018-04-03,689.0
2018-04-09,1040.0
2018-04-17,1250.0
2018-04-24,2610.0
2018-11-12,6130.0
2018-11-18,2760.0
2018-11-26,4350.0
2018-12-03,2610.0
2018-12-11,464.0
2018-12-16,295.0
2018-12-24,1291.0
2018-12-30,226.0
2019-01-07,397.0
2019-01-13,31.0
2019-01-22,246.0
2019-01-27,1291.0
2019-02-04,2209.0
2019-02-10,450.0
2019-02-18,884.0
2019-02-24,2910.0
2019-03-04,146.0
2019-03-10,820.0
2019-03-19,168.0
2019-03-24,529.0
2019-04-01,1162.0
2019-04-07,2359.0
2019-04-15,399.0
2019-04-21,238.0
2019-04-30,1720.0
2019-11-04,279.0
2019-11-10,6490.0
2019-11-18,6130.0
2019-11-24,253.0
2019-12-02,2359.0
2019-12-08,6130.0
2019-12-16,546.0
2019-12-22,613.0
2019-12-30,2187.0
2020-01-05,246.0
2020-01-13,1616.0
2020-01-19,798.0
2020-01-27,882.0
2020-02-02,327.0
2020-02-10,317.0
2020-02-16,605.0
2020-02-24,1022.0
2020-03-09,345.0
2020-03-15,228.0
2020-03-23,305.0
2020-11-02,2359.0
2020-11-08,820.0
2020-11-16,697.0
2020-11-22,1396.0
2020-11-30,2014.0
2020-12-06,1850.0
2020-12-14,657.0
2020-12-20,2990.0
2020-12-28,1012.0
2021-01-03,1153.0
2021-01-11,645.0
2021-01-17,798.0
2021-01-26,706.0
2021-01-31,448.0
2021-02-09,2247.0
2021-02-14,455.0
2021-02-22,816.0
2021-03-01,441.0
2021-03-08,820.0
2021-03-14,130.0
2021-03-28,432.0
2021-04-05,801.0
2021-04-11,441.0
2021-04-19,908.0
2021-04-26,420.0
2021-11-01,545.0
2021-11-08,455.0
2021-11-15,3260.0
2021-11-22,568.0
2021-11-29,441.0
2021-12-06,884.0
2021-12-13,2760.0
2021-12-20,880.0
2021-12-27,480.0
2022-01-03,465.0
2022-01-10,288.0
2022-01-17,317.0
2022-01-24,3040.0
2022-01-31,282.0
2022-02-07,4350.0
2022-02-14,1616.0
2022-02-21,565.0
2022-02-28,545.0
2022-03-07,331.0
2022-03-14,1483.0
2022-03-21,563.0
2022-03-28,637.0
2022-04-04,563.0
2022-04-11,435.0
2022-04-19,426.0
2022-04-27,199.0
2022-11-01,683.0
2022-11-07,462.0
2022-11-14,435.0
2022-11-21,697.0
2022-11-28,14100.0
2022-12-05,364.0
2022-12-12,1187.0
2022-12-19,3870.0
2022-12-26,789.0
2023-01-02,583.0
2023-01-09,1515.0
2023-01-16,1178.0
2023-01-24,355.0
2023-01-30,1317.0
2023-02-07,644.0
2023-02-13,1850.0
2023-02-20,246.0
2023-02-27,74.0
2023-03-06,369.0
2023-03-13,573.0
2023-03-20,785.0
2023-03-27,481.0
2023-04-03,336.0
2023-04-11,573.0
2023-04-17,323.0
2023-04-24,591.0
2023-11-06,203.0
2023-11-13,414.0
2023-11-20,1616.0
2023-11-27,350.0
2023-12-04,1334.0
2023-12-13,908.0
2023-12-18,657.0
2023-12-27,1236.0
2024-01-03,1017.0
2024-01-08,450.0
2024-01-15,620.0
2024-01-23,327.0
2024-01-29,1789.0
2024-02-05,1109.0
2024-02-12,410.0
2024-02-19,364.0
2024-02-26,336.0
2024-03-04,565.0
2024-03-11,323.0
2024-03-18,292.0
2024-03-25,884.0
2024-04-02,1274.0
2024-04-08,
2024-04-15,712.0
2024-04-22,292.0
2024-11-04,4352.0
2024-11-11,1299.7
2024-11-18,985.0
2024-11-25,4352.0
2024-12-02,
2024-12-09,759.0
2024-12-16,355.0
2024-12-23,1017.0
2024-12-30,266.0
2025-01-06,379.0
2025-01-13,275.0
2025-01-21,388.0
2025-01-27,199.0
2025-02-03,259.0
2025-02-10,63.0
2025-02-17,122.0
2025-02-24,185.0
2025-03-03,228.0
2025-03-10,228.0
2025-03-17,108.0
2025-03-24,1658.0
2025-04-01,1723.0
2025-04-07,487.0
2025-04-14,121.0
2025-04-22,231.0
2025-04-28,221.0
2025-11-03,1785.0
2025-11-10,373.0
2025-11-17,738.0
2025-11-24,733.0
2025-12-01,717.0
2025-12-08,332.0
2025-12-15,683.0
2025-12-22,189.0
2025-12-29,399.0
2026-01-07,218.0
2026-01-12,495.0
2026-01-20,676.0
2026-01-26,364.0
2026-02-02,187.0
2026-02-09,216.0
2026-02-17,1850.0
2026-02-23,243.0
2026-03-02,448.0
2026-03-10,173.0
2026-03-16,241.0
2026-03-23,20.0
2026-03-30,189.0
2026-04-07,683.0
2026-04-13,6130.0
2026-04-20,839.0
2026-04-28,262.0
