Date,EColi
2016-11-30,16.0
2016-12-05,64.0
2016-12-14,48.0
2016-12-21,30.0
2016-12-28,12.0
2017-01-04,140.0
2017-01-11,39.0
2017-01-18,12.0
2017-01-25,64.0
2017-01-31,54.0
2017-02-08,150.0
2017-02-14,39.0
2017-02-21,25.0
2017-02-28,34.0
2017-03-07,8.0
2017-03-14,300.0
2017-03-21,30.0
2017-03-28,69.0
2017-04-04,1000.0
2017-04-11,48.0
2017-04-19,21.0
2017-04-26,25.0
2017-11-06,10.0
2017-11-12,10.0
2017-11-21,20.0
2017-11-29,41.0
2017-12-03,41.0
2017-12-12,41.0
2017-12-18,110.0
2017-12-27,246.0
2018-01-03,121.0
2018-01-08,30.0
2018-01-14,52.0
2018-01-24,10.0
2018-01-29,52.0
2018-02-04,10.0
2018-02-13,134.0
2018-02-19,156.0
2018-02-25,20.0
2018-03-06,20.0
2018-03-12,31.0
2018-03-18,52.0
2018-03-27,30.0
2018-04-05,10.0
2018-04-08,
2018-04-17,98.0
2018-04-23,10.0
2018-11-11,
2018-11-20,10.0
2018-11-25,
2018-12-03,
2018-12-09,
2018-12-17,10.0
2018-12-23,20.0
2018-12-31,41.0
2019-01-06,10.0
2019-01-14,355.0
2019-01-20,262.0
2019-01-28,10.0
2019-02-03,
2019-02-11,
2019-02-19,10.0
2019-02-25,537.0
2019-03-03,41.0
2019-03-11,30.0
2019-03-17,52.0
2019-03-25,63.0
2019-03-31,41.0
2019-04-09,10.0
2019-04-14,31.0
2019-04-23,20.0
2019-04-28,364.0
2019-11-03,20.0
2019-11-11,253.0
2019-11-17,41.0
2019-11-25,
2019-12-01,20.0
2019-12-09,84.0
2019-12-15,20.0
2019-12-23,10.0
2019-12-29,10.0
2020-01-06,52.0
2020-01-12,52.0
2020-01-20,
2020-01-26,10.0
2020-02-03,31.0
2020-02-09,10.0
2020-02-17,20.0
2020-02-23,218.0
2020-03-02,20.0
2020-03-08,10.0
2020-03-16,41.0
2020-03-22,20.0
2020-11-01,41.0
2020-11-09,109.0
2020-11-15,31.0
2020-11-22,9.0
2020-11-29,30.0
2020-12-07,9.0
2020-12-13,10.0
2020-12-21,31.0
2020-12-27,10.0
2021-01-04,882.0
2021-01-10,10.0
2021-01-18,122.0
2021-01-24,31.0
2021-02-02,10.0
2021-02-07,10.0
2021-02-15,10.0
2021-02-21,9.0
2021-02-28,10.0
2021-03-07,74.0
2021-03-15,41.0
2021-03-29,20.0
2021-04-06,31.0
2021-04-12,30.0
2021-04-18,63.0
2021-04-27,20.0
2021-11-03,122.0
2021-11-10,30.0
2021-11-17,496.0
2021-11-24,30.0
2021-12-01,318.0
2021-12-08,97.0
2021-12-15,256.0
2021-12-22,86.0
2021-12-29,285.0
2022-01-05,20.0
2022-01-12,134.0
2022-01-19,41.0
2022-01-26,
2022-02-02,20.0
2022-02-09,173.0
2022-02-16,63.0
2022-02-23,20.0
2022-03-02,10.0
2022-03-09,20.0
2022-03-16,84.0
2022-03-23,110.0
2022-03-30,63.0
2022-04-06,52.0
2022-04-13,20.0
2022-04-20,41.0
2022-04-28,41.0
2022-11-02,20.0
2022-11-08,
2022-11-15,
2022-11-22,41.0
2022-11-29,86.0
2022-12-07,10.0
2022-12-13,62.0
2022-12-20,52.0
2022-12-27,20.0
2023-01-03,20.0
2023-01-10,148.0
2023-01-17,109.0
2023-01-25,31.0
2023-01-31,109.0
2023-02-08,63.0
2023-03-21,
2023-04-18,20.0
2023-04-24,51.0
2023-11-07,10.0
2023-11-14,41.0
2023-11-21,20.0
2023-11-28,10.0
2023-12-05,30.0
2023-12-12,
2023-12-19,20.0
2023-12-28,10.0
2024-01-04,
2024-01-09,20.0
2024-01-16,10.0
2024-01-24,20.0
2024-01-30,876.0
2024-02-07,31.0
2024-02-13,
2024-02-20,
2024-02-27,10.0
2024-03-06,448.0
2024-03-12,10.0
2024-03-19,31.0
2024-03-26,10.0
2024-04-03,52.0
2024-04-09,10.0
2024-04-16,10.0
2024-04-23,
2024-11-05,52.0
2024-11-12,31.0
2024-11-19,
2024-11-25,
2024-12-03,
2024-12-10,41.0
2024-12-17,134.0
2024-12-23,10.0
2024-12-30,41.0
2025-01-07,73.0
2025-01-14,10.0
2025-01-22,10.0
2025-01-28,
2025-02-04,
2025-02-11,10.0
2025-02-18,63.0
2025-02-25,41.0
2025-03-05,272.0
2025-03-11,31.0
2025-03-18,20.0
2025-03-25,41.0
2025-04-01,226.0
2025-04-09,110.0
2025-04-15,
2025-04-23,332.0
2025-04-29,10.0
2025-11-05,20.0
2025-11-12,
2025-11-19,
2025-11-26,10.0
2025-12-03,134.0
2025-12-10,
2025-12-17,121.0
2025-12-22,
2025-12-29,10.0
2026-01-07,20.0
2026-01-14,31.0
2026-01-22,259.0
2026-01-28,62.0
2026-02-04,135.0
2026-02-11,20.0
2026-02-18,218.0
2026-02-24,74.0
2026-03-04,10.0
2026-03-12,10.0
2026-03-18,31.0
2026-03-25,20.0
2026-04-01,52.0
2026-04-08,20.0
2026-04-15,41.0
2026-04-22,160.0
2026-04-30,135.0
