Date,EColi
2016-11-30,160.0
2016-12-05,92.0
2016-12-14,160.0
2016-12-21,75.0
2016-12-28,64.0
2017-01-04,2300.0
2017-01-11,140.0
2017-01-18,44.0
2017-01-25,160.0
2017-01-31,100.0
2017-02-08,1200.0
2017-02-14,140.0
2017-02-21,86.0
2017-02-28,180.0
2017-03-07,68.0
2017-03-14,2300.0
2017-03-21,76.0
2017-03-28,270.0
2017-04-04,2600.0
2017-04-11,140.0
2017-04-19,110.0
2017-04-26,92.0
2017-11-06,135.0
2017-11-12,75.0
2017-11-21,85.0
2017-11-29,613.0
2017-12-03,689.0
2017-12-12,404.0
2017-12-18,448.0
2017-12-27,722.0
2018-01-03,14100.0
2018-01-08,262.0
2018-01-14,450.0
2018-01-24,605.0
2018-01-29,121.0
2018-02-04,63.0
2018-02-13,512.0
2018-02-19,197.0
2018-02-25,85.0
2018-03-06,121.0
2018-03-12,160.0
2018-03-18,31.0
2018-03-27,107.0
2018-04-05,20.0
2018-04-08,75.0
2018-04-17,1200.0
2018-04-23,97.0
2018-11-11,295.0
2018-11-20,97.0
2018-11-25,121.0
2018-12-03,85.0
2018-12-09,52.0
2018-12-17,189.0
2018-12-23,20.0
2018-12-31,171.0
2019-01-06,63.0
2019-01-14,399.0
2019-01-20,63.0
2019-01-28,134.0
2019-02-03,31.0
2019-02-11,75.0
2019-02-19,41.0
2019-02-25,1872.0
2019-03-03,63.0
2019-03-11,691.0
2019-03-17,63.0
2019-03-25,98.0
2019-03-31,121.0
2019-04-09,158.0
2019-04-14,301.0
2019-04-23,97.0
2019-04-28,86.0
2019-11-03,146.0
2019-11-11,4350.0
2019-11-17,199.0
2019-11-25,109.0
2019-12-01,216.0
2019-12-09,1723.0
2019-12-15,146.0
2019-12-23,243.0
2019-12-29,132.0
2020-01-06,20.0
2020-01-12,41.0
2020-01-20,120.0
2020-01-26,74.0
2020-02-03,121.0
2020-02-09,41.0
2020-02-17,63.0
2020-02-23,20.0
2020-03-02,213.0
2020-03-08,246.0
2020-03-16,20.0
2020-03-22,383.0
2020-11-01,1722.0
2020-11-09,355.0
2020-11-15,203.0
2020-11-23,109.0
2020-11-29,62.0
2020-12-07,122.0
2020-12-13,169.0
2020-12-21,168.0
2020-12-27,110.0
2021-01-04,17300.0
2021-01-10,145.0
2021-01-18,109.0
2021-01-24,98.0
2021-02-02,134.0
2021-02-07,10.0
2021-02-15,110.0
2021-02-21,84.0
2021-02-28,216.0
2021-03-07,882.0
2021-03-15,86.0
2021-03-29,233.0
2021-04-06,185.0
2021-04-12,63.0
2021-04-18,345.0
2021-04-27,331.0
2021-11-03,185.0
2021-11-10,62.0
2021-11-17,14100.0
2021-11-24,350.0
2021-12-01,1989.0
2021-12-08,315.0
2021-12-15,2610.0
2021-12-22,262.0
2021-12-29,11200.0
2022-01-05,144.0
2022-01-12,74.0
2022-01-19,135.0
2022-01-26,97.0
2022-02-02,122.0
2022-02-09,439.0
2022-02-16,197.0
2022-02-23,74.0
2022-03-02,69.0
2022-03-09,97.0
2022-03-16,990.0
2022-03-23,121.0
2022-03-30,246.0
2022-04-06,134.0
2022-04-13,107.0
2022-04-20,63.0
2022-04-28,63.0
2022-11-02,327.0
2022-11-08,97.0
2022-11-15,272.0
2022-11-22,345.0
2022-11-29,262.0
2022-12-07,52.0
2022-12-13,288.0
2022-12-20,2187.0
2022-12-27,110.0
2023-01-03,97.0
2023-01-10,959.0
2023-01-17,173.0
2023-01-25,63.0
2023-01-31,345.0
2023-02-08,121.0
2023-02-21,197.0
2023-02-28,206.0
2023-03-07,85.0
2023-03-14,708.0
2023-03-21,175.0
2023-03-28,158.0
2023-04-04,309.0
2023-04-12,364.0
2023-04-18,10.0
2023-04-26,262.0
2023-11-07,216.0
2023-11-14,185.0
2023-11-21,218.0
2023-11-28,256.0
2023-12-05,345.0
2023-12-12,97.0
2023-12-19,97.0
2023-12-28,160.0
2024-01-04,74.0
2024-01-09,10.0
2024-01-16,508.0
2024-01-24,432.0
2024-01-30,384.0
2024-02-07,41.0
2024-02-13,85.0
2024-02-20,135.0
2024-02-27,145.0
2024-03-05,4110.0
2024-03-12,146.0
2024-03-19,131.0
2024-03-26,84.0
2024-04-03,75.0
2024-04-09,85.0
2024-04-16,121.0
2024-04-23,216.0
2024-11-05,1607.0
2024-11-12,231.0
2024-11-19,84.0
2024-11-25,132.0
2024-12-03,85.0
2024-12-10,573.0
2024-12-17,3076.0
2024-12-23,565.0
2024-12-30,495.0
2025-01-07,420.0
2025-01-14,144.0
2025-01-22,86.0
2025-01-28,441.0
2025-02-04,213.0
2025-02-11,259.0
2025-02-18,959.0
2025-02-25,683.0
2025-03-05,3873.0
2025-03-11,256.0
2025-03-18,189.0
2025-03-25,1607.0
2025-04-01,1017.0
2025-04-09,341.0
2025-04-15,74.0
2025-04-23,3448.0
2025-04-29,75.0
2025-11-05,73.0
2025-11-12,145.0
2025-11-19,74.0
2025-11-26,120.0
2025-12-03,677.0
2025-12-10,86.0
2025-12-17,426.0
2025-12-22,86.0
2025-12-29,98.0
2026-01-07,52.0
2026-01-14,98.0
2026-01-22,464.0
2026-01-28,171.0
2026-02-04,933.0
2026-02-11,269.0
2026-02-18,987.0
2026-02-24,122.0
2026-03-04,108.0
2026-03-12,121.0
2026-03-18,98.0
2026-03-25,41.0
2026-04-01,52.0
2026-04-08,288.0
2026-04-15,457.0
2026-04-22,4110.0
2026-04-30,160.0
