Date,EColi
2016-11-30,86.0
2016-12-05,150.0
2016-12-14,54.0
2016-12-21,64.0
2016-12-28,49.0
2017-01-04,530.0
2017-01-11,44.0
2017-01-18,50.0
2017-01-25,44.0
2017-01-31,54.0
2017-02-08,340.0
2017-02-14,48.0
2017-02-21,68.0
2017-02-28,21.0
2017-03-07,39.0
2017-03-14,1800.0
2017-03-21,160.0
2017-03-28,64.0
2017-04-04,3300.0
2017-04-11,73.0
2017-04-19,34.0
2017-04-26,34.0
2017-11-06,259.0
2017-11-12,135.0
2017-11-21,10.0
2017-11-29,275.0
2017-12-03,504.0
2017-12-12,129.0
2017-12-18,228.0
2017-12-27,374.0
2018-01-03,8660.0
2018-01-08,256.0
2018-01-14,479.0
2018-01-24,435.0
2018-01-29,135.0
2018-02-04,31.0
2018-02-13,432.0
2018-02-19,197.0
2018-02-25,85.0
2018-03-06,52.0
2018-03-12,171.0
2018-03-18,75.0
2018-03-27,131.0
2018-04-05,41.0
2018-04-08,31.0
2018-04-17,241.0
2018-04-23,132.0
2018-11-11,75.0
2018-11-20,52.0
2018-11-25,31.0
2018-12-03,75.0
2018-12-09,41.0
2018-12-17,185.0
2018-12-23,243.0
2018-12-31,173.0
2019-01-06,146.0
2019-01-14,183.0
2019-01-20,175.0
2019-01-28,109.0
2019-02-03,51.0
2019-02-11,52.0
2019-02-19,74.0
2019-02-25,1391.0
2019-03-03,
2019-03-11,313.0
2019-03-17,41.0
2019-03-25,41.0
2019-03-31,86.0
2019-04-09,63.0
2019-04-14,203.0
2019-04-23,63.0
2019-04-28,31.0
2019-11-03,63.0
2019-11-11,6130.0
2019-11-17,52.0
2019-11-25,31.0
2019-12-01,118.0
2019-12-09,776.0
2019-12-15,96.0
2019-12-23,132.0
2019-12-29,132.0
2020-01-06,63.0
2020-01-12,75.0
2020-01-20,52.0
2020-01-26,63.0
2020-02-03,97.0
2020-02-09,30.0
2020-02-17,10.0
2020-02-23,820.0
2020-03-02,98.0
2020-03-08,72.0
2020-03-16,20.0
2020-11-01,546.0
2020-12-21,63.0
2020-12-27,120.0
2021-01-04,12000.0
2021-01-10,246.0
2021-01-18,399.0
2021-01-24,183.0
2021-02-02,131.0
2021-02-07,9.0
2021-02-15,145.0
2021-02-21,109.0
2021-02-28,74.0
2021-03-07,355.0
2021-03-15,98.0
2021-03-29,63.0
2021-11-03,288.0
2021-11-10,175.0
2021-11-17,
2021-11-24,98.0
2021-12-01,1658.0
2021-12-08,292.0
2021-12-15,882.0
2021-12-22,161.0
2021-12-29,
2022-01-05,185.0
2022-01-12,134.0
2022-01-19,160.0
2022-01-26,146.0
2022-02-02,131.0
2022-02-09,85.0
2022-02-16,272.0
2022-02-23,10.0
2022-03-02,63.0
2022-03-09,20.0
2022-03-16,169.0
2022-03-23,121.0
2022-03-30,161.0
2022-04-06,98.0
2022-04-13,31.0
2022-04-20,52.0
2022-04-28,20.0
2022-11-02,121.0
2022-11-08,109.0
2022-11-15,109.0
2022-11-22,160.0
2022-11-29,201.0
2022-12-07,41.0
2022-12-13,109.0
2022-12-20,789.0
2022-12-27,144.0
2023-01-03,97.0
2023-01-10,576.0
2023-01-17,288.0
2023-01-25,86.0
2023-01-31,98.0
2023-02-08,134.0
2023-03-21,
2023-11-07,63.0
2023-11-14,131.0
2023-11-21,63.0
2023-11-28,187.0
2023-12-05,120.0
2023-12-12,75.0
2023-12-19,97.0
2023-12-28,41.0
2024-01-04,98.0
2024-01-09,323.0
2024-01-16,20.0
2024-01-24,121.0
2024-01-30,836.0
2024-02-07,109.0
2024-02-13,41.0
2024-02-20,63.0
2024-02-27,10.0
2024-03-05,933.0
2024-03-12,86.0
2024-03-19,52.0
2024-03-26,31.0
2024-04-03,52.0
2024-04-09,41.0
2024-04-16,30.0
2024-04-23,31.0
2024-11-05,457.0
2024-11-12,51.0
2024-11-19,75.0
2024-11-25,10.0
2024-12-03,10.0
2024-12-10,63.0
2024-12-17,408.0
2024-12-23,135.0
2024-12-30,20.0
2025-01-07,327.0
2025-01-14,75.0
2025-01-22,30.0
2025-01-28,160.0
2025-02-04,108.0
2025-02-11,20.0
2025-02-18,118.0
2025-02-25,20.0
2025-03-05,1529.0
2025-03-11,96.0
2025-03-18,31.0
2025-03-25,30.0
2025-04-01,521.0
2025-04-09,161.0
2025-04-15,41.0
2025-04-23,1050.0
2025-04-29,41.0
2025-11-05,98.0
2025-11-12,75.0
2025-11-19,120.0
2025-11-26,175.0
2025-12-03,2720.0
2025-12-10,41.0
2025-12-17,323.0
2025-12-22,110.0
2025-12-29,135.0
2026-01-07,121.0
2026-01-14,41.0
2026-01-22,717.0
2026-01-28,97.0
2026-02-04,272.0
2026-02-11,135.0
2026-02-18,776.0
2026-02-24,75.0
2026-03-04,63.0
2026-03-12,10.0
2026-03-18,231.0
2026-03-25,41.0
2026-04-01,132.0
2026-04-08,120.0
2026-04-15,228.0
2026-04-22,1076.0
2026-04-30,84.0
