Date,EColi
2016-12-01,21.0
2016-12-07,30.0
2016-12-13,75.0
2016-12-20,12.0
2016-12-29,80.0
2017-01-05,530.0
2017-01-10,
2017-01-17,29.0
2017-01-26,140.0
2017-02-01,120.0
2017-02-09,12.0
2017-02-15,60.0
2017-02-22,8.0
2017-03-01,34.0
2017-03-08,25.0
2017-03-15,280.0
2017-03-22,44.0
2017-03-29,240.0
2017-04-05,
2017-04-20,150.0
2017-04-26,74.0
2017-11-06,118.0
2017-11-12,20.0
2017-11-21,85.0
2017-11-29,75.0
2017-12-03,7490.0
2017-12-12,63.0
2017-12-18,96.0
2017-12-27,85.0
2018-01-03,155.0
2018-01-08,839.0
2018-01-14,1220.0
2018-01-24,109.0
2018-01-29,73.0
2018-02-04,544.0
2018-02-13,2140.0
2018-02-19,275.0
2018-02-25,63.0
2018-03-06,134.0
2018-03-12,529.0
2018-03-18,10.0
2018-03-27,31.0
2018-04-05,75.0
2018-04-08,10.0
2018-04-17,3450.0
2018-04-23,228.0
2018-11-11,
2018-11-20,171.0
2018-11-25,161.0
2018-12-03,153.0
2018-12-09,41.0
2018-12-17,228.0
2018-12-23,73.0
2018-12-31,122.0
2019-01-06,259.0
2019-01-14,368.0
2019-01-20,591.0
2019-01-28,10.0
2019-02-03,
2019-02-11,10.0
2019-02-19,213.0
2019-02-25,10.0
2019-03-03,63.0
2019-03-11,74.0
2019-03-17,20.0
2019-03-25,41.0
2019-03-31,
2019-04-09,41.0
2019-04-14,439.0
2019-04-23,107.0
2019-04-28,160.0
2019-11-03,20.0
2019-11-11,228.0
2019-11-17,41.0
2019-11-25,52.0
2019-12-01,109.0
2019-12-09,598.0
2019-12-15,31.0
2019-12-23,161.0
2019-12-29,327.0
2020-01-06,160.0
2020-01-12,74.0
2020-01-20,84.0
2020-01-26,173.0
2020-02-03,
2020-02-09,109.0
2020-02-17,63.0
2020-02-23,231.0
2020-03-02,74.0
2020-03-08,1162.0
2020-03-16,331.0
2020-03-22,1450.0
2020-11-01,1935.0
2020-11-09,146.0
2020-11-15,199.0
2020-11-23,20.0
2020-11-29,327.0
2020-12-07,256.0
2020-12-13,217.0
2020-12-21,63.0
2020-12-27,52.0
2021-01-04,12000.0
2021-01-10,74.0
2021-01-18,1034.0
2021-01-24,41.0
2021-02-02,20.0
2021-02-07,10.0
2021-02-15,2480.0
2021-02-21,40.0
2021-02-28,743.0
2021-03-07,483.0
2021-03-15,318.0
2021-03-29,332.0
2021-04-06,109.0
2021-04-12,156.0
2021-04-18,30.0
2021-04-27,317.0
2021-11-03,160.0
2021-11-10,10.0
2021-11-17,596.0
2021-11-24,15.0
2021-12-01,20.0
2021-12-08,1236.0
2021-12-15,8160.0
2021-12-22,389.0
2021-12-29,2760.0
2022-01-05,6020.0
2022-01-12,86.0
2022-01-19,12000.0
2022-01-26,318.0
2022-02-02,2610.0
2022-02-09,1039.0
2022-02-16,18600.0
2022-02-23,199.0
2022-03-02,473.0
2022-03-09,41.0
2022-03-16,134.0
2022-03-23,1414.0
2022-03-30,373.0
2022-04-06,86.0
2022-04-13,169.0
2022-04-20,495.0
2022-04-28,109.0
2022-11-02,480.0
2022-11-08,20.0
2022-11-15,10.0
2022-11-22,703.0
2022-11-29,749.0
2022-12-07,52.0
2022-12-13,1081.0
2022-12-20,15500.0
2022-12-27,259.0
2023-01-03,62.0
2023-01-10,1722.0
2023-01-17,733.0
2023-01-25,20.0
2023-01-31,529.0
2023-02-08,345.0
2023-02-21,512.0
2023-02-28,121.0
2023-03-07,96.0
2023-03-14,109.0
2023-03-21,744.0
2023-03-28,161.0
2023-04-04,171.0
2023-04-12,213.0
2023-04-18,457.0
2023-04-26,591.0
2023-11-07,20.0
2023-11-14,10.0
2023-11-21,399.0
2023-11-28,233.0
2023-12-05,41.0
2023-12-12,1095.0
2023-12-19,10.0
2023-12-28,132.0
2024-01-04,241.0
2024-01-09,72.0
2024-01-16,145.0
2024-01-24,110.0
2024-01-30,2143.0
2024-02-07,201.0
2024-02-13,13000.0
2024-02-20,480.0
2024-02-27,1095.0
2024-03-05,1153.0
2024-03-12,315.0
2024-03-19,20.0
2024-03-26,1515.0
2024-04-03,31.0
2024-04-09,187.0
2024-04-16,309.0
2024-04-23,393.0
2024-11-05,4611.0
2024-11-12,31.0
2024-11-19,98.0
2024-11-25,75.0
2024-12-03,20.0
2024-12-10,31.0
2024-12-17,3873.0
2024-12-23,10.0
2024-12-30,197.0
2025-01-07,862.0
2025-01-14,116.0
2025-01-22,488.0
2025-01-28,
2025-02-04,10.0
2025-02-11,85.0
2025-02-18,20.0
2025-02-25,30.0
2025-03-05,350.0
2025-03-11,75.0
2025-03-18,98.0
2025-03-25,31.0
2025-04-01,287.0
2025-04-09,122.0
2025-04-15,
2025-04-23,15531.0
2025-04-29,223.0
2025-11-05,63.0
2025-11-12,10.0
2025-11-19,171.0
2025-11-26,30.0
2025-12-03,199.0
2025-12-10,209.0
2025-12-17,85.0
2025-12-22,20.0
2025-12-29,20.0
2026-01-07,20.0
2026-01-14,
2026-01-22,301.0
2026-01-28,259.0
2026-02-04,256.0
2026-02-11,10.0
2026-02-18,5170.0
2026-02-24,110.0
2026-03-04,
2026-03-12,75.0
2026-03-18,399.0
2026-03-25,51.0
2026-04-01,52.0
2026-04-08,98.0
2026-04-15,1236.0
2026-04-22,4110.0
2026-04-30,148.0
