Date,EColi
2016-12-01,360.0
2016-12-07,34.0
2016-12-13,54.0
2016-12-20,16.0
2016-12-29,86.0
2017-01-05,950.0
2017-01-10,240.0
2017-01-17,110.0
2017-01-26,56.0
2017-02-01,150.0
2017-02-09,260.0
2017-02-15,84.0
2017-02-22,170.0
2017-03-01,92.0
2017-03-08,860.0
2017-03-15,290.0
2017-03-22,100.0
2017-03-29,120.0
2017-04-05,7900.0
2017-04-20,120.0
2017-04-26,100.0
2017-11-07,20.0
2017-11-13,146.0
2017-11-19,520.0
2017-11-28,2480.0
2017-12-04,813.0
2017-12-10,243.0
2017-12-19,148.0
2017-12-28,384.0
2018-01-04,6870.0
2018-01-09,573.0
2018-01-15,10500.0
2018-01-21,288.0
2018-01-30,292.0
2018-02-05,218.0
2018-02-11,243.0
2018-02-20,41.0
2018-02-26,41.0
2018-03-04,75.0
2018-03-13,218.0
2018-03-19,20.0
2018-03-25,96.0
2018-04-03,41.0
2018-04-09,41.0
2018-04-15,733.0
2018-04-24,86.0
2018-11-11,122.0
2018-11-20,52.0
2018-11-25,97.0
2018-12-03,132.0
2018-12-09,73.0
2018-12-17,122.0
2018-12-23,1246.0
2018-12-31,187.0
2019-01-06,144.0
2019-01-14,30.0
2019-01-20,135.0
2019-01-28,41.0
2019-02-03,10.0
2019-02-11,41.0
2019-02-19,41.0
2019-02-25,586.0
2019-03-03,31.0
2019-03-11,84.0
2019-03-17,121.0
2019-03-25,84.0
2019-03-31,86.0
2019-04-09,109.0
2019-04-14,504.0
2019-04-23,75.0
2019-04-28,108.0
2019-11-03,31.0
2019-11-11,211.0
2019-11-17,41.0
2019-11-25,10.0
2019-12-01,41.0
2019-12-09,121.0
2019-12-15,10.0
2019-12-23,160.0
2019-12-29,63.0
2020-01-06,30.0
2020-01-12,41.0
2020-01-20,52.0
2020-01-26,10.0
2020-02-03,62.0
2020-02-09,31.0
2020-02-17,109.0
2020-02-23,75.0
2020-03-02,256.0
2020-03-08,41.0
2020-03-16,72.0
2020-03-22,203.0
2020-11-01,399.0
2020-11-09,1178.0
2020-11-15,132.0
2020-11-23,20.0
2020-11-29,309.0
2020-12-07,134.0
2020-12-13,109.0
2020-12-21,52.0
2020-12-27,110.0
2021-01-04,24201.0
2021-01-10,20.0
2021-01-18,20.0
2021-01-24,63.0
2021-02-02,63.0
2021-02-07,230.0
2021-02-21,75.0
2021-02-28,20.0
2021-03-07,20.0
2021-03-15,9.0
2021-03-29,85.0
2021-04-06,30.0
2021-04-12,1860.0
2021-04-18,86.0
2021-04-27,31.0
2021-11-03,74.0
2021-11-10,10.0
2021-11-17,275.0
2021-11-24,20.0
2021-12-01,5790.0
2021-12-08,1500.0
2021-12-15,7700.0
2021-12-22,450.0
2021-12-29,749.0
2022-01-05,63.0
2022-01-12,256.0
2022-01-19,96.0
2022-01-26,146.0
2022-02-02,75.0
2022-02-09,1050.0
2022-02-16,209.0
2022-02-23,96.0
2022-03-02,31.0
2022-03-09,63.0
2022-03-16,41.0
2022-03-23,650.0
2022-03-30,520.0
2022-04-06,132.0
2022-04-13,31.0
2022-04-20,41.0
2022-04-28,41.0
2022-11-02,281.0
2022-11-08,31.0
2022-11-15,31.0
2022-11-22,209.0
2022-11-29,613.0
2022-12-07,41.0
2022-12-13,697.0
2022-12-20,8660.0
2022-12-27,135.0
2023-01-03,20.0
2023-01-10,794.0
2023-01-17,355.0
2023-01-25,134.0
2023-01-31,24200.0
2023-02-08,175.0
2023-02-21,269.0
2023-02-28,301.0
2023-03-07,120.0
2023-03-14,211.0
2023-03-21,265.0
2023-03-28,121.0
2023-04-04,350.0
2023-04-12,75.0
2023-04-18,231.0
2023-04-26,408.0
2023-11-07,31.0
2023-11-14,41.0
2023-11-21,341.0
2023-11-28,97.0
2023-12-05,169.0
2023-12-12,75.0
2023-12-19,10.0
2023-12-28,417.0
2024-01-04,121.0
2024-01-09,31.0
2024-01-16,6490.0
2024-01-24,145.0
2024-01-30,2610.0
2024-02-07,85.0
2024-02-13,41.0
2024-02-20,98.0
2024-02-27,158.0
2024-03-05,4150.0
2024-03-12,97.0
2024-03-19,31.0
2024-03-26,98.0
2024-04-03,41.0
2024-04-09,20.0
2024-04-23,495.0
2024-11-05,2014.0
2024-11-12,259.0
2024-11-19,110.0
2024-11-25,20.0
2024-12-03,52.0
2024-12-10,
2024-12-17,63.0
2024-12-23,905.0
2024-12-30,146.0
2025-01-07,2187.0
2025-01-14,63.0
2025-01-22,75.0
2025-01-28,833.0
2025-02-04,75.0
2025-02-11,74.0
2025-02-18,110.0
2025-02-25,121.0
2025-03-05,12033.0
2025-03-11,86.0
2025-03-18,52.0
2025-03-25,52.0
2025-04-01,135.0
2025-04-09,63.0
2025-04-15,31.0
2025-04-23,15531.0
2025-04-29,52.0
2025-11-05,98.0
2025-11-12,20.0
2025-11-19,52.0
2025-11-26,41.0
2025-12-03,805.0
2025-12-10,
2025-12-17,122.0
2026-01-07,41.0
2026-01-22,1017.0
2026-01-28,663.0
2026-02-04,855.0
2026-02-11,31.0
2026-02-18,2760.0
2026-02-24,97.0
2026-03-04,75.0
2026-03-12,41.0
2026-03-18,31.0
2026-03-25,63.0
2026-04-01,52.0
2026-04-08,379.0
2026-04-15,504.0
2026-04-22,9800.0
2026-04-30,63.0
