Date,EColi
2016-12-01,740.0
2016-12-07,350.0
2016-12-13,160.0
2016-12-20,190.0
2016-12-29,280.0
2017-01-05,300.0
2017-01-10,44.0
2017-01-17,12.0
2017-01-26,72.0
2017-02-01,76.0
2017-02-09,570.0
2017-02-15,64.0
2017-02-22,290.0
2017-03-01,110.0
2017-03-08,2500.0
2017-03-15,250.0
2017-03-22,990.0
2017-03-29,170.0
2017-04-05,
2017-04-20,110.0
2017-04-26,64.0
2017-11-07,20.0
2017-11-13,84.0
2017-11-19,148.0
2017-11-28,5790.0
2017-12-04,1310.0
2017-12-10,52.0
2017-12-19,218.0
2017-12-28,52.0
2018-01-04,6870.0
2018-01-09,624.0
2018-01-15,
2018-01-21,173.0
2018-01-30,41.0
2018-02-05,
2018-02-11,30.0
2018-02-20,41.0
2018-02-26,31.0
2018-03-04,41.0
2018-03-13,122.0
2018-03-19,
2018-03-25,20.0
2018-04-03,
2018-04-09,31.0
2018-04-15,602.0
2018-04-24,86.0
2018-11-12,30.0
2018-11-18,20.0
2018-11-26,906.0
2018-12-02,249.0
2018-12-11,41.0
2018-12-16,886.0
2018-12-24,10.0
2018-12-30,109.0
2019-01-07,41.0
2019-01-13,31.0
2019-01-22,199.0
2019-01-27,
2019-02-04,10.0
2019-02-10,399.0
2019-02-18,20.0
2019-02-24,161.0
2019-03-04,10.0
2019-03-10,185.0
2019-03-19,985.0
2019-03-24,345.0
2019-04-02,10.0
2019-04-07,20.0
2019-04-15,73.0
2019-04-21,31.0
2019-04-29,616.0
2019-11-04,10.0
2019-11-10,546.0
2019-11-18,201.0
2019-11-24,10.0
2019-12-02,119.0
2019-12-08,241.0
2019-12-16,20.0
2019-12-22,285.0
2019-12-30,
2020-01-05,20.0
2020-01-13,199.0
2020-01-19,41.0
2020-01-27,20.0
2020-02-02,52.0
2020-02-10,63.0
2020-02-16,383.0
2020-02-24,759.0
2020-03-01,110.0
2020-03-09,109.0
2020-03-15,30.0
2020-03-23,31.0
2020-11-01,135.0
2020-11-09,420.0
2020-11-15,110.0
2020-11-23,
2020-11-29,309.0
2020-12-07,96.0
2020-12-13,108.0
2020-12-21,10.0
2020-12-27,41.0
2021-01-04,12000.0
2021-01-10,31.0
2021-01-18,41.0
2021-01-24,30.0
2021-02-01,30.0
2021-02-07,9.0
2021-02-15,96.0
2021-02-21,20.0
2021-02-28,52.0
2021-03-07,30.0
2021-03-15,31.0
2021-03-21,9.0
2021-03-29,52.0
2021-04-04,134.0
2021-04-12,1191.0
2021-04-18,86.0
2021-04-26,10.0
2021-11-03,52.0
2021-11-10,52.0
2021-11-17,211.0
2021-11-24,10.0
2021-12-01,14100.0
2021-12-08,1576.0
2021-12-15,6490.0
2021-12-22,228.0
2021-12-29,11200.0
2022-01-05,31.0
2022-01-12,41.0
2022-01-19,41.0
2022-01-26,64.0
2022-02-02,31.0
2022-02-07,17300.0
2022-02-16,369.0
2022-02-23,31.0
2022-03-02,20.0
2022-03-09,20.0
2022-03-16,10.0
2022-03-23,520.0
2022-03-30,213.0
2022-04-06,84.0
2022-04-13,10.0
2022-04-21,
2022-04-28,
2022-11-02,173.0
2022-11-08,
2022-11-15,30.0
2022-11-22,238.0
2022-11-29,637.0
2022-12-06,20.0
2022-12-13,697.0
2022-12-20,7700.0
2022-12-27,63.0
2023-01-03,41.0
2023-01-10,1017.0
2023-01-17,121.0
2023-01-25,52.0
2023-01-31,24200.0
2023-02-08,20.0
2023-02-21,262.0
2023-02-28,422.0
2023-03-07,52.0
2023-03-14,63.0
2023-03-21,175.0
2023-03-28,341.0
2023-04-04,121.0
2023-04-12,189.0
2023-04-18,41.0
2023-04-24,1153.0
2023-11-08,158.0
2023-11-15,10.0
2023-11-22,1137.0
2023-11-29,132.0
2023-12-06,75.0
2023-12-13,20.0
2023-12-20,41.0
2023-12-29,86.0
2024-01-05,96.0
2024-01-10,20.0
2024-01-17,345.0
2024-01-25,158.0
2024-01-31,364.0
2024-02-08,97.0
2024-02-14,10.0
2024-02-21,63.0
2024-02-28,41.0
2024-03-06,504.0
2024-03-13,110.0
2024-03-20,85.0
2024-03-27,717.0
2024-04-04,52.0
2024-04-10,
2024-04-17,
2024-04-23,496.0
2024-11-05,1565.0
2024-11-12,216.0
2024-11-19,52.0
2024-11-27,
2024-12-04,
2024-12-10,20.0
2024-12-17,31.0
2024-12-23,341.0
2024-12-30,98.0
2025-01-07,1785.0
2025-01-14,10.0
2025-01-22,120.0
2025-01-28,432.0
2025-02-04,41.0
2025-02-11,30.0
2025-02-18,189.0
2025-02-25,10.0
2025-03-04,110.0
2025-03-12,41.0
2025-03-18,63.0
2025-03-25,
2025-04-01,221.0
2025-04-09,265.0
2025-04-15,10.0
2025-04-23,12033.0
2025-04-29,10.0
2025-11-05,30.0
2025-11-12,20.0
2025-11-19,20.0
2025-11-26,10.0
2025-12-03,4350.0
2025-12-08,31.0
2025-12-17,20.0
2025-12-22,
2025-12-29,10.0
2026-01-08,20.0
2026-01-14,110.0
2026-01-22,1296.0
2026-01-28,327.0
2026-02-04,8660.0
2026-02-11,110.0
2026-02-18,3450.0
2026-02-25,86.0
2026-03-04,73.0
2026-03-13,20.0
2026-03-18,41.0
2026-03-25,146.0
2026-04-01,31.0
2026-04-09,85.0
2026-04-15,617.0
2026-04-21,3080.0
