Date,EColi
2016-12-01,16.0
2016-12-07,460.0
2016-12-13,30.0
2016-12-20,12.0
2016-12-29,21.0
2017-01-05,130.0
2017-01-10,59.0
2017-01-17,16.0
2017-01-26,12.0
2017-02-01,12.0
2017-02-09,34.0
2017-02-15,25.0
2017-02-22,38.0
2017-03-01,12.0
2017-03-08,68.0
2017-03-15,76.0
2017-03-22,34.0
2017-03-29,43.0
2017-04-05,2900.0
2017-04-20,39.0
2017-04-26,21.0
2017-11-07,42.0
2017-11-13,
2017-11-19,201.0
2017-11-28,19900.0
2017-12-04,404.0
2017-12-10,41.0
2017-12-19,226.0
2017-12-28,253.0
2018-01-04,24200.0
2018-01-09,288.0
2018-01-15,14100.0
2018-01-21,31.0
2018-01-30,30.0
2018-02-05,
2018-02-11,10.0
2018-02-20,75.0
2018-02-26,30.0
2018-03-04,10.0
2018-03-13,85.0
2018-03-19,30.0
2018-03-25,
2018-04-03,
2018-04-09,20.0
2018-04-15,275.0
2018-04-24,31.0
2018-11-12,10.0
2018-11-18,10.0
2018-11-26,7700.0
2018-12-02,63.0
2018-12-11,10.0
2018-12-16,733.0
2018-12-24,173.0
2018-12-30,63.0
2019-01-07,
2019-01-13,31.0
2019-01-22,20.0
2019-01-27,52.0
2019-02-04,
2019-02-10,10.0
2019-02-18,10.0
2019-02-24,292.0
2019-03-04,20.0
2019-03-10,10.0
2019-03-19,10.0
2019-03-24,41.0
2019-04-02,1785.0
2019-04-07,10.0
2019-04-15,41.0
2019-04-21,20.0
2019-04-29,148.0
2019-11-04,31.0
2019-11-10,
2019-11-18,161.0
2019-11-24,
2019-12-02,42.0
2019-12-08,10.0
2019-12-16,
2019-12-22,62.0
2019-12-30,30.0
2020-01-05,20.0
2020-01-13,10.0
2020-01-19,85.0
2020-01-27,10.0
2020-02-02,10.0
2020-02-10,10.0
2020-02-16,10.0
2020-02-24,
2020-03-01,
2020-03-09,62.0
2020-03-15,
2020-03-23,175.0
2020-11-01,52.0
2020-11-09,86.0
2020-11-15,30.0
2020-11-23,10.0
2020-11-29,86.0
2020-12-07,110.0
2020-12-13,9.0
2020-12-21,9.0
2020-12-27,10.0
2021-01-04,2490.0
2021-01-10,315.0
2021-01-18,41.0
2021-01-24,20.0
2021-02-01,9.0
2021-02-07,9.0
2021-02-15,20.0
2021-02-21,30.0
2021-02-28,9.0
2021-03-07,187.0
2021-03-15,31.0
2021-03-21,20.0
2021-03-29,9.0
2021-04-04,52.0
2021-04-12,63.0
2021-04-18,52.0
2021-04-26,20.0
2021-11-03,
2021-11-10,30.0
2021-11-17,2430.0
2021-11-24,
2021-12-01,8160.0
2021-12-08,241.0
2021-12-15,2064.0
2021-12-22,52.0
2021-12-29,8160.0
2022-01-05,10.0
2022-01-12,
2022-01-19,20.0
2022-01-26,20.0
2022-02-02,10.0
2022-02-07,1314.0
2022-02-16,169.0
2022-02-23,10.0
2022-03-02,52.0
2022-03-09,20.0
2022-03-16,20.0
2022-03-23,331.0
2022-03-30,135.0
2022-04-06,41.0
2022-04-13,20.0
2022-04-21,
2022-04-28,
2022-11-02,63.0
2022-11-08,86.0
2022-11-15,
2022-11-22,10.0
2022-11-29,221.0
2022-12-06,10.0
2022-12-13,328.0
2022-12-20,4880.0
2022-12-27,31.0
2023-01-03,
2023-01-10,512.0
2023-01-17,86.0
2023-01-25,158.0
2023-01-31,4790.0
2023-02-08,75.0
2023-02-21,275.0
2023-02-28,24200.0
2023-03-07,97.0
2023-03-14,359.0
2023-03-21,85.0
2023-03-28,120.0
2023-04-04,908.0
2023-04-12,776.0
2023-04-18,52.0
2023-04-24,571.0
2023-11-08,331.0
2023-11-15,31.0
2023-11-22,110.0
2023-11-29,20.0
2023-12-06,30.0
2023-12-13,203.0
2023-12-20,52.0
2023-12-29,109.0
2024-01-05,10.0
2024-01-10,
2024-01-17,327.0
2024-01-25,31.0
2024-01-31,144.0
2024-02-08,
2024-02-14,161.0
2024-02-21,63.0
2024-02-28,52.0
2024-03-06,457.0
2024-03-13,146.0
2024-03-20,
2024-03-27,41.0
2024-04-04,41.0
2024-04-10,
2024-04-17,185.0
2024-04-23,218.0
2024-11-05,279.0
2024-11-12,30.0
2024-11-19,30.0
2024-11-27,
2024-12-04,
2024-12-10,63.0
2024-12-17,52.0
2024-12-23,86.0
2024-12-30,52.0
2025-01-07,988.0
2025-01-14,20.0
2025-01-22,216.0
2025-01-28,52.0
2025-02-04,41.0
2025-02-11,20.0
2025-02-18,63.0
2025-02-25,10.0
2025-03-04,20.0
2025-03-12,10.0
2025-03-18,41.0
2025-03-25,51.0
2025-04-01,155.0
2025-04-09,63.0
2025-04-15,
2025-04-23,1201.0
2025-04-29,10.0
2025-11-05,20.0
2025-11-12,63.0
2025-11-19,31.0
2025-11-26,
2025-12-03,41.0
2025-12-08,73.0
2025-12-17,52.0
2025-12-22,41.0
2025-12-29,63.0
2026-01-08,10.0
2026-01-14,
2026-01-22,697.0
2026-01-28,41.0
2026-02-04,52.0
2026-02-11,
2026-02-18,1130.0
2026-02-25,31.0
2026-03-04,74.0
2026-03-13,30.0
2026-03-18,10.0
2026-03-25,31.0
2026-04-01,75.0
2026-04-09,379.0
2026-04-15,175.0
2026-04-21,7270.0
2026-04-30,52.0
