Date,EColi
2016-12-01,100.0
2016-12-07,44.0
2016-12-13,48.0
2016-12-20,8.0
2016-12-29,25.0
2017-01-05,690.0
2017-01-10,25.0
2017-01-17,39.0
2017-01-26,80.0
2017-02-01,54.0
2017-02-09,64.0
2017-02-15,12.0
2017-02-22,130.0
2017-03-01,12.0
2017-03-08,150.0
2017-03-15,300.0
2017-03-22,92.0
2017-03-29,39.0
2017-04-05,
2017-04-20,92.0
2017-04-26,34.0
2017-11-06,120.0
2017-11-12,
2017-11-21,52.0
2017-11-29,7700.0
2017-12-03,4350.0
2017-12-12,73.0
2017-12-18,109.0
2017-12-27,62.0
2018-01-03,
2018-01-08,1200.0
2018-01-14,12000.0
2018-01-24,173.0
2018-01-29,41.0
2018-02-04,228.0
2018-02-13,3450.0
2018-02-19,74.0
2018-02-25,52.0
2018-03-06,31.0
2018-03-12,275.0
2018-03-18,31.0
2018-03-27,31.0
2018-04-05,63.0
2018-04-08,20.0
2018-04-17,6870.0
2018-04-23,364.0
2018-11-11,
2018-11-20,52.0
2018-11-25,30.0
2018-12-03,473.0
2018-12-09,20.0
2018-12-17,120.0
2018-12-23,2035.0
2018-12-31,201.0
2019-01-06,41.0
2019-01-14,10.0
2019-01-20,213.0
2019-01-28,30.0
2019-02-03,10.0
2019-02-11,20.0
2019-02-19,10.0
2019-02-25,305.0
2019-03-03,
2019-03-11,97.0
2019-03-17,30.0
2019-03-25,52.0
2019-03-31,30.0
2019-04-09,31.0
2019-04-14,583.0
2019-04-23,31.0
2019-04-28,41.0
2019-11-03,
2019-11-11,292.0
2019-11-17,
2019-11-25,
2019-12-01,41.0
2019-12-09,41.0
2019-12-15,
2019-12-23,189.0
2019-12-29,10.0
2020-01-06,
2020-01-12,
2020-01-20,10.0
2020-01-26,10.0
2020-02-03,31.0
2020-02-09,10.0
2020-02-17,
2020-02-23,31.0
2020-03-02,30.0
2020-03-08,30.0
2020-03-16,41.0
2020-03-22,131.0
2020-11-01,738.0
2020-11-09,249.0
2020-11-15,158.0
2020-11-23,10.0
2020-11-29,272.0
2020-12-07,199.0
2020-12-13,109.0
2020-12-21,10.0
2020-12-27,96.0
2021-01-04,24201.0
2021-01-10,30.0
2021-11-03,41.0
2021-11-10,10.0
2021-11-17,146.0
2021-11-24,
2021-12-01,1561.0
2021-12-08,1553.0
2021-12-15,9800.0
2021-12-22,583.0
2021-12-29,1515.0
2022-01-05,10.0
2022-01-12,121.0
2022-01-19,41.0
2022-01-26,52.0
2022-02-02,51.0
2022-02-09,1201.0
2022-02-16,776.0
2022-02-23,63.0
2022-03-02,52.0
2022-03-09,97.0
2022-03-16,41.0
2022-03-23,1160.0
2022-03-30,292.0
2022-04-06,122.0
2022-04-13,20.0
2022-04-20,
2022-04-28,52.0
2022-11-02,538.0
2022-11-08,10.0
2022-11-15,75.0
2022-11-22,305.0
2022-11-29,798.0
2022-12-07,20.0
2022-12-13,1259.0
2022-12-20,13000.0
2022-12-27,175.0
2023-01-03,20.0
2023-01-10,1515.0
2023-01-17,292.0
2023-01-25,31.0
2023-01-31,24200.0
2023-02-08,183.0
2023-02-21,404.0
2023-02-28,243.0
2023-03-07,120.0
2023-03-07,120.0
2023-03-14,41.0
2023-03-21,160.0
2023-03-28,171.0
2023-04-04,408.0
2023-04-12,173.0
2023-04-18,52.0
2023-04-26,295.0
2023-11-07,31.0
2023-11-14,41.0
2023-11-21,243.0
2023-11-28,86.0
2023-12-05,243.0
2023-12-12,86.0
2023-12-19,20.0
2023-12-28,135.0
2024-01-04,120.0
2024-01-09,
2024-01-16,1137.0
2024-01-24,108.0
2024-01-30,2282.0
2024-02-07,122.0
2024-02-13,20.0
2024-02-20,179.0
2024-02-27,10.0
2024-03-05,310.0
2024-03-12,211.0
2024-03-19,41.0
2024-03-26,41.0
2024-04-03,96.0
2024-04-09,51.0
2024-04-16,185.0
2024-04-23,383.0
2024-11-05,2382.0
2024-11-12,10.0
2024-11-19,148.0
2024-11-25,
2024-12-03,
2024-12-10,
2024-12-17,10.0
2024-12-23,146.0
2024-12-30,31.0
2025-01-07,1153.0
2025-01-14,75.0
2025-01-22,41.0
2025-01-28,1071.0
2025-02-04,
2025-02-11,20.0
2025-02-18,31.0
2025-02-25,20.0
2025-03-05,17329.0
2025-03-11,31.0
2025-03-18,52.0
2025-03-25,20.0
2025-04-01,228.0
2025-04-09,146.0
2025-04-15,31.0
2025-04-23,24196.0
2025-04-29,41.0
2025-11-05,20.0
2025-11-12,10.0
2025-11-19,63.0
2025-11-26,10.0
2025-12-03,269.0
2025-12-10,20.0
2025-12-17,74.0
2025-12-22,52.0
2025-12-29,31.0
2026-01-07,41.0
2026-01-14,31.0
2026-01-22,1106.0
2026-01-28,1076.0
2026-02-04,135.0
2026-02-11,31.0
2026-02-18,5170.0
2026-02-24,160.0
2026-03-04,20.0
2026-03-12,31.0
2026-03-18,63.0
2026-03-25,31.0
2026-04-01,52.0
2026-04-08,576.0
2026-04-15,602.0
2026-04-22,6130.0
2026-04-30,41.0
