Date,EColi
2016-12-01,21.0
2016-12-07,30.0
2016-12-13,39.0
2016-12-20,4.0
2016-12-29,25.0
2017-01-05,87.0
2017-01-10,25.0
2017-01-17,12.0
2017-01-26,24.0
2017-02-01,21.0
2017-02-09,110.0
2017-02-15,16.0
2017-02-22,69.0
2017-03-01,16.0
2017-03-08,270.0
2017-03-15,49.0
2017-03-22,30.0
2017-03-29,84.0
2017-04-20,80.0
2017-04-26,8.0
2017-11-07,10.0
2017-11-13,20.0
2017-11-19,97.0
2017-11-28,8660.0
2017-12-04,175.0
2017-12-10,52.0
2017-12-19,650.0
2017-12-28,110.0
2018-01-04,1440.0
2018-01-09,121.0
2018-01-15,134.0
2018-01-21,84.0
2018-01-30,63.0
2018-02-05,20.0
2018-02-11,565.0
2018-02-20,
2018-02-26,20.0
2018-03-04,41.0
2018-03-13,98.0
2018-03-19,86.0
2018-03-25,75.0
2018-04-03,10.0
2018-04-09,20.0
2018-04-15,262.0
2018-04-24,10.0
2018-11-12,10.0
2018-11-18,10.0
2018-11-26,1607.0
2018-12-02,75.0
2018-12-11,20.0
2018-12-16,142.0
2018-12-24,187.0
2018-12-30,20.0
2019-01-07,10.0
2019-01-13,30.0
2019-01-22,31.0
2019-01-27,31.0
2019-02-04,20.0
2019-02-10,10.0
2019-02-18,10.0
2019-02-24,52.0
2019-03-04,20.0
2019-03-10,1112.0
2019-03-19,10.0
2019-03-24,20.0
2019-04-02,213.0
2019-04-07,10.0
2019-04-15,41.0
2019-04-21,
2019-04-29,109.0
2019-11-04,
2019-11-10,
2019-11-18,211.0
2019-11-24,10.0
2019-12-02,41.0
2019-12-08,31.0
2019-12-16,20.0
2019-12-22,10.0
2019-12-30,
2020-01-05,
2020-01-13,20.0
2020-01-19,20.0
2020-01-27,10.0
2020-02-02,31.0
2020-02-10,
2020-02-16,41.0
2020-02-24,52.0
2020-03-01,41.0
2020-03-09,20.0
2020-03-15,10.0
2020-03-23,
2020-11-01,122.0
2020-11-09,30.0
2020-11-15,9.0
2020-11-23,63.0
2020-11-29,75.0
2020-12-07,10.0
2020-12-13,10.0
2020-12-21,9.0
2020-12-27,63.0
2021-01-04,216.0
2021-01-10,20.0
2021-01-18,84.0
2021-01-24,31.0
2021-02-01,10.0
2021-02-07,9.0
2021-02-15,31.0
2021-02-21,51.0
2021-02-28,20.0
2021-03-07,135.0
2021-03-15,31.0
2021-03-21,41.0
2021-03-29,20.0
2021-04-04,41.0
2021-04-12,75.0
2021-04-18,10.0
2021-04-26,20.0
2021-11-03,10.0
2021-11-10,20.0
2021-11-17,52.0
2021-11-24,31.0
2021-12-01,4880.0
2021-12-08,86.0
2021-12-15,256.0
2021-12-22,41.0
2021-12-29,677.0
2022-01-05,
2022-01-12,20.0
2022-01-19,20.0
2022-01-26,31.0
2022-02-02,10.0
2022-02-07,1259.0
2022-02-16,86.0
2022-02-23,52.0
2022-03-02,31.0
2022-03-09,52.0
2022-03-16,31.0
2022-03-23,146.0
2022-03-30,75.0
2022-04-06,41.0
2022-04-13,20.0
2022-04-21,30.0
2022-04-28,
2022-11-02,
2022-11-08,1607.0
2022-11-15,10.0
2022-11-22,51.0
2022-11-29,52.0
2022-12-06,31.0
2022-12-13,63.0
2022-12-20,3450.0
2022-12-27,41.0
2023-01-03,41.0
2023-01-10,487.0
2023-01-17,145.0
2023-01-25,120.0
2023-01-31,160.0
2023-02-08,20.0
2023-02-21,108.0
2023-02-28,1497.0
2023-03-07,52.0
2023-03-14,203.0
2023-03-21,63.0
2023-03-28,41.0
2023-04-04,670.0
2023-04-12,457.0
2023-04-18,74.0
2023-04-24,1086.0
2023-11-08,2142.0
2023-11-15,
2023-11-22,63.0
2023-11-29,63.0
2023-12-06,52.0
2023-12-13,31.0
2023-12-20,41.0
2023-12-29,31.0
2024-01-05,31.0
2024-01-10,41.0
2024-01-17,169.0
2024-01-25,41.0
2024-01-31,148.0
2024-02-08,10.0
2024-02-14,10.0
2024-02-21,20.0
2024-02-28,51.0
2024-03-06,120.0
2024-03-13,52.0
2024-03-20,30.0
2024-03-27,41.0
2024-04-04,10.0
2024-04-10,52.0
2024-04-17,31.0
2024-04-23,85.0
2024-11-05,145.0
2024-11-12,20.0
2024-11-19,31.0
2024-11-27,10.0
2024-12-04,
2024-12-10,399.0
2024-12-17,31.0
2024-12-23,134.0
2024-12-30,10.0
2025-01-07,233.0
2025-01-14,
2025-01-22,
2025-01-28,84.0
2025-02-04,41.0
2025-02-11,31.0
2025-02-18,
2025-02-25,31.0
2025-03-04,41.0
2025-03-12,20.0
2025-03-18,41.0
2025-03-25,75.0
2025-04-01,52.0
2025-04-09,63.0
2025-04-15,41.0
2025-04-23,479.0
2025-04-29,10.0
2025-11-05,
2025-11-12,10.0
2025-11-19,85.0
2025-11-26,31.0
2025-12-03,52.0
2025-12-08,10.0
2025-12-17,10.0
2025-12-22,31.0
2025-12-29,20.0
2026-01-08,31.0
2026-01-14,31.0
2026-01-22,771.0
2026-01-28,31.0
2026-02-04,63.0
2026-02-11,233.0
2026-02-18,189.0
2026-02-25,74.0
2026-03-04,121.0
2026-03-13,10.0
2026-03-18,52.0
2026-03-25,
2026-04-01,10.0
2026-04-09,266.0
2026-04-15,96.0
2026-04-21,3440.0
2026-04-30,41.0
