Date,EColi
2016-12-01,8.0
2016-12-07,390.0
2016-12-13,44.0
2016-12-20,8.0
2016-12-29,80.0
2017-01-05,73.0
2017-01-10,8.0
2017-01-17,12.0
2017-01-26,20.0
2017-02-01,16.0
2017-02-09,110.0
2017-02-15,1500.0
2017-02-22,58.0
2017-03-01,8.0
2017-03-08,92.0
2017-03-15,210.0
2017-03-22,12.0
2017-03-29,64.0
2017-04-05,1500.0
2017-04-20,44.0
2017-04-26,25.0
2017-11-07,10.0
2017-11-13,10.0
2017-11-19,148.0
2017-11-28,24200.0
2017-12-04,425.0
2017-12-10,85.0
2017-12-19,683.0
2017-12-28,156.0
2018-01-04,
2018-01-09,156.0
2018-01-15,19900.0
2018-01-21,97.0
2018-01-30,
2018-02-05,52.0
2018-02-11,52.0
2018-02-20,
2018-02-26,41.0
2018-03-04,
2018-03-13,74.0
2018-03-19,
2018-03-25,
2018-04-03,
2018-04-09,20.0
2018-04-15,265.0
2018-04-24,10.0
2018-11-12,10.0
2018-11-18,20.0
2018-11-26,3870.0
2018-12-02,97.0
2018-12-11,31.0
2018-12-16,602.0
2018-12-24,110.0
2018-12-30,52.0
2019-01-07,20.0
2019-01-13,
2019-01-22,10.0
2019-01-27,
2019-02-04,
2019-02-10,31.0
2019-02-18,10.0
2019-02-24,253.0
2019-03-04,10.0
2019-03-10,97.0
2019-03-19,20.0
2019-03-24,31.0
2019-04-02,988.0
2019-04-07,10.0
2019-04-15,52.0
2019-04-21,
2019-04-29,63.0
2019-11-04,10.0
2019-11-10,
2019-11-18,86.0
2019-11-24,10.0
2019-12-02,41.0
2019-12-08,31.0
2019-12-16,
2019-12-22,146.0
2019-12-30,10.0
2020-01-05,
2020-01-13,10.0
2020-01-19,
2020-01-27,20.0
2020-02-02,30.0
2020-02-10,
2020-02-16,
2020-02-24,31.0
2020-03-01,20.0
2020-03-09,20.0
2020-03-15,30.0
2020-03-23,10.0
2020-11-01,63.0
2020-11-09,52.0
2020-11-15,75.0
2020-11-23,10.0
2020-11-29,10.0
2020-12-07,41.0
2020-12-13,10.0
2020-12-21,31.0
2020-12-27,10.0
2021-01-04,733.0
2021-01-10,990.0
2021-01-18,41.0
2021-01-24,9.0
2021-02-01,20.0
2021-02-07,9.0
2021-02-15,9.0
2021-02-21,10.0
2021-02-28,20.0
2021-03-07,98.0
2021-03-15,9.0
2021-03-21,30.0
2021-03-29,41.0
2021-04-04,9.0
2021-04-12,9.0
2021-04-18,9.0
2021-04-26,10.0
2021-11-03,31.0
2021-11-10,20.0
2021-11-17,63.0
2021-11-24,10.0
2021-12-01,4350.0
2021-12-08,85.0
2021-12-15,1401.0
2021-12-22,52.0
2021-12-29,3870.0
2022-01-05,52.0
2022-01-12,
2022-01-19,10.0
2022-01-26,1274.0
2022-02-02,10.0
2022-02-07,546.0
2022-02-16,581.0
2022-02-23,10.0
2022-03-02,20.0
2022-03-09,
2022-03-16,1607.0
2022-03-23,63.0
2022-03-30,98.0
2022-04-06,63.0
2022-04-13,
2022-04-21,31.0
2022-04-28,
2022-11-02,10.0
2022-11-08,20.0
2022-11-15,10.0
2022-11-22,20.0
2022-11-29,146.0
2022-12-06,10.0
2022-12-13,161.0
2022-12-20,4110.0
2022-12-27,63.0
2023-01-03,41.0
2023-01-10,272.0
2023-01-17,213.0
2023-01-25,880.0
2023-01-31,4880.0
2023-02-08,62.0
2023-02-21,262.0
2023-02-28,11200.0
2023-03-07,41.0
2023-03-14,259.0
2023-03-21,75.0
2023-03-28,41.0
2023-04-04,687.0
2023-04-12,288.0
2023-04-18,41.0
2023-04-24,345.0
2023-11-08,1664.0
2023-11-15,
2023-11-22,63.0
2023-11-29,10.0
2023-12-06,52.0
2023-12-13,708.0
2023-12-20,20.0
2023-12-29,62.0
2024-01-05,20.0
2024-01-10,31.0
2024-01-17,345.0
2024-01-25,52.0
2024-01-31,201.0
2024-02-08,6870.0
2024-02-14,908.0
2024-02-21,10.0
2024-02-28,63.0
2024-03-06,228.0
2024-03-13,168.0
2024-03-20,
2024-03-27,20.0
2024-04-04,10.0
2024-04-10,
2024-04-17,20.0
2024-04-23,189.0
2024-11-05,247.0
2024-11-12,31.0
2024-11-19,20.0
2024-11-27,
2024-12-04,
2024-12-10,31.0
2024-12-17,20.0
2024-12-23,51.0
2024-12-30,20.0
2025-01-07,1259.0
2025-01-14,10.0
2025-01-22,325.0
2025-01-28,30.0
2025-02-04,98.0
2025-02-11,31.0
2025-02-18,31.0
2025-02-25,31.0
2025-03-04,10.0
2025-03-12,10.0
2025-03-18,10.0
2025-03-25,41.0
2025-04-01,86.0
2025-04-09,74.0
2025-04-15,10.0
2025-04-23,697.0
2025-04-29,
2025-11-05,10.0
2025-11-12,20.0
2025-11-19,52.0
2025-11-26,
2025-12-03,41.0
2025-12-08,41.0
2025-12-17,10.0
2025-12-22,
2025-12-29,134.0
2026-01-08,
2026-01-14,10.0
2026-01-22,813.0
2026-01-28,20.0
2026-02-04,74.0
2026-02-11,10.0
2026-02-18,1076.0
2026-02-25,20.0
2026-03-04,31.0
2026-03-13,
2026-03-18,602.0
2026-03-25,31.0
2026-04-01,10.0
2026-04-09,448.0
2026-04-15,121.0
2026-04-21,4610.0
2026-04-30,20.0
