Date,EColi
2017-11-07,
2017-11-13,10.0
2017-11-19,173.0
2017-11-28,24200.0
2017-12-04,744.0
2017-12-10,
2017-12-19,20.0
2017-12-28,262.0
2018-01-04,
2018-01-09,368.0
2018-01-15,
2018-01-21,288.0
2018-01-30,63.0
2018-02-05,120.0
2018-02-11,336.0
2018-02-20,75.0
2018-02-26,20.0
2018-03-04,10.0
2018-03-13,120.0
2018-03-19,20.0
2018-03-25,52.0
2018-04-03,20.0
2018-04-09,41.0
2018-04-15,399.0
2018-04-24,20.0
2018-11-12,
2018-11-18,20.0
2018-11-26,17300.0
2018-12-02,109.0
2018-12-11,10.0
2018-12-16,281.0
2018-12-24,246.0
2018-12-30,52.0
2019-01-07,20.0
2019-01-13,20.0
2019-01-22,10.0
2019-01-27,41.0
2019-02-04,31.0
2019-02-10,10.0
2019-02-18,20.0
2019-02-24,388.0
2019-03-04,10.0
2019-03-10,148.0
2019-03-19,52.0
2019-03-24,108.0
2019-04-02,816.0
2019-04-07,96.0
2019-04-15,109.0
2019-04-21,31.0
2019-04-29,591.0
2019-11-04,
2019-11-10,369.0
2019-11-18,30.0
2019-11-24,10.0
2019-12-02,122.0
2019-12-08,83.0
2019-12-16,
2019-12-22,132.0
2019-12-30,30.0
2020-01-05,
2020-01-13,20.0
2020-01-19,10.0
2020-01-27,
2020-02-02,31.0
2020-02-10,
2020-02-16,31.0
2020-02-24,86.0
2020-03-01,10.0
2020-03-09,20.0
2020-03-15,86.0
2020-03-23,465.0
2020-11-01,75.0
2020-11-09,331.0
2020-11-15,97.0
2020-11-23,
2020-11-29,120.0
2020-12-07,41.0
2020-12-13,31.0
2020-12-21,10.0
2020-12-27,20.0
2021-01-04,5480.0
2021-01-10,20.0
2021-01-18,31.0
2021-01-24,9.0
2021-02-01,9.0
2021-02-07,9.0
2021-02-15,9.0
2021-02-21,20.0
2021-02-28,51.0
2021-03-07,20.0
2021-03-15,10.0
2021-03-21,31.0
2021-03-29,63.0
2021-04-04,41.0
2021-04-12,30.0
2021-04-18,109.0
2021-04-26,9.0
2021-11-03,52.0
2021-11-10,10.0
2021-11-17,3080.0
2021-11-24,
2021-12-01,4880.0
2021-12-08,173.0
2021-12-15,2760.0
2021-12-22,121.0
2021-12-29,6870.0
2022-01-05,41.0
2022-01-12,20.0
2022-01-19,10.0
2022-01-26,20.0
2022-02-02,20.0
2022-02-07,5170.0
2022-02-16,189.0
2022-02-23,20.0
2022-03-02,10.0
2022-03-09,10.0
2022-03-16,20.0
2022-03-23,10.0
2022-03-30,135.0
2022-04-06,31.0
2022-04-13,52.0
2022-04-21,10.0
2022-04-28,10.0
2022-11-02,171.0
2022-11-08,10.0
2022-11-15,
2022-11-22,173.0
2022-11-29,368.0
2022-12-06,31.0
2022-12-13,331.0
2022-12-20,14100.0
2022-12-27,51.0
2023-01-03,10.0
2023-01-10,697.0
2023-01-17,109.0
2023-01-25,31.0
2023-01-31,3610.0
2023-02-08,74.0
2023-02-21,171.0
2023-02-28,7700.0
2023-03-07,74.0
2023-03-14,305.0
2023-03-21,355.0
2023-03-28,86.0
2023-04-04,882.0
2023-04-12,1553.0
2023-04-18,20.0
2023-04-24,464.0
2023-11-08,241.0
2023-11-15,10.0
2023-11-22,213.0
2023-11-29,20.0
2023-12-06,41.0
2023-12-13,30.0
2023-12-20,
2023-12-29,52.0
2024-01-05,52.0
2024-01-10,
2024-01-17,512.0
2024-01-25,41.0
2024-01-31,246.0
2024-02-08,10.0
2024-02-14,10.0
2024-02-21,75.0
2024-02-28,41.0
2024-03-06,269.0
2024-03-13,173.0
2024-03-20,10.0
2024-03-27,359.0
2024-04-04,73.0
2024-04-10,10.0
2024-04-17,41.0
2024-04-23,441.0
2024-11-05,171.0
2024-11-12,20.0
2024-11-19,86.0
2024-11-27,
2024-12-04,
2024-12-10,
2024-12-17,41.0
2024-12-23,86.0
2024-12-30,41.0
2025-01-07,1333.0
2025-01-14,20.0
2025-01-22,108.0
2025-01-28,63.0
2025-02-04,10.0
2025-02-11,30.0
2025-02-18,285.0
2025-02-25,10.0
2025-03-04,20.0
2025-03-12,41.0
2025-03-18,20.0
2025-03-25,41.0
2025-04-01,813.0
2025-04-09,86.0
2025-04-15,74.0
2025-04-23,6488.0
2025-04-29,10.0
2025-11-05,10.0
2025-11-12,31.0
2025-11-19,63.0
2025-11-26,30.0
2025-12-03,512.0
2025-12-08,20.0
2025-12-17,97.0
2025-12-22,98.0
2025-12-29,20.0
2026-01-08,75.0
2026-01-14,63.0
2026-01-22,884.0
2026-01-28,384.0
2026-02-04,301.0
2026-02-11,41.0
2026-02-18,1500.0
2026-02-25,52.0
2026-03-04,20.0
2026-03-13,52.0
2026-03-18,121.0
2026-03-25,41.0
2026-04-01,121.0
2026-04-09,135.0
2026-04-15,420.0
2026-04-21,4350.0
2026-04-30,63.0
