Date,EColi
2016-11-30,290.0
2016-12-06,73.0
2016-12-12,64.0
2016-12-19,950.0
2016-12-28,530.0
2017-01-04,160.0
2017-01-09,150.0
2017-01-16,120.0
2017-01-24,300.0
2017-01-30,120.0
2017-02-07,4800.0
2017-02-13,250.0
2017-02-20,150.0
2017-02-27,95.0
2017-03-06,110.0
2017-03-13,640.0
2017-03-20,220.0
2017-03-27,740.0
2017-04-03,1500.0
2017-04-10,54.0
2017-04-18,56.0
2017-04-27,21.0
2017-11-06,122.0
2017-11-12,145.0
2017-11-21,41.0
2017-11-29,199.0
2017-12-03,41.0
2017-12-12,74.0
2017-12-18,
2017-12-27,1850.0
2018-01-03,86.0
2018-01-08,495.0
2018-01-14,195.0
2018-01-24,199.0
2018-01-29,41.0
2018-02-04,379.0
2018-02-13,84.0
2018-02-19,63.0
2018-02-25,402.0
2018-03-06,384.0
2018-03-12,134.0
2018-03-18,145.0
2018-03-27,379.0
2018-04-05,161.0
2018-04-08,301.0
2018-04-15,173.0
2018-04-23,63.0
2018-11-12,72.0
2018-11-18,110.0
2018-11-26,960.0
2018-12-02,109.0
2018-12-10,146.0
2018-12-16,109.0
2018-12-24,223.0
2018-12-30,109.0
2019-01-07,199.0
2019-01-13,41.0
2019-01-22,160.0
2019-01-27,369.0
2019-02-04,31.0
2019-02-10,134.0
2019-02-18,185.0
2019-02-24,780.0
2019-03-04,292.0
2019-03-10,295.0
2019-03-17,528.0
2019-03-24,121.0
2019-04-01,10.0
2019-04-07,145.0
2019-04-15,161.0
2019-04-21,131.0
2019-04-29,512.0
2019-11-04,20.0
2019-11-10,97.0
2019-11-18,1607.0
2019-11-24,134.0
2019-12-02,146.0
2019-12-08,12000.0
2019-12-16,171.0
2019-12-22,148.0
2019-12-30,249.0
2020-01-05,97.0
2020-01-13,185.0
2020-01-19,63.0
2020-01-27,169.0
2020-02-02,1071.0
2020-02-10,121.0
2020-02-16,86.0
2020-02-24,1483.0
2020-03-01,1046.0
2020-03-09,148.0
2020-03-15,109.0
2020-11-02,231.0
2020-11-08,187.0
2020-11-16,161.0
2020-11-22,246.0
2020-11-30,256.0
2020-12-06,74.0
2020-12-14,52.0
2020-12-20,10.0
2020-12-28,262.0
2021-01-03,583.0
2021-01-11,95.0
2021-01-17,341.0
2021-01-26,272.0
2021-01-31,98.0
2021-02-09,146.0
2021-02-14,72.0
2021-02-22,185.0
2021-03-01,85.0
2021-03-08,1439.0
2021-03-14,676.0
2021-03-28,158.0
2021-04-05,305.0
2021-04-11,355.0
2021-04-19,269.0
2021-04-25,134.0
2021-11-02,74.0
2021-11-09,327.0
2021-11-15,882.0
2021-11-23,175.0
2021-11-30,2143.0
2021-12-07,3260.0
2021-12-14,1553.0
2021-12-21,122.0
2021-12-28,201.0
2022-01-04,96.0
2022-01-11,213.0
2022-01-18,63.0
2022-01-25,183.0
2022-02-01,63.0
2022-02-08,933.0
2022-02-15,504.0
2022-02-22,345.0
2022-03-01,148.0
2022-03-08,161.0
2022-03-15,97.0
2022-03-22,1153.0
2022-03-29,265.0
2022-04-05,98.0
2022-04-12,379.0
2022-04-20,52.0
2022-04-27,145.0
2022-11-01,305.0
2022-11-07,
2022-11-14,373.0
2022-11-21,880.0
2022-11-28,173.0
2022-12-05,75.0
2022-12-12,30.0
2022-12-19,262.0
2022-12-26,226.0
2023-01-02,41.0
2023-01-09,350.0
2023-01-16,231.0
2023-01-24,31.0
2023-01-30,2600.0
2023-02-07,624.0
2023-02-13,345.0
2023-02-20,216.0
2023-02-27,246.0
2023-03-06,41.0
2023-03-13,350.0
2023-03-20,771.0
2023-03-27,420.0
2023-04-03,145.0
2023-04-11,63.0
2023-04-17,1250.0
2023-04-24,1210.0
2023-11-06,63.0
2023-11-13,109.0
2023-11-20,345.0
2023-11-27,85.0
2023-12-04,373.0
2023-12-11,272.0
2023-12-18,156.0
2023-12-27,231.0
2024-01-03,30.0
2024-01-08,235.0
2024-01-15,175.0
2024-01-23,414.0
2024-01-29,520.0
2024-02-05,383.0
2024-02-12,259.0
2024-02-19,120.0
2024-02-26,3280.0
2024-03-04,909.0
2024-03-11,638.0
2024-03-18,249.0
2024-03-25,161.0
2024-04-02,97.0
2024-04-08,272.0
2024-04-15,624.0
2024-04-22,243.0
2024-11-04,41.0
2024-11-11,17.9
2024-11-18,31.0
2024-11-25,41.0
2024-12-02,
2024-12-09,4611.0
2024-12-16,189.0
2024-12-23,75.0
2024-12-30,96.0
2025-01-06,199.0
2025-01-13,132.0
2025-01-21,193.0
2025-01-27,2310.0
2025-02-03,512.0
2025-02-10,228.0
2025-02-17,41.0
2025-02-24,142.0
2025-03-03,379.0
2025-03-10,175.0
2025-03-17,213.0
2025-03-24,109.0
2025-03-31,96.0
2025-04-07,374.0
2025-04-14,73.0
2025-04-22,581.0
2025-04-28,
2025-11-04,41.0
2025-11-11,908.0
2025-11-18,74.0
2025-11-25,109.0
2025-12-02,332.0
2025-12-09,158.0
2025-12-16,63.0
2025-12-22,52.0
2025-12-29,226.0
2026-01-07,75.0
2026-01-13,204.0
2026-01-21,336.0
2026-01-27,243.0
2026-02-03,183.0
2026-02-10,122.0
2026-02-17,479.0
2026-02-24,292.0
2026-03-03,213.0
2026-03-11,74.0
2026-03-17,122.0
2026-03-24,134.0
2026-03-31,1421.0
2026-04-08,109.0
2026-04-14,934.0
2026-04-21,1333.0
2026-04-29,10.0
