Date,EColi
2015-11-04,29.0
2015-11-11,16.0
2015-11-18,200.0
2015-12-02,16.0
2015-12-09,4.0
2015-12-16,8.0
2015-12-22,21.0
2015-12-29,
2016-01-06,52.0
2016-01-13,44.0
2016-01-20,34.0
2016-01-27,6900.0
2016-02-03,5200.0
2016-02-10,840.0
2016-02-17,480.0
2016-02-24,720.0
2016-03-02,310.0
2016-03-09,
2016-03-16,430.0
2016-03-22,350.0
2016-03-30,160.0
2016-04-06,260.0
2016-04-13,64.0
2016-04-20,150.0
2016-04-27,16.0
2016-11-02,21.0
2016-11-09,9700.0
2016-11-16,91.0
2016-11-23,12.0
2016-11-29,8.0
2016-12-05,39.0
2016-12-14,4.0
2016-12-21,4.0
2016-12-29,
2017-01-05,20.0
2017-01-11,4.0
2017-01-18,12.0
2017-01-26,21.0
2017-02-01,8.0
2017-02-09,12.0
2017-02-15,39.0
2017-02-22,56.0
2017-03-01,12.0
2017-03-08,16.0
2017-03-15,1100.0
2017-03-22,25.0
2017-03-29,75.0
2017-04-20,12.0
2017-04-26,12.0
2017-11-07,
2017-11-13,
2017-11-19,10.0
2017-11-28,
2017-12-04,
2017-12-10,
2017-12-19,10.0
2017-12-28,20.0
2018-01-04,52.0
2018-01-09,10.0
2018-01-15,288.0
2018-01-21,10.0
2018-01-30,408.0
2018-02-05,448.0
2018-02-11,171.0
2018-02-20,243.0
2018-02-26,
2018-03-04,109.0
2018-03-13,85.0
2018-03-19,75.0
2018-03-25,63.0
2018-04-03,52.0
2018-04-09,20.0
2018-04-17,201.0
2018-04-24,74.0
2018-11-12,
2018-11-18,20.0
2018-11-26,52.0
2018-12-03,30.0
2018-12-11,
2018-12-16,
2018-12-24,
2018-12-30,10.0
2019-01-07,52.0
2019-01-13,10.0
2019-01-22,
2019-01-27,
2019-02-04,20.0
2019-02-10,74.0
2019-02-18,243.0
2019-02-24,1664.0
2019-03-04,20.0
2019-03-10,122.0
2019-03-19,108.0
2019-03-24,457.0
2019-04-01,645.0
2019-04-07,63.0
2019-04-15,10.0
2019-04-21,135.0
2019-04-30,789.0
2019-11-04,
2019-11-10,228.0
2019-11-18,41.0
2019-11-24,201.0
2019-12-02,203.0
2019-12-08,97.0
2019-12-16,134.0
2019-12-22,108.0
2019-12-30,169.0
2020-01-05,
2020-01-13,228.0
2020-01-19,161.0
2020-01-27,341.0
2020-02-02,443.0
2020-02-10,98.0
2020-02-16,171.0
2020-02-24,249.0
2020-03-01,181.0
2020-03-09,31.0
2020-03-15,158.0
2020-03-23,74.0
2020-11-02,324.0
2020-11-08,448.0
2020-11-16,1014.0
2020-11-22,1259.0
2020-11-30,6130.0
2020-12-06,30.0
2020-12-14,1989.0
2020-12-20,74.0
2020-12-28,148.0
2021-01-03,41.0
2021-01-11,266.0
2021-01-17,52.0
2021-01-26,882.0
2021-01-31,73.0
2021-02-09,4610.0
2021-02-14,20.0
2021-02-22,132.0
2021-03-01,576.0
2021-03-08,256.0
2021-03-14,987.0
2021-03-28,663.0
2021-04-05,249.0
2021-04-11,455.0
2021-04-19,309.0
2021-04-26,1670.0
2021-11-01,197.0
2021-11-08,134.0
2021-11-15,487.0
2021-11-22,41.0
2021-11-29,84.0
2021-12-06,189.0
2021-12-13,1467.0
2021-12-20,504.0
2021-12-27,20.0
2022-01-03,480.0
2022-01-10,173.0
2022-01-17,52.0
2022-01-24,108.0
2022-01-31,1100.0
2022-02-07,
2022-02-14,13000.0
2022-02-21,135.0
2022-02-28,1500.0
2022-03-07,41.0
2022-03-14,108.0
2022-03-21,41.0
2022-03-28,4110.0
2022-04-04,287.0
2022-04-11,373.0
2022-04-19,10.0
2022-04-27,110.0
2022-11-01,19900.0
2022-11-07,327.0
2022-11-14,122.0
2022-11-21,6490.0
2022-11-28,2382.0
2022-12-05,
2022-12-12,8160.0
2022-12-19,
2022-12-26,631.0
2023-01-02,223.0
2023-01-09,2142.0
2023-01-16,759.0
2023-01-24,480.0
2023-01-30,19900.0
2023-02-07,4110.0
2023-02-13,650.0
2023-02-20,1989.0
2023-02-27,1145.0
2023-03-06,364.0
2023-03-13,504.0
2023-03-20,399.0
2023-03-27,408.0
2023-04-03,110.0
2023-04-11,213.0
2023-04-17,86.0
2023-04-24,5480.0
2023-11-06,315.0
2023-11-13,670.0
2023-11-20,379.0
2023-11-27,1178.0
2023-12-04,495.0
2023-12-11,842.0
2023-12-18,146.0
2023-12-27,323.0
2024-01-03,30.0
2024-01-08,345.0
2024-01-15,798.0
2024-01-23,253.0
2024-01-29,285.0
2024-02-05,609.0
2024-02-12,645.0
2024-02-19,487.0
2024-02-26,933.0
2024-03-04,650.0
2024-03-11,884.0
2024-03-18,313.0
2024-03-25,749.0
2024-04-02,473.0
2024-04-08,1019.0
2024-04-15,309.0
2024-04-22,836.0
2024-11-04,9804.0
2024-11-11,16.7
2024-11-18,420.0
2024-11-25,189.0
2024-12-02,
2024-12-09,609.0
2024-12-16,364.0
2024-12-23,408.0
2024-12-30,399.0
2025-01-06,1039.0
2025-01-13,161.0
2025-01-21,345.0
2025-01-27,959.0
2025-02-03,216.0
2025-02-10,959.0
2025-02-17,305.0
2025-02-24,185.0
2025-03-03,121.0
2025-03-10,1112.0
2025-03-17,3076.0
2025-03-24,203.0
2025-04-01,1565.0
2025-04-07,457.0
2025-04-14,80.0
2025-04-22,86.0
2025-04-28,86.0
2025-11-03,292.0
2025-11-10,41.0
2025-11-17,233.0
2025-11-24,187.0
2025-12-01,723.0
2025-12-08,1100.0
2025-12-15,364.0
2025-12-22,480.0
2025-12-29,613.0
2026-01-07,504.0
2026-01-12,441.0
2026-01-20,537.0
2026-01-26,1565.0
2026-02-02,565.0
2026-02-09,450.0
2026-02-17,
2026-02-23,161.0
2026-03-02,345.0
2026-03-10,537.0
2026-03-16,1250.0
2026-03-23,238.0
2026-03-30,3870.0
2026-04-07,250.0
2026-04-13,2014.0
2026-04-20,
2026-04-28,1935.0
