Date,EColi
2017-11-05,857.0
2017-11-14,695.0
2017-11-20,52.0
2017-11-26,41.0
2017-12-05,74.0
2017-12-11,30.0
2017-12-17,10.0
2017-12-24,52.0
2017-12-31,52.0
2018-01-07,1970.0
2018-01-16,223.0
2018-01-23,
2018-01-28,30.0
2018-02-05,41.0
2018-02-12,3130.0
2018-02-18,20.0
2018-02-27,602.0
2018-03-05,10.0
2018-03-11,2250.0
2018-03-20,148.0
2018-03-26,1610.0
2018-04-04,75.0
2018-04-10,9210.0
2018-04-16,689.0
2018-04-22,1610.0
2018-11-11,122.0
2018-11-19,63.0
2018-11-25,275.0
2018-12-02,1565.0
2018-12-11,1274.0
2018-12-17,1935.0
2018-12-23,11200.0
2018-12-31,404.0
2019-01-06,52.0
2019-01-14,52.0
2019-01-20,63.0
2019-01-28,20.0
2019-02-03,
2019-02-11,63.0
2019-02-17,
2019-02-25,24201.0
2019-03-03,41.0
2019-03-11,86.0
2019-03-18,20.0
2019-03-26,52.0
2019-03-31,10.0
2019-04-08,2187.0
2019-04-14,1119.0
2019-04-23,97.0
2019-04-28,41.0
2019-11-03,185.0
2019-11-11,
2019-11-17,586.0
2019-11-25,31.0
2019-12-01,31.0
2019-12-09,6490.0
2019-12-15,31.0
2019-12-23,262.0
2019-12-29,1296.0
2020-01-06,109.0
2020-01-12,41.0
2020-01-20,20.0
2020-01-26,10.0
2020-02-23,10.0
2020-03-02,
2020-03-08,74.0
2020-03-16,
2020-03-23,52.0
2020-11-01,12000.0
2020-11-11,8660.0
2020-11-15,833.0
2020-11-23,130.0
2020-11-29,465.0
2020-12-07,644.0
2020-12-13,238.0
2020-12-21,9.0
2020-12-27,201.0
2021-01-04,24201.0
2021-01-10,96.0
2021-01-18,52.0
2021-01-24,85.0
2021-02-01,10.0
2021-02-07,10.0
2021-02-15,10.0
2021-02-21,31.0
2021-02-28,31.0
2021-03-07,41.0
2021-03-15,20.0
2021-03-21,20.0
2021-03-29,31.0
2021-04-04,109.0
2021-04-12,10.0
2021-04-18,41.0
2021-04-27,31.0
2021-11-01,119.0
2021-11-08,2143.0
2021-11-16,1012.0
2021-11-22,175.0
2021-11-29,41.0
2021-12-06,121.0
2021-12-13,7700.0
2021-12-20,960.0
2021-12-27,63.0
2022-01-03,75.0
2022-01-10,52.0
2022-01-17,31.0
2022-01-24,109.0
2022-01-31,20.0
2022-02-07,12000.0
2022-02-14,2359.0
2022-02-21,3450.0
2022-02-28,359.0
2022-03-07,98.0
2022-03-14,473.0
2022-03-21,96.0
2022-03-28,1670.0
2022-04-04,487.0
2022-04-11,295.0
2022-04-19,20.0
2022-04-26,97.0
2022-11-02,84.0
2022-11-08,31.0
2022-11-15,121.0
2022-11-22,1421.0
2022-11-29,583.0
2022-12-06,97.0
2022-12-13,109.0
2022-12-20,1467.0
2022-12-27,428.0
2023-01-03,98.0
2023-01-10,4350.0
2023-01-17,441.0
2023-01-25,97.0
2023-01-31,8660.0
2023-02-08,448.0
2023-03-14,350.0
2023-03-21,455.0
2023-03-28,146.0
2023-04-05,110.0
2023-04-13,605.0
2023-04-19,52.0
2023-04-26,1050.0
2023-11-07,12000.0
2023-11-14,171.0
2023-11-21,4880.0
2023-11-28,288.0
2023-12-05,455.0
2023-12-12,1246.0
2023-12-19,63.0
2023-12-28,350.0
2024-01-04,187.0
2024-01-09,97.0
2024-01-16,187.0
2024-01-24,52.0
2024-01-30,156.0
2024-02-07,41.0
2024-02-13,41.0
2024-02-19,52.0
2024-02-29,98.0
2024-03-05,857.0
2024-03-12,10.0
2024-03-20,10.0
2024-03-26,20.0
2024-04-03,20.0
2024-04-09,30.0
2024-04-16,30.0
2024-04-23,31.0
2024-11-05,8164.0
2024-11-12,158.0
2024-11-19,134.0
2024-11-25,201.0
2024-12-03,
2024-12-10,
2024-12-17,3968.0
2024-12-23,209.0
2024-12-30,364.0
2025-01-07,98.0
2025-01-14,41.0
2025-01-22,10.0
2025-01-27,30.0
2025-02-04,41.0
2025-02-11,20.0
2025-02-18,41.0
2025-02-25,10.0
2025-03-05,886.0
2025-03-11,145.0
2025-03-18,20.0
2025-03-25,63.0
2025-04-01,241.0
2025-04-08,285.0
2025-04-15,31.0
2025-04-23,
2025-04-29,216.0
2025-11-04,169.0
2025-11-11,74.0
2025-11-18,63.0
2025-11-25,41.0
2025-12-02,109.0
2025-12-09,52.0
2025-12-16,31.0
2025-12-22,52.0
2025-12-29,10.0
2026-01-07,85.0
2026-01-13,30.0
2026-01-21,602.0
2026-01-27,1112.0
2026-02-03,132.0
2026-02-10,173.0
2026-02-18,3650.0
2026-02-23,341.0
2026-03-03,1046.0
2026-03-12,62.0
2026-03-17,75.0
2026-03-24,63.0
2026-03-31,52.0
2026-04-07,63.0
2026-04-14,3870.0
2026-04-23,4610.0
2026-04-29,345.0
