Date,EColi
2004-11-08,830.0
2004-12-06,1200.0
2005-01-11,420.0
2005-02-07,190.0
2005-03-07,2600.0
2005-04-04,200.0
2006-02-07,50.0
2011-11-02,1700.0
2011-11-09,600.0
2011-11-16,26000.0
2011-11-23,220.0
2011-11-30,190.0
2011-12-07,770.0
2011-12-14,240.0
2011-12-21,170.0
2011-12-28,390.0
2012-01-04,290.0
2012-01-11,21.0
2012-01-18,310.0
2012-01-25,200.0
2012-02-01,28.0
2012-02-08,310.0
2012-02-15,270.0
2012-02-22,190.0
2012-02-29,52.0
2012-03-07,1700.0
2012-03-14,430.0
2012-03-21,350.0
2012-03-28,200.0
2012-04-03,110.0
2012-04-11,41.0
2012-04-18,200.0
2012-04-23,74.0
2012-11-07,120.0
2012-11-14,120.0
2012-11-21,25.0
2012-11-28,100.0
2012-12-05,120.0
2012-12-12,140.0
2012-12-19,810.0
2012-12-27,300.0
2013-01-03,5200.0
2013-01-09,220.0
2013-01-16,670.0
2013-01-23,240.0
2013-01-30,630.0
2013-02-07,1100.0
2013-02-13,3900.0
2013-02-20,38.0
2013-02-27,270.0
2013-03-06,21.0
2013-03-13,420.0
2013-03-20,3000.0
2013-03-26,470.0
2013-04-03,68.0
2013-04-10,140.0
2013-04-17,540.0
2013-04-23,690.0
2013-11-06,110.0
2013-11-13,310.0
2013-11-20,190.0
2013-11-27,1300.0
2013-12-04,63.0
2013-12-11,2100.0
2013-12-18,1200.0
2013-12-20,3300.0
2013-12-27,440.0
2014-01-03,92.0
2014-01-08,160.0
2014-01-15,330.0
2014-01-22,3300.0
2014-01-29,34.0
2014-02-04,260.0
2014-02-12,200.0
2014-02-19,2800.0
2014-02-26,8.0
2014-03-05,98.0
2014-03-12,54.0
2014-03-19,2900.0
2014-03-26,820.0
2014-04-02,150.0
2014-04-09,520.0
2014-04-15,860.0
2014-04-22,310.0
2014-04-30,470.0
2014-11-05,380.0
2014-11-12,280.0
2014-11-19,350.0
2014-11-26,4500.0
2014-12-03,70.0
2014-12-10,
2014-12-17,390.0
2014-12-22,310.0
2014-12-29,90.0
2015-01-07,360.0
2015-01-14,52.0
2015-01-21,1200.0
2015-01-28,84.0
2015-02-03,2200.0
2015-02-11,34.0
2015-02-18,270.0
2015-02-25,380.0
2015-03-04,490.0
2015-03-11,190.0
2015-03-18,62.0
2015-03-25,38.0
2015-03-31,2700.0
2015-04-08,9700.0
2015-04-15,350.0
2015-04-22,500.0
2015-04-29,4500.0
2015-11-04,7900.0
2015-11-11,1200.0
2015-11-18,520.0
2015-12-02,1800.0
2015-12-09,460.0
2015-12-16,370.0
2015-12-22,520.0
2015-12-29,
2016-01-06,120.0
2016-01-13,110.0
2016-01-20,1300.0
2016-01-27,210.0
2016-02-03,25.0
2016-02-10,340.0
2016-02-17,78.0
2016-02-24,300.0
2016-03-02,79.0
