Date,EColi
2016-11-30,440.0
2016-12-07,25.0
2016-12-13,30.0
2016-12-20,80.0
2016-12-29,25.0
2017-01-05,21.0
2017-01-10,150.0
2017-01-17,16.0
2017-01-25,38.0
2017-01-31,81.0
2017-02-08,16.0
2017-02-14,53.0
2017-02-21,75.0
2017-02-28,70.0
2017-03-07,68.0
2017-03-14,48.0
2017-03-21,1000.0
2017-03-28,63.0
2017-04-04,900.0
2017-04-11,34.0
2017-04-19,30.0
2017-04-27,92.0
2017-11-06,63.0
2017-11-12,10.0
2017-11-21,63.0
2017-11-29,158.0
2017-12-03,20.0
2017-12-12,52.0
2017-12-18,20.0
2017-12-27,86.0
2018-01-03,97.0
2018-01-08,109.0
2018-01-14,118.0
2018-01-24,265.0
2018-01-29,199.0
2018-02-04,120.0
2018-02-13,122.0
2018-02-19,120.0
2018-02-25,63.0
2018-03-06,110.0
2018-03-12,52.0
2018-03-18,10.0
2018-03-27,10.0
2018-04-05,52.0
2018-04-08,63.0
2018-04-15,20.0
2018-04-23,20.0
2018-11-12,10.0
2018-11-18,86.0
2018-11-26,495.0
2018-12-02,52.0
2018-12-10,97.0
2018-12-16,
2018-12-24,10.0
2018-12-30,379.0
2019-01-07,932.0
2019-01-13,73.0
2019-01-22,63.0
2019-01-27,457.0
2019-02-04,
2019-02-10,85.0
2019-02-18,73.0
2019-02-24,504.0
2019-03-04,96.0
2019-03-10,31.0
2019-03-17,41.0
2019-03-24,121.0
2019-04-01,784.0
2019-04-07,85.0
2019-04-15,86.0
2019-04-29,1296.0
