Date,EColi
2019-11-04,
2019-11-10,160.0
2019-11-18,30.0
2019-11-24,10.0
2019-12-02,
2019-12-08,1153.0
2019-12-16,31.0
2019-12-22,31.0
2019-12-30,109.0
2020-01-05,63.0
2020-01-13,2187.0
2020-01-19,20.0
2020-01-27,373.0
2020-02-02,256.0
2020-02-10,20.0
2020-02-16,122.0
2020-02-24,31.0
2020-03-01,86.0
2020-03-09,97.0
2020-03-15,
2020-11-02,10.0
2020-11-08,52.0
2020-11-16,155.0
2020-11-22,74.0
2020-11-30,10.0
2020-12-06,9.0
2020-12-14,31.0
2020-12-20,9.0
2020-12-28,20.0
2021-01-03,74.0
2021-01-11,85.0
2021-01-17,86.0
2021-01-26,63.0
2021-01-31,20.0
2021-02-09,20.0
2021-02-14,121.0
2021-02-22,31.0
2021-03-01,31.0
2021-03-08,189.0
2021-03-14,75.0
2021-03-28,63.0
2021-04-05,74.0
2021-04-11,75.0
2021-04-19,9.0
2021-04-25,73.0
2021-11-02,41.0
2021-11-09,
2021-11-15,20.0
2021-11-23,52.0
2021-11-30,146.0
2021-12-07,95.0
2021-12-14,135.0
2021-12-21,985.0
2021-12-28,146.0
2022-01-04,86.0
2022-01-11,504.0
2022-01-18,30.0
2022-01-25,62.0
2022-02-01,228.0
2022-02-08,86.0
2022-02-15,74.0
2022-02-22,52.0
2022-03-01,31.0
2022-03-08,31.0
2022-03-15,110.0
2022-03-22,63.0
2022-03-29,10.0
2022-04-05,41.0
2022-04-12,292.0
2022-04-20,31.0
2022-04-27,41.0
2022-11-01,63.0
2022-11-07,10.0
2022-11-14,31.0
2022-11-21,1236.0
2022-11-28,
2022-12-05,10.0
2022-12-12,52.0
2022-12-19,41.0
2022-12-26,10.0
2023-01-02,
2023-01-09,10.0
2023-01-16,86.0
2023-01-24,20.0
2023-01-30,108.0
2023-02-07,84.0
2023-02-13,10.0
2023-02-20,52.0
2023-02-27,52.0
2023-03-06,41.0
2023-03-13,30.0
2023-03-20,20.0
2023-03-27,30.0
2023-04-04,31.0
2023-04-11,20.0
2023-04-17,41.0
2023-04-24,20.0
2023-11-06,10.0
2023-11-13,
2023-11-20,317.0
2023-11-27,
2023-12-04,41.0
2023-12-11,
2023-12-18,
2023-12-27,25.0
2024-01-03,10.0
2024-01-08,20.0
2024-01-15,97.0
2024-01-23,1723.0
2024-01-29,52.0
2024-02-05,10.0
2024-02-12,30.0
2024-02-19,97.0
2024-02-26,109.0
2024-03-04,160.0
2024-03-11,41.0
2024-03-18,97.0
2024-03-25,278.0
2024-04-02,10.0
2024-04-08,10.0
2024-04-15,52.0
2024-04-22,41.0
2024-11-04,
2024-11-11,
2024-11-18,
2024-11-25,
2024-12-02,
2024-12-09,41.0
2024-12-16,10.0
2024-12-23,41.0
2024-12-30,158.0
2025-01-06,20.0
2025-01-13,20.0
2025-01-21,10.0
2025-01-27,97.0
2025-02-03,
2025-02-10,10.0
2025-02-17,20.0
2025-02-24,
2025-03-03,
2025-03-04,10.0
2025-03-10,41.0
2025-03-17,41.0
2025-03-24,63.0
2025-03-31,52.0
2025-04-07,52.0
2025-04-14,20.0
2025-04-22,41.0
2025-04-28,132.0
2025-11-04,10.0
2025-11-11,20.0
2025-11-18,10.0
2025-11-25,20.0
2025-12-02,20.0
2025-12-09,
2025-12-16,132.0
2025-12-22,30.0
2025-12-29,20.0
2026-01-07,10.0
2026-01-13,
2026-01-21,52.0
2026-01-27,231.0
2026-02-03,203.0
2026-02-10,110.0
2026-02-17,6130.0
2026-02-24,63.0
2026-03-03,20.0
2026-03-11,
2026-03-17,75.0
2026-03-24,31.0
2026-03-31,121.0
2026-04-08,235.0
2026-04-14,109.0
2026-04-21,52.0
2026-04-29,
