Date,EColi
2016-12-08,4500.0
2016-12-12,550.0
2016-12-19,74.0
2016-12-28,210.0
2017-01-04,300.0
2017-01-16,400.0
2017-01-24,1300.0
2017-01-30,79.0
2017-02-07,
2017-02-13,
2017-02-20,2700.0
2017-02-27,450.0
2017-03-06,140.0
2017-03-13,4500.0
2017-03-20,120.0
2017-03-27,280.0
2017-04-03,710.0
2017-04-10,430.0
2017-04-18,860.0
2017-11-05,301.0
2017-11-14,265.0
2017-11-20,959.0
2017-11-26,97.0
2017-12-05,41.0
2017-12-11,20.0
2017-12-17,25.0
2017-12-24,84.0
2017-12-31,146.0
2018-01-07,428.0
2018-01-16,52.0
2018-01-23,122.0
2018-01-28,161.0
2018-02-05,201.0
2018-02-12,74.0
2018-02-18,708.0
2018-02-27,183.0
2018-03-05,63.0
2018-03-11,1550.0
2018-03-20,30.0
2018-03-26,97.0
2018-04-04,20.0
2018-04-10,3080.0
2018-04-16,4610.0
2018-04-22,987.0
2018-11-11,41.0
2018-11-19,10.0
2018-11-25,86.0
2018-12-02,1793.0
2018-12-11,546.0
2018-12-17,41.0
2018-12-23,191.0
2018-12-31,94.0
2019-01-06,571.0
2019-01-14,153.0
2019-01-20,723.0
2019-01-28,109.0
2019-02-03,20.0
2019-02-11,243.0
2019-02-17,288.0
2019-02-25,24201.0
2019-03-03,1892.0
2019-03-11,1081.0
2019-03-18,163.0
2019-03-18,269.0
2019-03-26,213.0
2019-03-31,86.0
2019-04-08,24201.0
2019-04-14,1904.0
2019-04-23,2143.0
2019-04-28,331.0
2019-11-03,189.0
2019-11-11,2850.0
2019-11-17,160.0
2019-11-25,185.0
2019-12-01,84.0
2019-12-09,388.0
2019-12-15,284.0
2019-12-23,63.0
2019-12-29,148.0
2020-01-06,95.0
2020-01-12,41.0
2020-01-20,116.0
2020-01-26,109.0
2020-02-03,189.0
2020-02-09,6490.0
2020-02-17,5480.0
2020-02-23,4350.0
2020-03-02,1250.0
2020-03-08,909.0
2020-03-16,355.0
2020-03-23,364.0
2020-11-01,717.0
2020-11-11,7700.0
2020-11-15,605.0
2020-11-23,384.0
2020-11-29,1014.0
2020-12-07,341.0
2020-12-13,213.0
2020-12-21,10.0
2020-12-27,256.0
2021-01-04,10500.0
2021-01-10,74.0
2021-01-18,288.0
2021-01-24,134.0
2021-02-01,2910.0
2021-02-07,146.0
2021-02-15,228.0
2021-02-21,435.0
2021-02-28,459.0
2021-03-07,84.0
2021-03-15,62.0
2021-03-21,20.0
2021-03-29,145.0
2021-04-04,97.0
2021-04-12,41.0
2021-04-18,175.0
2021-04-27,86.0
2021-11-01,233.0
2021-11-08,3080.0
2021-11-16,521.0
2021-11-22,171.0
2021-11-29,52.0
2021-12-06,650.0
2021-12-13,2850.0
2021-12-20,1236.0
2021-12-27,132.0
2022-01-03,10.0
2022-01-10,132.0
2022-01-17,30.0
2022-01-24,299.0
2022-01-31,187.0
2022-02-07,8160.0
2022-02-14,3650.0
2022-02-21,1076.0
2022-02-28,557.0
2022-03-07,256.0
2022-03-14,134.0
2022-03-21,20.0
2022-03-28,2098.0
2022-04-04,697.0
2022-04-11,131.0
2022-04-19,121.0
2022-04-26,156.0
2022-11-02,1106.0
2022-11-08,131.0
2022-11-15,988.0
2022-11-22,1421.0
2022-11-29,332.0
2022-12-06,231.0
2022-12-13,528.0
2022-12-20,987.0
2022-12-27,650.0
2023-01-03,52.0
2023-01-17,1314.0
2023-01-25,311.0
2023-01-31,1223.0
2023-02-08,426.0
2023-03-07,512.0
2023-03-14,171.0
2023-03-21,85.0
2023-03-28,108.0
2023-04-04,161.0
2023-04-12,670.0
2023-04-18,226.0
2023-11-21,24200.0
2023-11-28,1017.0
2024-01-30,7270.0
2024-02-07,41.0
2024-02-13,52.0
2024-02-19,185.0
2024-02-29,52.0
2024-03-05,109.0
2024-03-12,144.0
2024-03-20,1631.0
2024-03-26,41.0
2024-04-03,148.0
2024-04-09,52.0
2024-04-23,85.0
2024-11-05,150.0
2024-11-12,94.0
2024-11-19,213.0
2024-11-25,211.0
2024-12-03,909.0
2024-12-10,181.0
2024-12-17,3076.0
2024-12-23,1050.0
2024-12-30,245.0
2025-01-07,1904.0
2025-01-14,226.0
2025-01-22,97.0
2025-01-27,663.0
2025-02-04,146.0
2025-02-11,160.0
2025-02-18,197.0
2025-02-25,63.0
2025-03-05,1565.0
2025-03-11,98.0
2025-03-18,134.0
2025-03-25,414.0
2025-04-01,1334.0
2025-04-08,171.0
2025-04-15,108.0
2025-04-23,2809.0
2025-04-29,1046.0
2025-11-04,231.0
2025-11-11,10.0
2025-11-18,41.0
2025-11-25,97.0
2025-12-02,30.0
2025-12-09,4880.0
2025-12-16,373.0
2025-12-22,15500.0
2025-12-29,431.0
2026-01-07,594.0
2026-01-13,1376.0
2026-01-21,2910.0
2026-01-27,359.0
2026-02-03,294.0
2026-02-10,556.0
2026-02-18,2480.0
2026-02-23,481.0
2026-03-03,598.0
2026-03-12,30.0
2026-03-17,160.0
2026-03-24,120.0
2026-03-31,97.0
2026-04-07,233.0
2026-04-14,2850.0
2026-04-23,3870.0
2026-04-29,368.0
