Date,EColi
2004-11-02,1450.0
2004-11-08,620.0
2004-11-16,1400.0
2004-11-24,770.0
2004-11-29,450.0
2004-12-06,4350.0
2004-12-13,30.0
2004-12-20,570.0
2004-12-29,420.0
2005-01-05,175.0
2005-01-11,910.0
2005-01-17,120.0
2005-01-25,415.0
2005-01-31,260.0
2005-02-07,85.0
2005-02-14,2600.0
2005-02-21,120.0
2005-02-28,170.0
2005-03-07,1100.0
2005-03-14,20.0
2005-03-20,
2005-03-30,370.0
2005-04-04,65.0
2005-04-11,145.0
2005-04-18,40.0
2005-04-26,480.0
2005-10-31,295.0
2005-11-08,400.0
2005-11-14,770.0
2005-11-23,400.0
2005-12-07,240.0
2005-12-13,185.0
2005-12-21,275.0
2005-12-27,1500.0
2006-01-03,24200.0
2006-01-09,20.0
2006-02-07,20.0
2006-02-23,65.0
2006-03-07,50.0
2006-03-14,10.0
2006-03-20,10.0
2006-03-29,
2006-04-03,10.0
2006-04-12,20.0
2006-04-27,280.0
2006-11-13,50.0
2006-11-20,175.0
2006-11-27,215.0
2006-12-04,75.0
2006-12-11,10.0
2006-12-18,1400.0
2006-12-26,2500.0
2007-01-02,120.0
2007-01-09,475.0
2007-01-15,110.0
2007-01-23,160.0
2007-01-29,2300.0
2007-02-07,145.0
2007-02-12,30.0
2007-02-19,
2007-02-26,175.0
2007-03-05,95.0
2007-03-12,50.0
2007-03-19,550.0
2007-03-26,10.0
2007-04-02,30.0
2007-04-10,
2007-04-16,250.0
2007-04-23,10.0
2007-04-30,10.0
2007-11-05,1600.0
2007-11-12,195.0
2007-11-19,200.0
2007-11-26,220.0
2007-12-02,120.0
2007-12-10,260.0
2007-12-17,440.0
2008-01-07,530.0
2008-01-14,245.0
2008-01-21,10.0
2008-01-28,235.0
2008-02-11,1150.0
2008-02-18,135.0
2008-02-25,125.0
2008-03-03,30.0
2008-03-10,30.0
2008-03-17,445.0
2008-03-24,7300.0
2008-03-31,860.0
2008-04-07,280.0
2008-04-14,80.0
2008-04-21,640.0
2008-04-28,960.0
2008-11-30,452.0
2008-12-08,504.0
2008-12-15,2282.0
2008-12-22,602.0
2008-12-29,203.0
2009-01-05,179.0
2009-01-12,52.0
2009-01-19,21426.0
2009-01-26,160.0
2009-02-02,326.0
2009-02-09,241.0
2009-02-15,379.0
2009-02-23,243.0
2009-03-01,146.0
2009-03-08,108.0
2009-03-16,109.0
2009-03-23,96.0
2009-03-30,52.0
2009-04-07,146.0
2009-04-15,860.0
2009-04-20,183.0
2009-04-28,359.0
2009-11-30,816.0
2009-12-07,146.0
2009-12-14,379.0
2009-12-20,4884.0
2009-12-29,4352.0
2010-01-05,754.0
2010-01-11,504.0
2010-01-18,243.0
2010-01-26,477.0
2010-02-01,464.0
2010-02-08,794.0
2010-02-15,173.0
2010-02-21,63.0
2010-03-01,183.0
2010-03-08,960.0
2010-03-15,371.0
2010-03-21,288.0
2010-03-29,121.0
2010-04-05,547.0
2010-04-12,20.0
2010-04-18,359.0
2010-04-26,63.0
2010-11-03,100.0
2010-11-10,1480.0
2010-11-17,310.0
2010-11-24,222.0
2010-12-01,520.0
2010-12-08,86.0
2010-12-15,201.0
2010-12-22,5120.0
2010-12-29,680.0
2011-01-05,100.0
2011-01-12,40.0
2011-01-19,1710.0
2011-01-26,310.0
2011-02-02,50.0
2011-02-09,200.0
2011-02-16,100.0
2011-02-23,78.0
2011-03-02,1750.0
2011-03-09,19.0
2011-03-16,36.0
2011-03-23,47.0
2011-03-30,8.0
2011-04-06,100.0
2011-04-13,40.0
2011-04-19,1986.0
2011-04-27,4570.0
2011-11-02,1700.0
2011-11-09,260.0
2011-11-16,2000.0
2011-11-23,44.0
2011-11-30,96.0
2011-12-07,260.0
2011-12-14,66.0
2011-12-21,74.0
2011-12-28,400.0
2012-01-04,500.0
2012-01-11,120.0
2012-01-18,1100.0
2012-01-25,130.0
2012-02-01,110.0
2012-02-08,63.0
2012-02-15,53.0
2012-02-22,31.0
2012-02-29,110.0
2012-03-07,210.0
2012-03-14,310.0
2012-03-21,20.0
2012-03-28,120.0
2012-04-03,41.0
2012-04-11,160.0
2012-04-18,110.0
2012-04-23,20.0
2012-11-07,190.0
2012-11-14,39.0
2012-11-21,25.0
2012-11-28,30.0
2012-12-05,34.0
2012-12-12,87.0
2012-12-19,470.0
2012-12-27,670.0
2013-01-03,400.0
2013-01-09,190.0
2013-01-16,360.0
2013-01-23,76.0
2013-01-30,30.0
2013-02-07,450.0
2013-02-13,34.0
2013-02-20,34.0
2013-02-27,63.0
2013-03-06,39.0
2013-03-13,12.0
2013-03-20,150.0
2013-03-26,160.0
2013-04-03,48.0
2013-04-10,90.0
2013-04-17,170.0
2013-04-23,360.0
2013-11-06,360.0
2013-11-13,47.0
2013-11-20,180.0
2013-11-27,86.0
2013-12-04,320.0
2013-12-11,190.0
2013-12-18,54.0
2013-12-20,100.0
2013-12-27,760.0
2014-01-03,190.0
2014-01-08,100.0
2014-01-15,30.0
2014-01-22,130.0
2014-01-29,21.0
2014-02-04,4.0
2014-02-12,39.0
2014-02-19,4.0
2014-04-22,16.0
2014-04-30,
2014-11-05,30.0
2014-11-12,16.0
2014-11-19,54.0
2014-11-26,260.0
2014-12-03,53.0
2014-12-10,740.0
2014-12-17,110.0
2014-12-22,39.0
2014-12-29,250.0
2015-01-07,270.0
2015-01-14,200.0
2015-01-21,910.0
2015-01-28,250.0
2015-02-03,1500.0
2015-02-11,170.0
2015-03-04,2500.0
2015-04-08,590.0
2015-04-15,1300.0
2015-04-22,320.0
2015-04-29,440.0
2015-11-04,450.0
2015-11-11,190.0
2015-11-18,68.0
2015-12-02,270.0
2015-12-09,260.0
2015-12-16,120.0
2015-12-22,100.0
2015-12-29,53.0
2016-01-06,39.0
2016-01-13,380.0
2016-01-20,110.0
2016-01-27,44.0
2016-02-03,48.0
2016-02-10,25.0
2016-02-17,120.0
2016-02-24,350.0
2016-03-02,12.0
2016-03-09,370.0
2016-03-16,2000.0
2016-03-22,16.0
2016-03-30,16.0
2016-04-06,25.0
2016-04-13,16.0
2016-04-20,4.0
2016-04-27,29.0
2016-11-02,800.0
2016-11-09,770.0
2016-11-16,950.0
2016-11-23,230.0
2016-11-30,280.0
2016-12-07,220.0
2016-12-13,360.0
2016-12-20,130.0
2016-12-29,110.0
2017-01-05,300.0
2017-01-10,160.0
2017-01-17,280.0
2017-01-25,460.0
2017-01-31,130.0
2017-02-08,8.0
2017-02-14,63.0
2017-02-21,34.0
2017-02-28,25.0
2017-03-07,16.0
2017-03-14,25.0
2017-03-21,12.0
2017-03-28,44.0
2017-04-04,4200.0
2017-04-19,130.0
2017-04-27,84.0
2017-11-06,1380.0
2017-11-12,63.0
2017-11-21,148.0
2017-11-29,262.0
2017-12-03,74.0
2017-12-12,173.0
2017-12-18,241.0
2017-12-27,187.0
2018-01-03,2480.0
2018-01-08,158.0
2018-01-14,132.0
2018-01-24,75.0
2018-01-29,52.0
2018-02-04,
2018-02-13,199.0
2018-02-19,230.0
2018-02-25,345.0
2018-03-06,121.0
2018-03-12,134.0
2018-03-18,160.0
2018-03-27,108.0
2018-04-05,41.0
2018-04-08,52.0
2018-04-15,31.0
2018-04-23,52.0
2018-11-12,97.0
2018-11-18,292.0
2018-11-26,1100.0
2018-12-02,41.0
2018-12-10,20.0
2018-12-16,120.0
2018-12-24,10.0
2018-12-30,75.0
2019-01-07,20.0
2019-01-13,63.0
2019-01-22,536.0
2019-01-27,228.0
2019-02-04,108.0
2019-02-10,30.0
2019-02-18,10.0
2019-02-24,908.0
2019-03-04,31.0
2019-03-17,10.0
2019-03-24,20.0
2019-04-01,10.0
2019-04-07,10.0
2019-04-15,73.0
2019-04-21,10.0
2019-04-29,7700.0
2019-11-04,809.0
2019-11-10,933.0
2019-11-18,
2019-11-24,1354.0
2019-12-02,216.0
2019-12-08,959.0
2019-12-16,84.0
2019-12-22,86.0
2019-12-30,63.0
2020-01-05,345.0
2020-01-13,1274.0
2020-01-19,74.0
2020-01-27,272.0
2020-02-02,160.0
2020-02-10,75.0
2020-02-16,262.0
2020-02-24,148.0
2020-03-01,155.0
2020-03-09,98.0
2020-03-15,20.0
2020-11-02,9.0
2020-11-08,749.0
2020-11-16,373.0
2020-11-22,241.0
2020-11-30,5170.0
2020-12-06,209.0
2020-12-14,146.0
2020-12-20,294.0
2020-12-28,355.0
2021-01-03,98.0
2021-01-11,41.0
2021-01-17,345.0
2021-01-26,122.0
2021-01-31,272.0
2021-02-09,487.0
2021-02-14,132.0
2021-02-22,148.0
2021-03-01,315.0
2021-03-08,414.0
2021-03-14,323.0
2021-03-28,169.0
2021-04-05,233.0
2021-04-11,336.0
2021-04-19,355.0
2021-04-25,1086.0
2021-11-02,426.0
2021-11-09,738.0
2021-11-15,1153.0
2021-11-23,473.0
2021-11-30,4880.0
2021-12-07,17300.0
2021-12-14,17300.0
2021-12-21,465.0
2021-12-22,86.0
2021-12-28,5480.0
2022-01-04,1081.0
2022-01-11,292.0
2022-01-18,389.0
2022-01-25,487.0
2022-02-01,480.0
2022-02-08,1989.0
2022-02-15,576.0
2022-02-22,1723.0
2022-03-01,379.0
2022-03-08,331.0
2022-03-15,279.0
2022-03-22,1374.0
2022-03-29,878.0
2022-04-05,160.0
2022-04-12,211.0
2022-04-20,350.0
2022-04-27,439.0
2022-11-01,576.0
2022-11-07,471.0
2022-11-14,602.0
2022-11-23,933.0
2022-11-28,301.0
2022-12-05,216.0
2022-12-12,275.0
2022-12-19,1782.0
2022-12-26,504.0
2023-01-02,520.0
2023-01-09,369.0
2023-01-16,657.0
2023-01-24,119.0
2023-01-30,479.0
2023-02-07,1515.0
2023-02-13,158.0
2023-02-20,235.0
2023-02-27,285.0
2023-03-06,327.0
2023-03-13,377.0
2023-03-20,292.0
2023-03-27,313.0
2023-04-03,109.0
2023-04-11,345.0
2023-04-17,336.0
2023-04-24,1956.0
2023-11-06,85.0
2023-11-13,160.0
2023-11-20,2520.0
2023-11-27,478.0
2023-12-04,529.0
2023-12-11,712.0
2023-12-18,1119.0
2023-12-27,404.0
2024-01-03,313.0
2024-01-08,313.0
2024-01-15,305.0
2024-01-23,1565.0
2024-01-29,345.0
2024-02-05,805.0
2024-02-12,148.0
2024-02-19,160.0
2024-02-26,192.0
2024-03-04,774.0
2024-03-11,1935.0
2024-03-18,41.0
2024-03-25,471.0
2024-04-02,10.0
2024-04-08,74.0
2024-04-15,364.0
2024-04-22,226.0
2024-11-04,
2024-11-06,7701.0
2024-11-11,328.0
2024-11-18,134.0
2024-11-25,259.0
2024-12-02,
2024-12-09,3076.0
2024-12-16,155.0
2024-12-23,61.0
2024-12-30,246.0
2025-01-06,201.0
2025-01-13,145.0
2025-01-21,162.0
2025-01-27,341.0
2025-02-03,520.0
2025-02-10,880.0
2025-02-17,369.0
2025-02-24,98.0
2025-03-03,
2025-03-04,63.0
2025-03-10,51.0
2025-03-17,75.0
2025-03-24,246.0
2025-03-31,52.0
2025-04-07,185.0
2025-04-14,823.0
2025-04-22,420.0
2025-04-28,134.0
2025-11-04,20.0
2025-11-11,530.0
2025-11-18,341.0
2025-11-25,121.0
2025-12-02,1223.0
2025-12-09,213.0
2025-12-16,1223.0
2025-12-22,231.0
2025-12-29,1500.0
2026-01-07,272.0
2026-01-13,305.0
2026-01-21,471.0
2026-01-27,683.0
2026-02-03,1187.0
2026-02-10,86.0
2026-02-17,933.0
2026-02-24,183.0
2026-03-03,31.0
2026-03-11,98.0
2026-03-17,41.0
2026-03-24,10.0
2026-03-31,31.0
2026-04-08,75.0
2026-04-14,1198.0
2026-04-21,24200.0
2026-04-29,259.0
