Date,EColi
2016-12-01,440.0
2016-12-06,2000.0
2016-12-13,25.0
2016-12-20,53.0
2016-12-27,
2017-01-04,3900.0
2017-01-10,34.0
2017-01-17,80.0
2017-01-24,260.0
2017-01-31,170.0
2017-02-07,85.0
2017-02-14,330.0
2017-02-22,54.0
2017-02-28,34.0
2017-03-07,25.0
2017-03-14,84.0
2017-03-21,12.0
2017-03-28,510.0
2017-04-18,220.0
2017-04-26,21.0
2017-11-07,30.0
2017-11-14,20.0
2017-11-20,10.0
2017-11-21,10.0
2017-11-28,10.0
2017-12-05,52.0
2017-12-12,31.0
2017-12-18,30.0
2017-12-19,30.0
2017-12-28,10.0
2018-01-04,63.0
2018-01-09,97.0
2018-01-16,41.0
2018-01-24,389.0
2018-01-30,12000.0
2018-02-07,41.0
2018-02-13,426.0
2018-02-20,183.0
2018-02-27,31.0
2018-03-06,85.0
2018-03-13,63.0
2018-03-20,20.0
2018-03-27,31.0
2018-04-03,30.0
2018-04-12,420.0
2018-04-17,
2018-11-13,1259.0
2018-11-20,75.0
2018-11-27,135.0
2018-12-04,295.0
2018-12-11,31.0
2018-12-18,146.0
2018-12-27,173.0
2019-01-03,135.0
2019-01-08,20.0
2019-01-15,1014.0
2019-01-22,96.0
2019-01-30,85.0
2019-02-05,216.0
2019-02-12,52.0
2019-02-19,31.0
2019-02-26,31.0
2019-03-05,10.0
2019-03-12,20.0
2019-03-19,189.0
2019-03-26,471.0
2019-04-02,1198.0
2019-04-09,63.0
2019-04-17,31.0
2019-04-26,86.0
2019-05-01,266.0
2019-11-12,379.0
2019-11-19,435.0
2019-11-20,435.0
2019-11-27,41.0
2019-12-03,987.0
2019-12-10,298.0
2019-12-17,282.0
2019-12-23,341.0
2019-12-30,86.0
2020-01-07,
2020-01-15,30.0
2020-01-21,
2020-01-28,10.0
2020-02-03,
2020-02-11,31.0
2020-02-18,175.0
2020-02-25,238.0
2020-03-04,1664.0
2020-03-10,63.0
2020-03-18,20.0
2020-11-03,20.0
2020-11-10,110.0
2020-11-17,10.0
2020-11-24,10.0
2020-12-01,605.0
2020-12-15,41.0
2020-12-22,146.0
2020-12-29,41.0
2021-01-05,20.0
2021-01-12,63.0
2021-01-19,146.0
2021-01-26,10.0
2021-02-02,63.0
2021-02-09,63.0
2021-02-16,75.0
2021-02-23,20.0
2021-03-04,627.0
2021-03-09,63.0
2021-03-16,63.0
2021-03-23,20.0
2021-03-30,272.0
2021-04-06,10.0
2021-04-13,52.0
2021-04-20,
2021-04-27,20.0
2021-11-01,201.0
2021-11-09,
2021-11-15,650.0
2021-11-22,63.0
2021-11-29,20.0
2021-12-07,3260.0
2021-12-14,1112.0
2021-12-21,122.0
2021-12-28,52.0
2022-01-04,75.0
2022-01-11,183.0
2022-01-18,52.0
2022-01-25,74.0
2022-02-01,20.0
2022-02-09,146.0
2022-02-15,141.0
2022-02-22,63.0
2022-03-01,
2022-03-08,41.0
2022-03-15,110.0
2022-03-22,6130.0
2022-03-29,75.0
2022-04-05,52.0
2022-04-12,41.0
2022-04-20,
2022-04-27,52.0
2022-11-02,85.0
2022-11-08,243.0
2022-11-15,158.0
2022-11-22,909.0
2022-11-29,201.0
2022-12-06,74.0
2022-12-13,155.0
2022-12-20,231.0
2022-12-29,31.0
2023-01-05,52.0
2023-01-10,85.0
2023-01-17,
2023-01-25,1515.0
2023-01-31,31.0
2023-02-08,135.0
2023-02-14,959.0
2023-02-21,
2023-02-28,144.0
2023-03-07,10.0
2023-03-14,156.0
2023-03-21,148.0
2023-03-28,41.0
2023-04-04,
2023-04-12,1789.0
2023-04-18,10.0
2023-04-27,52.0
2023-11-07,
2023-11-15,75.0
2023-11-22,74.0
2023-11-29,85.0
2023-12-06,20.0
2023-12-13,
2023-12-20,20.0
2023-12-29,121.0
2024-01-05,110.0
2024-01-10,63.0
2024-01-17,332.0
2024-01-25,97.0
2024-01-31,285.0
2024-02-08,86.0
2024-02-14,41.0
2024-02-21,218.0
2024-02-29,52.0
2024-03-06,908.0
2024-03-13,20.0
2024-03-20,74.0
2024-03-27,120.0
2024-04-04,41.0
2024-04-10,31.0
2024-04-17,41.0
2024-04-24,30.0
2024-11-05,573.0
2024-11-12,160.0
2024-11-19,52.0
2024-11-26,40.0
2024-12-03,96.0
2024-12-11,173.0
2024-12-17,98.0
2024-12-23,279.0
2024-12-30,121.0
2025-01-07,30.0
2025-01-14,
2025-01-21,52.0
2025-01-29,95.0
2025-02-04,
2025-02-11,75.0
2025-02-18,75.0
2025-02-25,51.0
2025-03-03,10.0
2025-03-11,
2025-03-18,41.0
2025-03-25,399.0
2025-04-01,250.0
2025-04-07,144.0
2025-04-14,
2025-04-22,529.0
2025-04-28,31.0
2025-11-05,10.0
2025-11-11,226.0
2025-11-18,31.0
2025-11-25,10.0
2025-12-02,41.0
2025-12-09,52.0
2025-12-23,98.0
2025-12-30,52.0
2026-01-05,63.0
2026-01-13,135.0
2026-01-20,246.0
2026-01-28,110.0
2026-02-03,6870.0
2026-02-10,97.0
2026-02-24,31.0
2026-03-03,31.0
2026-03-10,41.0
2026-03-17,41.0
2026-03-24,52.0
2026-03-31,146.0
2026-04-08,171.0
2026-04-14,2359.0
2026-04-21,331.0
2026-04-29,63.0
