Date,EColi
2017-11-07,41.0
2017-11-14,
2017-11-20,148.0
2017-11-21,148.0
2017-11-28,1270.0
2017-12-05,41.0
2017-12-12,20.0
2017-12-18,
2017-12-19,
2017-12-28,
2018-01-09,
2018-01-16,135.0
2018-01-24,
2018-01-30,
2018-02-07,41.0
2018-02-13,
2018-02-20,
2018-03-13,10.0
2018-03-20,
2018-03-27,41.0
2018-04-03,243.0
2018-04-12,288.0
2018-04-17,292.0
2018-11-13,839.0
2018-11-20,399.0
2018-11-27,1723.0
2018-12-04,10.0
2018-12-11,10.0
2018-12-18,20.0
2019-01-03,10.0
2019-01-08,10.0
2019-01-15,10.0
2019-01-22,10.0
2019-01-30,10.0
2019-02-05,10.0
2019-02-12,10.0
2019-02-19,10.0
2019-02-26,10.0
2019-03-05,10.0
2019-03-12,10.0
2019-03-19,10.0
2019-03-26,10.0
2019-04-02,10.0
2019-04-09,20.0
2019-04-17,20.0
2019-04-26,86.0
2019-05-01,299.0
2019-11-12,41.0
2019-11-19,9.0
2019-11-20,
2019-11-27,
2019-12-03,10.0
2019-12-10,
2019-12-17,20.0
2019-12-23,31.0
2019-12-30,10.0
2020-01-07,
2020-01-15,
2020-01-21,
2020-01-28,
2020-02-03,
2020-02-11,10.0
2020-02-18,
2020-02-25,
2020-03-04,
2020-03-10,
2020-03-18,10.0
2020-11-03,
2020-11-17,160.0
2020-11-24,10.0
2020-12-01,161.0
2020-12-08,9.0
2020-12-15,9.0
2020-12-22,9.0
2020-12-29,9.0
2021-01-05,9.0
2021-01-12,9.0
2021-01-19,10.0
2021-01-26,226.0
2021-02-02,9.0
2021-02-09,10.0
2021-02-16,399.0
2021-02-23,10.0
2021-03-04,9.0
2021-03-09,9.0
2021-03-16,20.0
2021-03-23,156.0
2021-03-30,9.0
2021-04-06,9.0
2021-04-13,9.0
2021-04-20,75.0
2021-04-27,285.0
2021-11-01,
2021-11-09,10.0
2021-11-15,
2021-11-22,
2021-11-29,
2021-12-07,10.0
2021-12-13,
2021-12-20,
2021-12-27,
2022-01-03,
2022-01-10,
2022-01-17,10.0
2022-01-24,
2022-01-31,10.0
2022-02-08,
2022-02-14,
2022-02-21,63.0
2022-02-28,
2022-03-07,20.0
2022-03-14,
2022-03-21,
2022-03-28,
2022-04-04,
2022-04-11,
2022-04-19,122.0
2022-04-26,
2022-11-01,
2022-11-07,20.0
2022-11-14,
2022-11-21,
2022-11-28,350.0
2022-12-05,10.0
2022-12-12,
2022-12-19,52.0
2023-01-04,10.0
2023-01-09,
2023-01-16,
2023-01-24,20.0
2023-01-30,
2023-02-07,
2023-02-13,20.0
2023-02-27,30.0
2023-03-06,10.0
2023-03-13,132.0
2023-03-20,10.0
2023-03-27,52.0
2023-04-03,10.0
2023-04-11,52.0
2023-04-17,20.0
2023-04-26,
2023-11-06,10.0
2023-11-14,109.0
2023-11-21,
2023-11-28,
2023-12-05,
2023-12-12,
2023-12-19,
2023-12-28,
2024-01-09,
2024-01-16,
2024-01-24,
2024-01-30,
2024-02-07,
2024-02-13,
2024-02-20,
2024-02-28,
2024-03-05,31.0
2024-03-12,369.0
2024-03-26,30.0
2024-04-03,10.0
2024-04-09,
2024-04-16,
2024-04-23,52.0
2024-11-04,
2024-11-11,
2024-11-18,
2024-11-25,
2024-12-02,
2024-12-10,
2024-12-16,
2024-12-23,
2024-12-30,
2025-01-06,52.0
2025-01-13,
2025-01-20,
2025-01-28,
2025-02-03,
2025-02-11,
2025-02-17,
2025-02-24,
2025-03-03,31.0
2025-03-10,
2025-03-17,
2025-03-25,
2025-03-31,
2025-04-07,
2025-04-22,
2025-04-28,10.0
