Date,EColi
2016-12-01,500.0
2016-12-06,620.0
2016-12-13,300.0
2016-12-20,140.0
2016-12-27,180.0
2017-01-04,4800.0
2017-01-10,470.0
2017-01-17,110.0
2017-01-24,150.0
2017-01-31,48.0
2017-02-07,53.0
2017-02-14,80.0
2017-02-22,190.0
2017-02-28,89.0
2017-03-07,44.0
2017-03-14,91.0
2017-03-21,65.0
2017-03-28,210.0
2017-04-04,9700.0
2017-04-18,180.0
2017-04-26,21.0
2017-11-07,52.0
2017-11-14,
2017-11-20,52.0
2017-11-21,52.0
2017-11-28,169.0
2017-12-05,75.0
2017-12-12,86.0
2017-12-18,41.0
2017-12-19,41.0
2017-12-28,
2018-01-04,1050.0
2018-01-09,148.0
2018-01-16,63.0
2018-01-24,97.0
2018-01-30,8660.0
2018-02-07,63.0
2018-02-13,789.0
2018-02-20,108.0
2018-02-27,148.0
2018-03-06,52.0
2018-03-13,148.0
2018-03-20,10.0
2018-03-27,41.0
2018-04-03,41.0
2018-04-12,389.0
2018-04-17,537.0
2018-11-13,1354.0
2018-11-20,52.0
2018-11-27,379.0
2018-12-04,1723.0
2018-12-11,84.0
2018-12-18,110.0
2018-12-27,187.0
2019-01-03,359.0
2019-01-08,31.0
2019-01-15,3870.0
2019-01-22,51.0
2019-01-30,72.0
2019-02-05,10.0
2019-02-12,20.0
2019-02-19,10.0
2019-02-26,86.0
2019-03-05,20.0
2019-03-12,20.0
2019-03-19,10.0
2019-03-26,52.0
2019-04-02,1153.0
2019-04-09,10.0
2019-04-17,20.0
2019-04-26,20.0
2019-05-01,185.0
2019-11-12,529.0
2019-11-19,199.0
2019-11-20,199.0
2019-11-27,41.0
2019-12-03,441.0
2019-12-10,435.0
2019-12-17,405.0
2019-12-23,173.0
2019-12-30,146.0
2020-01-07,10.0
2020-01-15,183.0
2020-01-21,10.0
2020-01-28,63.0
2020-02-03,10.0
2020-02-11,31.0
2020-02-18,52.0
2020-02-25,63.0
2020-03-04,4880.0
2020-03-10,528.0
2020-03-18,122.0
2020-11-03,
2020-11-10,583.0
2020-11-17,20.0
2020-11-24,52.0
2020-12-01,546.0
2020-12-08,3870.0
2020-12-15,63.0
2020-12-22,63.0
2020-12-29,30.0
2021-01-05,203.0
2021-01-12,63.0
2021-01-19,20.0
2021-01-26,52.0
2021-02-02,20.0
2021-02-09,20.0
2021-02-16,131.0
2021-02-23,52.0
2021-03-04,771.0
2021-03-09,41.0
2021-03-16,132.0
2021-03-23,20.0
2021-03-30,305.0
2021-04-06,31.0
2021-04-13,10.0
2021-04-20,7.0
2021-04-27,75.0
2021-11-01,148.0
2021-11-09,132.0
2021-11-15,695.0
2021-11-22,213.0
2021-11-29,10.0
2021-12-07,
2021-12-14,1153.0
2021-12-21,110.0
2021-12-28,52.0
2022-01-04,52.0
2022-01-11,253.0
2022-01-18,75.0
2022-01-25,110.0
2022-02-01,134.0
2022-02-09,373.0
2022-02-15,591.0
2022-02-22,10.0
2022-03-01,301.0
2022-03-08,121.0
2022-03-15,109.0
2022-03-22,17300.0
2022-03-29,109.0
2022-04-05,148.0
2022-04-12,216.0
2022-04-20,75.0
2022-04-27,97.0
2022-11-02,422.0
2022-11-08,295.0
2022-11-15,295.0
2022-11-22,2382.0
2022-11-29,272.0
2022-12-06,158.0
2022-12-13,487.0
2022-12-20,496.0
2022-12-29,110.0
2023-01-05,171.0
2023-01-10,160.0
2023-01-17,41.0
2023-01-25,7700.0
2023-01-31,763.0
2023-02-08,183.0
2023-02-14,2850.0
2023-02-21,110.0
2023-02-28,703.0
2023-03-07,171.0
2023-03-14,785.0
2023-03-21,116.0
2023-03-28,145.0
2023-04-04,84.0
2023-04-12,754.0
2023-04-18,86.0
2023-04-27,96.0
2023-11-07,1723.0
2023-11-15,160.0
2023-11-22,388.0
2023-11-29,1043.0
2023-12-06,185.0
2023-12-13,119.0
2023-12-20,63.0
2023-12-29,292.0
2024-01-05,246.0
2024-01-10,110.0
2024-01-17,987.0
2024-01-25,262.0
2024-01-31,201.0
2024-02-08,262.0
2024-02-14,134.0
2024-02-21,97.0
2024-02-29,41.0
2024-03-06,884.0
2024-03-13,238.0
2024-03-20,171.0
2024-03-27,169.0
2024-04-04,146.0
2024-04-10,134.0
2024-04-17,109.0
2024-04-24,74.0
2024-11-05,959.0
2024-11-12,448.0
2024-11-19,160.0
2024-11-26,91.0
2024-12-03,145.0
2024-12-11,1153.0
2024-12-17,85.0
2024-12-23,231.0
2024-12-30,122.0
2025-01-07,75.0
2025-01-14,30.0
2025-01-21,52.0
2025-01-29,233.0
2025-02-04,31.0
2025-02-11,457.0
2025-02-18,146.0
2025-02-25,63.0
2025-03-03,20.0
2025-03-11,31.0
2025-03-18,538.0
2025-03-25,72.0
2025-04-01,960.0
2025-04-07,75.0
2025-04-14,51.0
2025-04-22,644.0
2025-04-28,155.0
2025-11-05,75.0
2025-11-11,1607.0
2025-11-18,134.0
2025-11-25,256.0
2025-12-02,175.0
2025-12-09,146.0
2025-12-16,121.0
2025-12-23,243.0
2025-12-30,86.0
2026-01-05,121.0
2026-01-13,98.0
2026-01-20,228.0
2026-01-28,216.0
2026-02-03,2850.0
2026-02-10,160.0
2026-02-24,75.0
2026-03-03,98.0
2026-03-10,119.0
2026-03-17,199.0
2026-03-24,109.0
2026-03-31,146.0
2026-04-08,265.0
2026-04-14,2282.0
2026-04-21,583.0
2026-04-29,52.0
