Date,EColi
2016-11-29,400.0
2016-12-05,62.0
2016-12-14,110.0
2016-12-21,130.0
2016-12-29,210.0
2017-01-05,170.0
2017-01-11,70.0
2017-01-18,86.0
2017-01-26,310.0
2017-02-01,4800.0
2017-02-09,100.0
2017-02-15,58.0
2017-02-22,870.0
2017-03-01,150.0
2017-03-08,400.0
2017-03-15,370.0
2017-03-22,170.0
2017-03-29,170.0
2017-04-20,740.0
2017-04-26,100.0
2017-11-07,327.0
2017-11-13,410.0
2017-11-19,63.0
2017-11-28,41.0
2017-12-04,108.0
2017-12-10,231.0
2017-12-19,52.0
2017-12-28,86.0
2018-01-04,146.0
2018-01-09,548.0
2018-01-15,7270.0
2018-01-21,158.0
2018-01-30,6130.0
2018-02-05,624.0
2018-02-11,84.0
2018-02-20,987.0
2018-02-26,86.0
2018-03-04,428.0
2018-03-13,63.0
2018-03-19,160.0
2018-03-25,63.0
2018-04-03,146.0
2018-04-09,41.0
2018-04-17,2610.0
2018-04-24,272.0
2018-11-12,63.0
2018-11-18,109.0
2018-11-26,410.0
2018-12-03,108.0
2018-12-11,171.0
2018-12-16,591.0
2018-12-24,422.0
2018-12-30,650.0
2019-01-07,98.0
2019-01-13,160.0
2019-01-22,86.0
2019-01-27,75.0
2019-02-04,158.0
2019-02-10,233.0
2019-02-18,259.0
2019-02-24,457.0
2019-03-04,122.0
2019-03-10,262.0
2019-03-19,175.0
2019-03-24,201.0
2019-04-01,63.0
2019-04-07,201.0
2019-04-15,432.0
2019-04-21,31.0
2019-04-30,2064.0
2019-11-04,41.0
2019-11-10,63.0
2019-11-18,158.0
2019-11-24,119.0
2019-12-02,86.0
2019-12-08,369.0
2019-12-16,97.0
2019-12-22,5480.0
2019-12-30,301.0
2020-01-05,41.0
2020-01-13,712.0
2020-01-19,41.0
2020-01-29,97.0
2020-02-02,189.0
2020-02-10,98.0
2020-02-16,228.0
2020-02-24,110.0
2020-03-01,173.0
2020-03-09,97.0
2020-03-15,63.0
2020-03-23,175.0
2020-11-02,73.0
2020-11-08,41.0
2020-11-16,259.0
2020-11-22,63.0
2020-11-30,355.0
2020-12-06,309.0
2020-12-14,441.0
2020-12-20,41.0
2020-12-28,201.0
2021-01-03,52.0
2021-01-11,97.0
2021-01-17,173.0
2021-01-26,63.0
2021-01-31,168.0
2021-02-09,132.0
2021-02-14,135.0
2021-02-22,74.0
2021-03-01,259.0
2021-03-08,97.0
2021-03-14,657.0
2021-03-28,41.0
2021-04-05,173.0
2021-04-11,384.0
2021-04-19,75.0
2021-04-26,75.0
2021-11-01,1046.0
2021-11-08,158.0
2021-11-15,146.0
2021-11-22,256.0
2021-11-29,52.0
2021-12-06,441.0
2021-12-13,2610.0
2021-12-20,432.0
2021-12-27,97.0
2022-01-03,20.0
2022-01-10,63.0
2022-01-17,173.0
2022-01-24,63.0
2022-01-31,110.0
2022-02-07,6130.0
2022-02-14,1126.0
2022-02-21,624.0
2022-02-28,282.0
2022-03-07,213.0
2022-03-14,121.0
2022-03-21,4570.0
2022-03-28,327.0
2022-04-04,187.0
2022-04-11,201.0
2022-04-19,96.0
2022-04-27,63.0
2022-11-01,5480.0
2022-11-07,404.0
2022-11-14,404.0
2022-11-21,4610.0
2022-11-28,2500.0
2022-12-05,345.0
2022-12-12,545.0
2022-12-19,
2022-12-26,988.0
2023-01-02,121.0
2023-01-09,1956.0
2023-01-16,52.0
2023-01-24,135.0
2023-01-30,10500.0
2023-02-07,586.0
2023-02-13,199.0
2023-02-20,345.0
2023-02-27,594.0
2023-03-06,203.0
2023-03-13,1354.0
2023-03-20,1565.0
2023-03-27,443.0
2023-04-03,422.0
2023-04-11,199.0
2023-04-17,857.0
2023-04-24,1162.0
2023-11-06,75.0
2023-11-13,420.0
2023-11-20,1246.0
2023-11-27,132.0
2023-12-04,197.0
2023-12-11,465.0
2023-12-18,30.0
2023-12-27,369.0
2024-01-03,3260.0
2024-01-08,272.0
2024-01-15,703.0
2024-01-23,733.0
2024-01-29,530.0
2024-02-05,744.0
2024-02-12,1529.0
2024-02-19,288.0
2024-02-26,789.0
2024-03-04,256.0
2024-03-11,389.0
2024-03-18,727.0
2024-03-25,538.0
2024-04-02,85.0
2024-04-08,637.0
2024-04-15,2143.0
2024-04-22,2760.0
2024-11-04,663.0
2024-11-11,75.0
2024-11-18,2143.0
2024-11-25,265.0
2024-12-02,
2024-12-09,98.0
2024-12-16,471.0
2024-12-23,160.0
2024-12-30,148.0
2025-01-06,98.0
2025-01-13,63.0
2025-01-21,10.0
2025-01-27,364.0
2025-02-03,109.0
2025-02-10,331.0
2025-02-17,135.0
2025-02-24,30.0
2025-03-03,197.0
2025-03-10,193.0
2025-03-17,1106.0
2025-03-24,4352.0
2025-04-01,405.0
2025-04-07,426.0
2025-04-14,98.0
2025-04-22,173.0
2025-04-28,201.0
2025-11-03,122.0
2025-11-10,171.0
2025-11-17,213.0
2025-11-24,148.0
2025-12-01,121.0
2025-12-08,1785.0
2025-12-15,1723.0
2025-12-22,20.0
2025-12-29,249.0
2026-01-07,52.0
2026-01-12,131.0
2026-01-20,455.0
2026-01-26,1198.0
2026-02-02,187.0
2026-02-09,285.0
2026-02-17,2247.0
2026-02-23,350.0
2026-03-02,275.0
2026-03-10,131.0
2026-03-16,272.0
2026-03-23,85.0
2026-03-30,275.0
2026-04-07,175.0
2026-04-13,7270.0
2026-04-20,6130.0
2026-04-28,223.0
